#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047840,64869213,KIP56_gp002,KIP56_gp002,SEA_KOKO_2,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210522,-
2047840,64869297,KIP56_gp029,KIP56_gp029,SEA_KOKO_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869298,KIP56_gp028,KIP56_gp028,SEA_KOKO_86,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210514,-
2047840,64869299,KIP56_gp027,KIP56_gp027,SEA_KOKO_87,-,-,-,protease,protein-coding,-,-,-,protease,20210514,-
2047840,64869300,KIP56_gp026,KIP56_gp026,SEA_KOKO_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869301,KIP56_gp025,KIP56_gp025,SEA_KOKO_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869302,KIP56_gp024,KIP56_gp024,SEA_KOKO_90,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210514,-
2047840,64869303,KIP56_gp023,KIP56_gp023,SEA_KOKO_91,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210514,-
2047840,64869304,KIP56_gp022,KIP56_gp022,SEA_KOKO_92,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210514,-
2047840,64869305,KIP56_gp021,KIP56_gp021,SEA_KOKO_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869306,KIP56_gp020,KIP56_gp020,SEA_KOKO_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869307,KIP56_gp019,KIP56_gp019,SEA_KOKO_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869308,KIP56_gp018,KIP56_gp018,SEA_KOKO_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869309,KIP56_gp017,KIP56_gp017,SEA_KOKO_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869310,KIP56_gp016,KIP56_gp016,SEA_KOKO_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869311,KIP56_gp015,KIP56_gp015,SEA_KOKO_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869312,KIP56_gp014,KIP56_gp014,SEA_KOKO_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869313,KIP56_gp013,KIP56_gp013,SEA_KOKO_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869314,KIP56_gp012,KIP56_gp012,SEA_KOKO_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869315,KIP56_gp011,KIP56_gp011,SEA_KOKO_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869316,KIP56_gp010,KIP56_gp010,SEA_KOKO_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869317,KIP56_gp009,KIP56_gp009,SEA_KOKO_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64953875,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210517,-
