#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
540070,37620118,D1U33_gp002,D1U33_gp002,-,-,-,-,putative myristylated membrane protein,protein-coding,-,-,-,putative myristylated membrane protein,20201220,-
540070,37620170,D1U33_gp054,D1U33_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620171,D1U33_gp055,D1U33_gp055,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201220,-
540070,37620172,D1U33_gp056,D1U33_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620173,D1U33_gp057,D1U33_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620174,D1U33_gp058,D1U33_gp058,-,-,-,-,myristylated membrane protein,protein-coding,-,-,-,myristylated membrane protein,20201220,-
540070,37620175,D1U33_gp059,D1U33_gp059,-,-,-,-,3beta-hydroxysteroid dehydrogenase,protein-coding,-,-,-,3beta-hydroxysteroid dehydrogenase,20201220,-
540070,37620176,D1U33_gp060,D1U33_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620177,D1U33_gp061,D1U33_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620178,D1U33_gp062,D1U33_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620179,D1U33_gp063,D1U33_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620180,D1U33_gp064,D1U33_gp064,-,-,-,-,neurofilament triplet H1-like protein,protein-coding,-,-,-,neurofilament triplet H1-like protein,20201220,-
540070,37620181,D1U33_gp065,D1U33_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620182,D1U33_gp066,D1U33_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620183,D1U33_gp067,D1U33_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620184,D1U33_gp068,D1U33_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620185,D1U33_gp069,D1U33_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620186,D1U33_gp070,D1U33_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620187,D1U33_gp071,D1U33_gp071,-,-,-,-,ribonucleoside-diphosphate reductase large subunit,protein-coding,-,-,-,ribonucleoside-diphosphate reductase large subunit,20201220,-
540070,37620188,D1U33_gp072,D1U33_gp072,-,-,-,-,putative NIF/NLI interacting factor,protein-coding,-,-,-,putative NIF/NLI interacting factor,20201220,-
540070,37620189,D1U33_gp073,D1U33_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620190,D1U33_gp074,D1U33_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620191,D1U33_gp075,D1U33_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620192,D1U33_gp076,D1U33_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620193,D1U33_gp077,D1U33_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620194,D1U33_gp078,D1U33_gp078,-,-,-,-,neurofilament triplet H1-like protein,protein-coding,-,-,-,neurofilament triplet H1-like protein,20201220,-
540070,37620195,D1U33_gp079,D1U33_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620196,D1U33_gp080,D1U33_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620197,D1U33_gp081,D1U33_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620198,D1U33_gp082,D1U33_gp082,-,-,-,-,putative tyrosine kinase,protein-coding,-,-,-,putative tyrosine kinase,20201220,-
540070,37620199,D1U33_gp083,D1U33_gp083,-,-,-,-,elF2a-like protein,protein-coding,-,-,-,elF2a-like protein,20201220,-
540070,37620200,D1U33_gp084,D1U33_gp084,-,-,-,-,p31K protein,protein-coding,-,-,-,p31K protein,20201220,-
540070,37620201,D1U33_gp085,D1U33_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620202,D1U33_gp086,D1U33_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620203,D1U33_gp087,D1U33_gp087,-,-,-,-,putative D5 family NTPase/ATPase,protein-coding,-,-,-,putative D5 family NTPase/ATPase,20201220,-
540070,37620204,D1U33_gp088,D1U33_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620205,D1U33_gp089,D1U33_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620206,D1U33_gp090,D1U33_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620207,D1U33_gp091,D1U33_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620208,D1U33_gp092,D1U33_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620209,D1U33_gp093,D1U33_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620210,D1U33_gp094,D1U33_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620211,D1U33_gp095,D1U33_gp095,-,-,-,-,putative integrase-like protein,protein-coding,-,-,-,putative integrase-like protein,20201220,-
540070,37620212,D1U33_gp096,D1U33_gp096,-,-,-,-,putative A32-like virion packaging ATPase,protein-coding,-,-,-,putative A32-like virion packaging ATPase,20201220,-
540070,37620213,D1U33_gp097,D1U33_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620214,D1U33_gp098,D1U33_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620215,D1U33_gp099,D1U33_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620216,D1U33_gp100,D1U33_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620217,D1U33_gp101,D1U33_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620218,D1U33_gp102,D1U33_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620219,D1U33_gp103,D1U33_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620220,D1U33_gp104,D1U33_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
540070,37620221,D1U33_gp001,D1U33_gp001,-,-,-,-,putative replication factor,protein-coding,-,-,-,putative replication factor,20201220,-
540070,37629872,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Common midwife toad ranavirus).,other,-,-,-,-,20200513,-
