#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
569362,22548661,RPS3,-,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20180714,-
569362,22548728,heg31,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20180714,-
569362,22548729,MTRNR1,-,-,-,MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20200909,-
569362,22548730,trnY(gta),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548731,trnD(gtc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548732,trnS(gct),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548733,trnN(gtt),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548734,CO3,-,-,-,MT,-,cytochrome c oxidase III,protein-coding,-,-,-,cytochrome c oxidase III,20210129,-
569362,22548735,heg32,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20180714,-
569362,22548736,heg33,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
569362,22548737,ND6,-,-,-,MT,-,NADH dehydrogenase 6,protein-coding,-,-,-,NADH dehydrogenase 6,20210129,-
569362,22548738,trnV(tac),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548739,trnI(gat),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548740,trnS(tga),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548741,trnW(tca),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548742,trnP(tgg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548743,MTRNR2,-,-,-,MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20200909,-
