#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1445858,19686038,IME_002,IME_002,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
1445858,19686059,IME_023,IME_023,-,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
1445858,19686060,IME_024,IME_024,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20200910,-
1445858,19686061,IME_025,IME_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686062,IME_026,IME_026,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
1445858,19686063,IME_027,IME_027,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200910,-
1445858,19686064,IME_028,IME_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686065,IME_029,IME_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686066,IME_030,IME_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686067,IME_031,IME_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686068,IME_032,IME_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686069,IME_033,IME_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686070,IME_034,IME_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686071,IME_035,IME_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686072,IME_036,IME_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686073,IME_037,IME_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686074,IME_038,IME_038,-,-,-,-,metallo-beta-lactamase domain protein,protein-coding,-,-,-,metallo-beta-lactamase domain protein,20200910,-
1445858,19686075,IME_039,IME_039,-,-,-,-,HNH endonuclease family protein,protein-coding,-,-,-,HNH endonuclease family protein,20200910,-
1445858,19686076,IME_040,IME_040,-,-,-,-,HNH homing endonuclease-like protein,protein-coding,-,-,-,HNH homing endonuclease-like protein,20200910,-
1445858,19686077,IME_041,IME_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686078,IME_042,IME_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686079,IME_043,IME_043,-,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20200910,-
1445858,19686080,IME_044,IME_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686081,IME_045,IME_045,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200910,-
1445858,19686082,IME_046,IME_046,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200910,-
1445858,19686083,IME_047,IME_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686084,IME_048,IME_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686085,IME_049,IME_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686086,IME_050,IME_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686087,IME_051,IME_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686088,IME_052,IME_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686089,IME_053,IME_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686090,IME_054,IME_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686091,IME_055,IME_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686092,IME_056,IME_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686093,IME_057,IME_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686094,IME_058,IME_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686095,IME_059,IME_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686096,IME_060,IME_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686097,IME_061,IME_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686098,IME_062,IME_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686099,IME_063,IME_063,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1445858,19686100,IME_064,IME_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686101,IME_065,IME_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686102,IME_066,IME_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686103,IME_067,IME_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686104,IME_068,IME_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686105,IME_069,IME_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19686106,IME_001,IME_001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1445858,19791142,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
1445858,22241605,IME_070,IME_070,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1445858,22241606,IME_004,IME_004,-,-,-,-,-,other,-,-,-,-,20200910,-
