#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1987159,11537034,orf014,CBA120_gp012,-,-,-,-,topoisomerase II large subunit,protein-coding,-,-,-,topoisomerase II large subunit,20201221,-
1987159,11537068,orf061,CBA120_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537069,orf063,CBA120_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537070,orf064,CBA120_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537071,orf065,CBA120_gp049,-,-,-,-,gp41 replication and recombination DNA primase-helicase,protein-coding,-,-,-,gp41 replication and recombination DNA primase-helicase,20210313,-
1987159,11537072,orf067,CBA120_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537073,orf068,CBA120_gp051,-,-,-,-,UvsX RecA-like recombination protein,protein-coding,-,-,-,UvsX RecA-like recombination protein,20201221,-
1987159,11537074,orf069,CBA120_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537075,orf070,CBA120_gp053,-,-,-,-,putative dUTP diphosphatase,protein-coding,-,-,-,putative dUTP diphosphatase,20210313,-
1987159,11537076,orf072,CBA120_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537077,orf073,CBA120_gp055,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20210313,-
1987159,11537078,orf074,CBA120_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1987159,11537079,orf076,CBA120_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537080,orf077,CBA120_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537081,orf078,CBA120_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537082,orf079,CBA120_gp060,-,-,-,-,gp2 DNA end protector protein,protein-coding,-,-,-,gp2 DNA end protector protein,20201221,-
1987159,11537083,orf081,CBA120_gp061,-,-,-,-,gp19 tail tube protein,protein-coding,-,-,-,gp19 tail tube protein,20201221,-
1987159,11537084,orf082,CBA120_gp062,-,-,-,-,gp32 single-stranded DNA binding protein,protein-coding,-,-,-,gp32 single-stranded DNA binding protein,20210313,-
1987159,11537085,orf083,CBA120_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537086,orf084,CBA120_gp064,-,-,-,-,gp33 late promoter transcription accessory protein,protein-coding,-,-,-,gp33 late promoter transcription accessory protein,20201221,-
1987159,11537087,orf085,CBA120_gp065,-,-,-,-,regulatory protein FmdB family,protein-coding,-,-,-,regulatory protein FmdB family,20201221,-
1987159,11537088,orf087,CBA120_gp066,-,-,-,-,crossover junction endodeoxyribonuclease RuvC,protein-coding,-,-,-,crossover junction endodeoxyribonuclease RuvC,20201221,-
1987159,11537089,orf088,CBA120_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537090,orf089,CBA120_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537091,orf090,CBA120_gp069,-,-,-,-,gp26 baseplate hub subunit,protein-coding,-,-,-,gp26 baseplate hub subunit,20201221,-
1987159,11537092,orf092,CBA120_gp070,-,-,-,-,gp5 baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,gp5 baseplate hub subunit and tail lysozyme,20201221,-
1987159,11537093,orf093,CBA120_gp071,-,-,-,-,gp25 baseplate wedge subunit,protein-coding,-,-,-,gp25 baseplate wedge subunit,20210313,-
1987159,11537094,orf095,CBA120_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537095,orf096,CBA120_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537096,orf097,CBA120_gp074,-,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20210313,-
1987159,11537097,orf098,CBA120_gp075,-,-,-,-,ribonucleoside-diphosphate reductase class Ia beta subunit,protein-coding,-,-,-,ribonucleoside-diphosphate reductase class Ia beta subunit,20210313,-
1987159,11537098,orf099,CBA120_gp076,-,-,-,-,ribonucleoside-diphosphate reductase,protein-coding,-,-,-,ribonucleoside-diphosphate reductase,20210313,-
1987159,11537099,orf101,CBA120_gp077,-,-,-,-,putative phosphate starvation-inducible PhoH-like protein,protein-coding,-,-,-,putative phosphate starvation-inducible PhoH-like protein,20210129,-
1987159,11537100,orf102,CBA120_gp078,-,-,-,-,putative phage-encoded peptidoglycan binding protein,protein-coding,-,-,-,putative phage-encoded peptidoglycan binding protein,20210313,-
1987159,11537101,orf103,CBA120_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537102,orf104,CBA120_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537103,orf105,CBA120_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537104,orf106,CBA120_gp082,-,-,-,-,gp61 DNA primase subunit,protein-coding,-,-,-,gp61 DNA primase subunit,20201221,-
1987159,11537105,orf107,CBA120_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537106,orf108,CBA120_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1987159,11537107,orf109,CBA120_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537108,orf111,CBA120_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537109,orf112,CBA120_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537110,orf113,CBA120_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537111,orf114,CBA120_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537112,orf115,CBA120_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537113,orf117,CBA120_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537114,orf118,CBA120_gp092,-,-,-,-,gp46 recombination endonuclease subunit,protein-coding,-,-,-,gp46 recombination endonuclease subunit,20201221,-
1987159,11537115,orf119,CBA120_gp093,-,-,-,-,gp47 recombination endonuclease subunit,protein-coding,-,-,-,gp47 recombination endonuclease subunit,20201221,-
1987159,11537116,orf120,CBA120_gp094,-,-,-,-,gp55 sigma factor for late transcription,protein-coding,-,-,-,gp55 sigma factor for late transcription,20201221,-
1987159,11537117,orf121,CBA120_gp095,-,-,-,-,putative ribonuclease H,protein-coding,-,-,-,putative ribonuclease H,20210424,-
1987159,11537118,orf123,CBA120_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537119,orf124,CBA120_gp097,-,-,-,-,putative ATP-dependent helicase,protein-coding,-,-,-,putative ATP-dependent helicase,20201221,-
1987159,11537120,orf125,CBA120_gp098,-,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20201221,-
1987159,11537121,orf126,CBA120_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1987159,11537122,orf127A,CBA120_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537123,orf127,CBA120_gp101,-,-,-,-,putative superinfection exclusion protein,protein-coding,-,-,-,putative superinfection exclusion protein,20210313,-
1987159,11537124,orf129,CBA120_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537125,orf130,CBA120_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537126,orf131,CBA120_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537127,orf133,CBA120_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537128,orf135,CBA120_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537129,orf136,CBA120_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537130,orf137,CBA120_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537131,orf138,CBA120_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537132,orf140,CBA120_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537133,orf141,CBA120_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537134,orf142,CBA120_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1987159,11537135,orf143,CBA120_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537136,orf145,CBA120_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537137,orf146,CBA120_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537138,orf148,CBA120_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1987159,11537139,orf149,CBA120_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1987159,11537140,orf151,CBA120_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537141,orf153,CBA120_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1987159,11537142,orf154,CBA120_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537143,orf156,CBA120_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1987159,11537144,orf157,CBA120_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1987159,11537145,orf160,CBA120_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537146,orf161,CBA120_gp124,-,-,-,-,gp62 clamp loader subunit,protein-coding,-,-,-,gp62 clamp loader subunit,20210313,-
1987159,11537147,orf162,CBA120_gp125,-,-,-,-,gp44 clamp-loader subunit,protein-coding,-,-,-,gp44 clamp-loader subunit,20201221,-
1987159,11537148,orf163,CBA120_gp126,-,-,-,-,gp45 sliding clamp protein,protein-coding,-,-,-,gp45 sliding clamp protein,20201221,-
1987159,11537149,orf165,CBA120_gp127,-,-,-,-,UvsW helicase,protein-coding,-,-,-,UvsW helicase,20201221,-
1987159,11537150,orf167,CBA120_gp128,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210313,-
1987159,11537151,orf168,CBA120_gp129,-,-,-,-,putative DNA repair/recombination protein UvsY,protein-coding,-,-,-,putative DNA repair/recombination protein UvsY,20210313,-
1987159,11537152,orf169,CBA120_gp130,-,-,-,-,gp3 tail completion and sheath stabilizer protein,protein-coding,-,-,-,gp3 tail completion and sheath stabilizer protein,20201221,-
1987159,11537153,orf170,CBA120_gp132,-,-,-,-,-,other,-,-,-,-,20201221,-
1987159,11537154,orf171,CBA120_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537155,orf173,CBA120_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537156,orf174,CBA120_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537157,orf175,CBA120_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537158,orf176,CBA120_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537159,orf178,CBA120_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537160,orf179,CBA120_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537161,orf180,CBA120_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537162,orf181,CBA120_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537163,orf183,CBA120_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537164,orf184,CBA120_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537165,orf185,CBA120_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537166,orf187,CBA120_gp145,-,-,-,-,gp23 major capsid protein,protein-coding,-,-,-,gp23 major capsid protein,20210313,-
1987159,11537167,orf188,CBA120_gp146,-,-,-,-,gp22 prohead core scaffold protein,protein-coding,-,-,-,gp22 prohead core scaffold protein,20201221,-
1987159,11537168,orf190,CBA120_gp147,-,-,-,-,gp21 prohead core and protease,protein-coding,-,-,-,gp21 prohead core and protease,20210313,-
1987159,11537169,orf191,CBA120_gp148,-,-,-,-,gp68 prohead core protein,protein-coding,-,-,-,gp68 prohead core protein,20201221,-
1987159,11537170,orf192,CBA120_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537171,orf193,CBA120_gp150,-,-,-,-,gp20 portal vertex protein of head,protein-coding,-,-,-,gp20 portal vertex protein of head,20201221,-
1987159,11537172,orf194,CBA120_gp151,-,-,-,-,gp19 tail tube protein,protein-coding,-,-,-,gp19 tail tube protein,20201221,-
1987159,11537173,orf195,CBA120_gp152,-,-,-,-,putative homing endonuclease SegD,protein-coding,-,-,-,putative homing endonuclease SegD,20210313,-
1987159,11537174,orf197,CBA120_gp153,-,-,-,-,gp18 tail sheath protein,protein-coding,-,-,-,gp18 tail sheath protein,20201221,-
1987159,11537175,orf198,CBA120_gp154,-,-,-,-,gp17 terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,gp17 terminase DNA packaging enzyme large subunit,20210313,-
1987159,11537176,orf200,CBA120_gp155,-,-,-,-,gp16 terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,gp16 terminase DNA packaging enzyme small subunit,20201221,-
1987159,11537177,orf202,CBA120_gp156,-,-,-,-,gp15 tail sheath stabilizer and completion protein,protein-coding,-,-,-,gp15 tail sheath stabilizer and completion protein,20210313,-
1987159,11537178,orf203,CBA120_gp157,-,-,-,-,gp14 neck protein,protein-coding,-,-,-,gp14 neck protein,20201221,-
1987159,11537179,orf205,CBA120_gp158,-,-,-,-,gp13 neck protein,protein-coding,-,-,-,gp13 neck protein,20201221,-
1987159,11537180,orf206,CBA120_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537181,orf208,CBA120_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537182,orf209,CBA120_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537183,orf210,CBA120_gp162,-,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20201221,-
1987159,11537184,orf211,CBA120_gp163,-,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20201221,-
1987159,11537185,orf212,CBA120_gp164,-,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20201221,-
1987159,11537186,orf213,CBA120_gp165,-,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20201221,-
1987159,11537187,orf215,CBA120_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537188,orf216,CBA120_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537189,orf217,CBA120_gp168,-,-,-,-,gp6 baseplate wedge subunit,protein-coding,-,-,-,gp6 baseplate wedge subunit,20210424,-
1987159,11537190,orf218,CBA120_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537191,orf219,CBA120_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537192,orf221,CBA120_gp171,-,-,-,-,putative HNH homing endonuclease,protein-coding,-,-,-,putative HNH homing endonuclease,20210424,-
1987159,11537193,orf223,CBA120_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537194,orf224,CBA120_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537195,orf225,CBA120_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537196,orf226,CBA120_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1987159,11537197,orf227,CBA120_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537198,orf228,CBA120_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1987159,11537199,orf229,CBA120_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1987159,11537200,orf230,CBA120_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537201,orf231,CBA120_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537202,orf232,CBA120_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537203,orf234,CBA120_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537204,orf235,CBA120_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537205,orf236,CBA120_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537206,orf013,CBA120_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537207,orf237,CBA120_gp185,-,-,-,-,gp43 DNA polymerase,protein-coding,-,-,-,gp43 DNA polymerase,20201221,-
1987159,11537208,orf238,CBA120_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537209,orf240,CBA120_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1987159,11537210,orf242,CBA120_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537211,orf243,CBA120_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537212,orf244,CBA120_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537213,orf245,CBA120_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537214,orf247,CBA120_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537215,orf248,CBA120_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1987159,11537216,orf249,CBA120_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537217,orf250,CBA120_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537218,orf251,CBA120_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537219,orf252,CBA120_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537220,orf253,CBA120_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537221,orf254,CBA120_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1987159,11537222,orf255,CBA120_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537223,orf256,CBA120_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537224,orf257,CBA120_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537225,orf258,CBA120_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537226,orf260,CBA120_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537227,orf001,CBA120_gp001,-,-,-,-,RIIA,protein-coding,-,-,-,RIIA,20201221,-
1987159,11537228,orf002,CBA120_gp002,-,-,-,-,RIIB Protector from prophage-induced early lysis,protein-coding,-,-,-,RIIB Protector from prophage-induced early lysis,20210313,-
1987159,11537229,orf003,CBA120_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537230,orf004,CBA120_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537231,orf005,CBA120_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537232,orf006,CBA120_gp006,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210313,-
1987159,11537233,orf007,CBA120_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537234,orf010,CBA120_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537235,orf011,CBA120_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537236,orf012,CBA120_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1987159,11537839,CBA120_gp131,CBA120_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
