#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2053723,55606164,HWB39_gp02,HWB39_gp02,SEA_WRIGHTON_2,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210424,-
2053723,55606243,HWB39_gp23,HWB39_gp23,SEA_WRIGHTON_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606244,HWB39_gp22,HWB39_gp22,SEA_WRIGHTON_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606245,HWB39_gp21,HWB39_gp21,SEA_WRIGHTON_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606246,HWB39_gp20,HWB39_gp20,SEA_WRIGHTON_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606247,HWB39_gp19,HWB39_gp19,SEA_WRIGHTON_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606248,HWB39_gp18,HWB39_gp18,SEA_WRIGHTON_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606249,HWB39_gp17,HWB39_gp17,SEA_WRIGHTON_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606250,HWB39_gp16,HWB39_gp16,SEA_WRIGHTON_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606251,HWB39_gp15,HWB39_gp15,SEA_WRIGHTON_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55635738,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
