#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2562362,65068399,KMC61_gp02,KMC61_gp02,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2562362,65068453,KMC61_gp56,KMC61_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068454,KMC61_gp57,KMC61_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068455,KMC61_gp58,KMC61_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068456,KMC61_gp59,KMC61_gp59,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20210607,-
2562362,65068457,KMC61_gp60,KMC61_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2562362,65068458,KMC61_gp61,KMC61_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068459,KMC61_gp62,KMC61_gp62,-,-,-,-,transcriptional activator,protein-coding,-,-,-,transcriptional activator,20210612,-
2562362,65068460,KMC61_gp63,KMC61_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068461,KMC61_gp64,KMC61_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068462,KMC61_gp65,KMC61_gp65,-,-,-,-,integrase regulator,protein-coding,-,-,-,integrase regulator,20210609,-
2562362,65068463,KMC61_gp66,KMC61_gp66,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210612,-
2562362,65068464,KMC61_gp67,KMC61_gp67,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2562362,65068465,KMC61_gp01,KMC61_gp01,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2562362,65243117,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
