#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
45130,19329945,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cochliobolus sativus; Helminthosporium sorokinianum).,other,-,-,-,-,20141217,-
45130,54599945,orf269,HJF13_mgp014,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599946,orf197,HJF13_mgp015,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599947,orf238,HJF13_mgp016,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599948,orf311,HJF13_mgp017,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599949,orf465,HJF13_mgp018,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599950,orf108,HJF13_mgp019,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20210320,-
45130,54599951,nad3,HJF13_mgp020,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210320,-
45130,54599952,orf442,HJF13_mgp021,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599953,nad2,HJF13_mgp022,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20210320,-
45130,54599954,orf285,HJF13_mgp023,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599955,trnN(gtt),HJF13_mgt001,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599956,trnN(gtt),HJF13_mgt002,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599957,cox2,HJF13_mgp063,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20210320,-
45130,54599958,orf378,HJF13_mgp062,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20210320,-
45130,54599959,orf352,HJF13_mgp061,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599960,cox1,HJF13_mgp060,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20210320,-
45130,54599961,orf377,HJF13_mgp059,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20210320,-
45130,54599962,orf377,HJF13_mgp058,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20210320,-
45130,54599963,orf299,HJF13_mgp057,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20210320,-
45130,54599964,orf341,HJF13_mgp056,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599965,orf280,HJF13_mgp055,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599966,orf502,HJF13_mgp054,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20210320,-
45130,54599967,orf123,HJF13_mgp053,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200428,-
45130,54599968,orf342,HJF13_mgp052,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599969,orf250,HJF13_mgp051,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599970,orf272,HJF13_mgp050,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599971,orf189,HJF13_mgp049,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599972,orf130,HJF13_mgp048,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599973,cox1,HJF13_mgp047,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20210320,-
45130,54599974,orf538,HJF13_mgp046,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599975,trnC(gca),HJF13_mgt003,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599976,trnR(tct),HJF13_mgt004,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599977,trnR(cct),HJF13_mgt005,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599978,rns,HJF13_mgr003,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
45130,54599979,trnL2(taa),HJF13_mgt006,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599980,trnL2(taa),HJF13_mgt007,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599981,trnY(gta),HJF13_mgt008,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599982,trnN(gtt),HJF13_mgt009,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599983,nad6,HJF13_mgp045,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210403,-
45130,54599984,trnV(tac),HJF13_mgt010,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599985,trnK(ttt),HJF13_mgt011,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599986,trnG(tcc),HJF13_mgt012,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599987,trnD(gtc),HJF13_mgt013,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599988,trnS1(gct),HJF13_mgt014,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599989,trnW(tca),HJF13_mgt015,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599990,trnI(gat),HJF13_mgt016,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599991,trnR(acg),HJF13_mgt017,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599992,trnS2(tga),HJF13_mgt018,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599993,trnP(tgg),HJF13_mgt019,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599994,rnl,HJF13_mgr002,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
45130,54599995,rnl,HJF13_mgr001,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
45130,54599996,trnT(tgt),HJF13_mgt020,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599997,trnM(cat),HJF13_mgt021,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599998,trnM(cat),HJF13_mgt022,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54599999,trnE(ttc),HJF13_mgt023,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600000,trnA(tgc),HJF13_mgt024,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600001,trnF(gaa),HJF13_mgt025,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600002,trnL1(tag),HJF13_mgt026,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600003,trnQ(ttg),HJF13_mgt027,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600004,trnH(gtg),HJF13_mgt028,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600005,trnM(cat),HJF13_mgt029,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600006,trnL1(tag),HJF13_mgt030,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600007,atp6,HJF13_mgp044,-,-,MT,-,ATP synthase F0 subunit a,protein-coding,-,-,-,ATP synthase F0 subunit a,20210129,-
45130,54600008,orf369,HJF13_mgp043,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54600009,orf367,HJF13_mgp042,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54600010,orf280,HJF13_mgp041,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20210320,-
45130,54600011,trnC(gca),HJF13_mgt031,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600012,trnP(tgg),HJF13_mgt032,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600013,rnpB,HJF13_mgs001,-,-,MT,-,ncRNA,ncRNA,-,-,-,-,20200908,-
45130,54600014,trnV(tac),HJF13_mgt033,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600015,trnN(gtt),HJF13_mgt034,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600016,cob,HJF13_mgp040,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20210320,-
45130,54600017,cob,HJF13_mgp039,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20210320,-
45130,54600018,orf482,HJF13_mgp038,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20210320,-
45130,54600019,orf221,HJF13_mgp037,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20210320,-
45130,54600020,orf382,HJF13_mgp036,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54600021,trnM(cat),HJF13_mgt035,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600022,trnH(gtg),HJF13_mgt036,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600023,trnQ(ttg),HJF13_mgt037,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600024,orf386,HJF13_mgp035,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54600025,cob,HJF13_mgp034,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20210320,-
45130,54600026,cob,HJF13_mgp033,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20210320,-
45130,54600027,trnR(cct),HJF13_mgt038,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
45130,54600028,nad4,HJF13_mgp032,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20210320,-
45130,54600029,orf386,HJF13_mgp001,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20210320,-
45130,54600030,nad4L,HJF13_mgp031,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210320,-
45130,54600031,nad5,HJF13_mgp030,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210320,-
45130,54600032,orf493,HJF13_mgp029,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54600033,orf202,HJF13_mgp028,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54600034,orf432,HJF13_mgp027,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54600035,orf432,HJF13_mgp026,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54600036,orf303,HJF13_mgp025,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54600037,orf241,HJF13_mgp024,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
