#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
270161,2806860,vp2,PyrSV_gp20,-,-,-,-,virus coat protein VP2,protein-coding,-,-,-,virus coat protein VP2,20201220,-
270161,4432032,PyrSV_gp17,PyrSV_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432033,PyrSV_gp18,PyrSV_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432034,PyrSV_gp21,PyrSV_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432035,PyrSV_gp22,PyrSV_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432036,PyrSV_gp23,PyrSV_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432037,PyrSV_gp24,PyrSV_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432038,PyrSV_gp25,PyrSV_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432039,PyrSV_gp26,PyrSV_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432040,PyrSV_gp27,PyrSV_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432041,PyrSV_gp28,PyrSV_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432042,PyrSV_gp29,PyrSV_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432043,PyrSV_gp30,PyrSV_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432044,PyrSV_gp31,PyrSV_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432045,PyrSV_gp32,PyrSV_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432046,PyrSV_gp33,PyrSV_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432047,PyrSV_gp34,PyrSV_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432048,PyrSV_gp35,PyrSV_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432049,PyrSV_gp36,PyrSV_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432050,PyrSV_gp37,PyrSV_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432051,PyrSV_gp38,PyrSV_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432052,PyrSV_gp39,PyrSV_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432053,PyrSV_gp40,PyrSV_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432054,PyrSV_gp41,PyrSV_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432055,PyrSV_gp42,PyrSV_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432056,PyrSV_gp43,PyrSV_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432057,PyrSV_gp44,PyrSV_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
