#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500821,24724990,ACQ69_gp02,ACQ69_gp02,PHL141N00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500821,24725025,ACQ69_gp37,ACQ69_gp37,PHL141N00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725026,ACQ69_gp38,ACQ69_gp38,PHL141N00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725027,ACQ69_gp39,ACQ69_gp39,PHL141N00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725028,ACQ69_gp40,ACQ69_gp40,PHL141N00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725029,ACQ69_gp41,ACQ69_gp41,PHL141N00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725030,ACQ69_gp42,ACQ69_gp42,PHL141N00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725031,ACQ69_gp43,ACQ69_gp43,PHL141N00_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725032,ACQ69_gp44,ACQ69_gp44,PHL141N00_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725033,ACQ69_gp45,ACQ69_gp45,PHL141N00_45,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500821,24725034,ACQ69_gp01,ACQ69_gp01,PHL141N00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500821,24936538,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
