#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182349,40102468,2,FDJ57_gp02,PBI_SOUR_2,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201221,-
2182349,40102534,69,FDJ57_gp69,PBI_SOUR_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102535,70,FDJ57_gp70,PBI_SOUR_70,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2182349,40102536,71,FDJ57_gp71,PBI_SOUR_71,-,-,-,HicA-like toxin,protein-coding,-,-,-,HicA-like toxin,20201221,-
2182349,40102537,72,FDJ57_gp72,PBI_SOUR_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102538,73,FDJ57_gp73,PBI_SOUR_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102539,74,FDJ57_gp74,PBI_SOUR_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102540,75,FDJ57_gp75,PBI_SOUR_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102541,76,FDJ57_gp76,PBI_SOUR_76,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20201221,-
2182349,40102542,77,FDJ57_gp77,PBI_SOUR_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102543,78,FDJ57_gp78,PBI_SOUR_78,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2182349,40102544,79,FDJ57_gp79,PBI_SOUR_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102545,6,FDJ57_gp06,PBI_SOUR_6,-,-,-,QueE domain protein,protein-coding,-,-,-,QueE domain protein,20201221,-
2182349,40102546,1,FDJ57_gp01,PBI_SOUR_1,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20201221,-
2182349,40120584,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
