#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
756275,11605215,S-CBS4_gp012,S-CBS4_gp012,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
756275,11605276,dcd,S-CBS4_gp073,-,-,-,-,deoxycytidine triphosphate deaminase,protein-coding,-,-,-,deoxycytidine triphosphate deaminase,20201220,-
756275,11605277,S-CBS4_gp074,S-CBS4_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605278,exo,S-CBS4_gp075,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201220,-
756275,11605279,S-CBS4_gp076,S-CBS4_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605280,S-CBS4_gp077,S-CBS4_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605281,S-CBS4_gp078,S-CBS4_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605282,S-CBS4_gp079,S-CBS4_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605283,S-CBS4_gp080,S-CBS4_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605284,S-CBS4_gp081,S-CBS4_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605285,S-CBS4_gp082,S-CBS4_gp082,-,-,-,-,RecA-family ATPase,protein-coding,-,-,-,RecA-family ATPase,20201220,-
756275,11605286,S-CBS4_gp083,S-CBS4_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605287,S-CBS4_gp084,S-CBS4_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605288,S-CBS4_gp085,S-CBS4_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605289,S-CBS4_gp086,S-CBS4_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605290,S-CBS4_gp087,S-CBS4_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605291,S-CBS4_gp088,S-CBS4_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605292,S-CBS4_gp089,S-CBS4_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605293,S-CBS4_gp090,S-CBS4_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605294,S-CBS4_gp091,S-CBS4_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605295,S-CBS4_gp092,S-CBS4_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605296,S-CBS4_gp093,S-CBS4_gp093,-,-,-,-,rare lipoprotein A,protein-coding,-,-,-,rare lipoprotein A,20201220,-
756275,11605297,S-CBS4_gp094,S-CBS4_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605298,S-CBS4_gp095,S-CBS4_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605299,S-CBS4_gp096,S-CBS4_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605300,S-CBS4_gp097,S-CBS4_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605301,S-CBS4_gp098,S-CBS4_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605302,S-CBS4_gp099,S-CBS4_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605303,S-CBS4_gp100,S-CBS4_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605304,S-CBS4_gp101,S-CBS4_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605305,S-CBS4_gp102,S-CBS4_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605306,S-CBS4_gp103,S-CBS4_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605307,S-CBS4_gp104,S-CBS4_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605308,S-CBS4_gp105,S-CBS4_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605309,rnr,S-CBS4_gp001,-,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20201220,-
756275,11605310,S-CBS4_gp002,S-CBS4_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605311,S-CBS4_gp003,S-CBS4_gp003,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201220,-
756275,11605312,S-CBS4_gp004,S-CBS4_gp004,-,-,-,-,phosphohydrolase,protein-coding,-,-,-,phosphohydrolase,20201220,-
756275,11605313,S-CBS4_gp005,S-CBS4_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605314,rnf,S-CBS4_gp006,-,-,-,-,nitrogen fixation protein-like protein,protein-coding,-,-,-,nitrogen fixation protein-like protein,20201220,-
756275,11605315,S-CBS4_gp007,S-CBS4_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605316,S-CBS4_gp008,S-CBS4_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605317,S-CBS4_gp009,S-CBS4_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605318,terL,S-CBS4_gp010,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
756275,11605319,S-CBS4_gp011,S-CBS4_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11670009,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
