#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2499073,55009644,HOU93_gp02,HOU93_gp02,AAS23_gp02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
2499073,55009678,HOU93_gp36,HOU93_gp36,AAS23_gp36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009679,HOU93_gp37,HOU93_gp37,AAS23_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009680,HOU93_gp38,HOU93_gp38,AAS23_gp38,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20201221,-
2499073,55009681,HOU93_gp39,HOU93_gp39,AAS23_gp39,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",protein-coding,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",20210212,-
2499073,55009682,HOU93_gp40,HOU93_gp40,AAS23_gp40,-,-,-,putative deoxynucleoside monophosphate kinase,protein-coding,-,-,-,putative deoxynucleoside monophosphate kinase,20210212,-
2499073,55009683,HOU93_gp41,HOU93_gp41,AAS23_gp41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009684,HOU93_gp42,HOU93_gp42,AAS23_gp42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009685,HOU93_gp43,HOU93_gp43,AAS23_gp43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009686,HOU93_gp44,HOU93_gp44,AAS23_gp44,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2499073,55009687,HOU93_gp45,HOU93_gp45,AAS23_gp45,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210212,-
2499073,55009688,HOU93_gp46,HOU93_gp46,AAS23_gp46,-,-,-,spanin,protein-coding,-,-,-,spanin,20210212,-
2499073,55009689,HOU93_gp47,HOU93_gp47,AAS23_gp47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009690,HOU93_gp48,HOU93_gp48,AAS23_gp48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009691,HOU93_gp49,HOU93_gp49,AAS23_gp49,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210212,-
2499073,55009692,HOU93_gp50,HOU93_gp50,AAS23_gp50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009693,HOU93_gp51,HOU93_gp51,AAS23_gp51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009694,HOU93_gp52,HOU93_gp52,AAS23_gp52,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20201221,-
2499073,55009695,HOU93_gp53,HOU93_gp53,AAS23_gp53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009696,HOU93_gp54,HOU93_gp54,AAS23_gp54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009697,HOU93_gp55,HOU93_gp55,AAS23_gp55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009698,HOU93_gp56,HOU93_gp56,AAS23_gp56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009699,HOU93_gp57,HOU93_gp57,AAS23_gp57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009700,HOU93_gp58,HOU93_gp58,AAS23_gp58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009701,HOU93_gp59,HOU93_gp59,AAS23_gp59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009702,HOU93_gp60,HOU93_gp60,AAS23_gp60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009703,HOU93_gp61,HOU93_gp61,AAS23_gp61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009704,HOU93_gp62,HOU93_gp62,AAS23_gp62,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201221,-
2499073,55009705,HOU93_gp63,HOU93_gp63,AAS23_gp63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009706,HOU93_gp64,HOU93_gp64,AAS23_gp64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009707,HOU93_gp65,HOU93_gp65,AAS23_gp65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009708,HOU93_gp66,HOU93_gp66,AAS23_gp66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009709,HOU93_gp67,HOU93_gp67,AAS23_gp67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009710,HOU93_gp68,HOU93_gp68,AAS23_gp68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009711,HOU93_gp69,HOU93_gp69,AAS23_gp69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009712,HOU93_gp70,HOU93_gp70,AAS23_gp70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009713,HOU93_gp71,HOU93_gp71,AAS23_gp71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009714,HOU93_gp72,HOU93_gp72,AAS23_gp72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009715,HOU93_gp73,HOU93_gp73,AAS23_gp73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009716,HOU93_gp74,HOU93_gp74,AAS23_gp74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009717,HOU93_gp75,HOU93_gp75,AAS23_gp75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009718,HOU93_gp76,HOU93_gp76,AAS23_gp76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009719,HOU93_gp77,HOU93_gp77,AAS23_gp77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009720,HOU93_gp78,HOU93_gp78,AAS23_gp78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009721,HOU93_gp79,HOU93_gp79,AAS23_gp79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009722,HOU93_gp80,HOU93_gp80,AAS23_gp80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009723,HOU93_gp81,HOU93_gp81,AAS23_gp81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009724,HOU93_gp82,HOU93_gp82,AAS23_gp82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009725,HOU93_gp83,HOU93_gp83,AAS23_gp83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009726,HOU93_gp84,HOU93_gp84,AAS23_gp84,-,-,-,putative product,protein-coding,-,-,-,putative product,20201221,-
2499073,55009727,HOU93_gp85,HOU93_gp85,AAS23_gp85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009728,HOU93_gp86,HOU93_gp86,AAS23_gp86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009729,HOU93_gp87,HOU93_gp87,AAS23_gp87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009730,HOU93_gp88,HOU93_gp88,AAS23_gp88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009731,HOU93_gp89,HOU93_gp89,AAS23_gp89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009732,HOU93_gp90,HOU93_gp90,AAS23_gp90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009733,HOU93_gp91,HOU93_gp91,AAS23_gp91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009734,HOU93_gp92,HOU93_gp92,AAS23_gp92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009735,HOU93_gp01,HOU93_gp01,AAS23_gp01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210212,-
2499073,55154296,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200601,-
