#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2496992,65066855,terL,KMC41_gp03,ChaoS9_010,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2496992,65066915,KMC41_gp64,KMC41_gp64,ChaoS9_315,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066916,KMC41_gp65,KMC41_gp65,ChaoS9_320,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066917,KMC41_gp66,KMC41_gp66,ChaoS9_325,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066918,KMC41_gp67,KMC41_gp67,ChaoS9_330,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066919,KMC41_gp68,KMC41_gp68,ChaoS9_335,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066920,KMC41_gp69,KMC41_gp69,ChaoS9_340,-,-,-,CxxC motif protein,protein-coding,-,-,-,CxxC motif protein,20210607,-
2496992,65066921,orc1,KMC41_gp70,ChaoS9_345,-,-,-,Orc1-type DNA replication protein,protein-coding,-,-,-,Orc1-type DNA replication protein,20210607,-
2496992,65066922,KMC41_gp71,KMC41_gp71,ChaoS9_350,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066923,KMC41_gp72,KMC41_gp72,ChaoS9_355,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066924,KMC41_gp73,KMC41_gp73,ChaoS9_360,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066925,KMC41_gp74,KMC41_gp74,ChaoS9_365,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066926,KMC41_gp75,KMC41_gp75,ChaoS9_370,-,-,-,zinc-finger domain protein,protein-coding,-,-,-,zinc-finger domain protein,20210607,-
2496992,65066927,KMC41_gp76,KMC41_gp76,ChaoS9_375,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066928,KMC41_gp77,KMC41_gp77,ChaoS9_380,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066929,repH,KMC41_gp78,ChaoS9_385,-,-,-,plasmid replication protein,protein-coding,-,-,-,plasmid replication protein,20210607,-
2496992,65066930,KMC41_gp79,KMC41_gp79,ChaoS9_390,-,-,-,MarR family transcription regulator,protein-coding,-,-,-,MarR family transcription regulator,20210607,-
2496992,65066931,KMC41_gp80,KMC41_gp80,ChaoS9_395,-,-,-,CxxC motif protein,protein-coding,-,-,-,CxxC motif protein,20210607,-
2496992,65066932,KMC41_gt01,KMC41_gt01,ChaoS9_TRNA1,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2496992,65066933,KMC41_gp85,KMC41_gp85,ChaoS9_400,-,-,-,transmembrane domain protein,protein-coding,-,-,-,transmembrane domain protein,20210607,-
2496992,65066934,KMC41_gp84,KMC41_gp84,ChaoS9_405,-,-,-,transmembrane domain protein,protein-coding,-,-,-,transmembrane domain protein,20210607,-
2496992,65066935,KMC41_gp83,KMC41_gp83,ChaoS9_410,-,-,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
2496992,65066936,KMC41_gp82,KMC41_gp82,ChaoS9_415,-,-,-,DUF217 domain protein,protein-coding,-,-,-,DUF217 domain protein,20210607,-
2496992,65066937,KMC41_gp81,KMC41_gp81,ChaoS9_420,-,-,-,CxxC motif protein,protein-coding,-,-,-,CxxC motif protein,20210607,-
2496992,65066938,KMC41_gp02,KMC41_gp02,ChaoS9_005,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20210607,-
2496992,65066939,tnpB,KMC41_gp38,ChaoS9_185,-,-,-,IS1341-type transposase,protein-coding,-,-,-,IS1341-type transposase,20210612,-
2496992,65066940,terS,KMC41_gp01,ChaoS9_425,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2496992,65242996,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Halobacterium salinarum virus ChaoS9; Halovirus ChaoS9).,other,-,-,-,-,20210609,-
