#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
120574,955965,MM1p10,MM1p10,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20201220,-
120574,955997,MM1p08,MM1p08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955998,MM1p35,MM1p35,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201220,-
120574,955999,MM1p27,MM1p27,-,-,-,-,DUF3310 domain-containing protein,protein-coding,-,-,-,DUF3310 domain-containing protein,20201220,-
120574,956000,MM1p25,MM1p25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,956001,MM1p36,MM1p36,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
120574,956002,MM1p09,MM1p09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,956003,MM1p06,MM1p06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,956004,MM1p03,MM1p03,-,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20210417,-
120574,956005,MM1p07,MM1p07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,956006,MM1p02,MM1p02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,956007,MM1p51,MM1p51,-,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20201220,-
120574,956008,MM1p47,MM1p47,-,-,-,-,putative minor structural protein,protein-coding,-,-,-,putative minor structural protein,20201220,-
120574,956009,MM1p46,MM1p46,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201220,-
120574,956010,MM1p42,MM1p42,-,-,-,-,putative minor capsid protein 4,protein-coding,-,-,-,putative minor capsid protein 4,20201220,-
120574,956011,MM1p45,MM1p45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,956012,MM1p43,MM1p43,-,-,-,-,putative major tail shaft protein,protein-coding,-,-,-,putative major tail shaft protein,20201220,-
120574,956013,MM1p48,MM1p48,-,-,-,-,putative anti-receptor protein,protein-coding,-,-,-,putative anti-receptor protein,20201220,-
120574,956014,MM1p44,MM1p44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,956015,MM1p52,MM1p52,-,-,-,-,holin,protein-coding,-,-,-,holin,20201220,-
120574,956016,MM1p49,MM1p49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,956017,MM1p50,MM1p50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,2830091,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Streptococcus pneumoniae bacteriophage MM1).,other,-,-,-,-,20200513,-
