#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047872,40097090,FDJ13_gp02,FDJ13_gp02,PHIRE_GUSTAV_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2047872,40097112,FDJ13_gp24,FDJ13_gp24,PHIRE_GUSTAV_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097113,FDJ13_gp25,FDJ13_gp25,PHIRE_GUSTAV_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2047872,40097114,FDJ13_gp26,FDJ13_gp26,PHIRE_GUSTAV_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097115,FDJ13_gp27,FDJ13_gp27,PHIRE_GUSTAV_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097116,FDJ13_gp28,FDJ13_gp28,PHIRE_GUSTAV_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097117,FDJ13_gp29,FDJ13_gp29,PHIRE_GUSTAV_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097118,FDJ13_gp30,FDJ13_gp30,PHIRE_GUSTAV_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097119,FDJ13_gp31,FDJ13_gp31,PHIRE_GUSTAV_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097120,FDJ13_gp32,FDJ13_gp32,PHIRE_GUSTAV_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097121,FDJ13_gp33,FDJ13_gp33,PHIRE_GUSTAV_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097122,FDJ13_gp34,FDJ13_gp34,PHIRE_GUSTAV_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097123,FDJ13_gp35,FDJ13_gp35,PHIRE_GUSTAV_35,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
2047872,40097124,FDJ13_gp36,FDJ13_gp36,PHIRE_GUSTAV_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097125,FDJ13_gp37,FDJ13_gp37,PHIRE_GUSTAV_37,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
2047872,40097126,FDJ13_gp38,FDJ13_gp38,PHIRE_GUSTAV_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097127,FDJ13_gp39,FDJ13_gp39,PHIRE_GUSTAV_39,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20201221,-
2047872,40097128,FDJ13_gp40,FDJ13_gp40,PHIRE_GUSTAV_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097129,FDJ13_gp41,FDJ13_gp41,PHIRE_GUSTAV_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097130,FDJ13_gp42,FDJ13_gp42,PHIRE_GUSTAV_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097131,FDJ13_gp43,FDJ13_gp43,PHIRE_GUSTAV_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097132,FDJ13_gp44,FDJ13_gp44,PHIRE_GUSTAV_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097133,FDJ13_gp45,FDJ13_gp45,PHIRE_GUSTAV_45,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2047872,40097134,FDJ13_gp46,FDJ13_gp46,PHIRE_GUSTAV_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097135,FDJ13_gp47,FDJ13_gp47,PHIRE_GUSTAV_47,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
2047872,40097136,FDJ13_gp48,FDJ13_gp48,PHIRE_GUSTAV_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097137,FDJ13_gp49,FDJ13_gp49,PHIRE_GUSTAV_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097138,FDJ13_gp50,FDJ13_gp50,PHIRE_GUSTAV_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097139,FDJ13_gp51,FDJ13_gp51,PHIRE_GUSTAV_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097140,FDJ13_gp52,FDJ13_gp52,PHIRE_GUSTAV_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097141,FDJ13_gp53,FDJ13_gp53,PHIRE_GUSTAV_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097142,FDJ13_gp54,FDJ13_gp54,PHIRE_GUSTAV_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097143,FDJ13_gp55,FDJ13_gp55,PHIRE_GUSTAV_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097144,FDJ13_gp56,FDJ13_gp56,PHIRE_GUSTAV_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097145,FDJ13_gp57,FDJ13_gp57,PHIRE_GUSTAV_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097146,FDJ13_gp58,FDJ13_gp58,PHIRE_GUSTAV_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097147,FDJ13_gp59,FDJ13_gp59,PHIRE_GUSTAV_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097148,FDJ13_gp60,FDJ13_gp60,PHIRE_GUSTAV_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097149,FDJ13_gp61,FDJ13_gp61,PHIRE_GUSTAV_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097150,FDJ13_gp62,FDJ13_gp62,PHIRE_GUSTAV_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097151,FDJ13_gp63,FDJ13_gp63,PHIRE_GUSTAV_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097152,FDJ13_gp64,FDJ13_gp64,PHIRE_GUSTAV_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097153,FDJ13_gp65,FDJ13_gp65,PHIRE_GUSTAV_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097154,FDJ13_gp66,FDJ13_gp66,PHIRE_GUSTAV_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097155,FDJ13_gp67,FDJ13_gp67,PHIRE_GUSTAV_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097156,FDJ13_gp68,FDJ13_gp68,PHIRE_GUSTAV_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2047872,40097157,FDJ13_gp69,FDJ13_gp69,PHIRE_GUSTAV_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40097158,FDJ13_gp01,FDJ13_gp01,PHIRE_GUSTAV_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047872,40120514,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
