#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2044561,40096525,FDJ07_gp002,FDJ07_gp002,DLP05_003,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20200910,-
2044561,40096581,FDJ07_gp058,FDJ07_gp058,DLP05_059,-,-,-,superfamily II DNA or RNA helicase,protein-coding,-,-,-,superfamily II DNA or RNA helicase,20200910,-
2044561,40096582,FDJ07_gp059,FDJ07_gp059,DLP05_060,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200910,-
2044561,40096583,FDJ07_gp060,FDJ07_gp060,DLP05_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096584,FDJ07_gp061,FDJ07_gp061,DLP05_062,-,-,-,RecA,protein-coding,-,-,-,RecA,20200910,-
2044561,40096585,FDJ07_gp062,FDJ07_gp062,DLP05_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096586,FDJ07_gp063,FDJ07_gp063,DLP05_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096587,FDJ07_gp064,FDJ07_gp064,DLP05_065,-,-,-,RuvC,protein-coding,-,-,-,RuvC,20200910,-
2044561,40096588,FDJ07_gp065,FDJ07_gp065,DLP05_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096589,FDJ07_gp066,FDJ07_gp066,DLP05_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096590,FDJ07_gp067,FDJ07_gp067,DLP05_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096591,FDJ07_gp068,FDJ07_gp068,DLP05_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096592,FDJ07_gp069,FDJ07_gp069,DLP05_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096593,FDJ07_gp070,FDJ07_gp070,DLP05_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096594,FDJ07_gt001,FDJ07_gt001,DLP05_151,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2044561,40096595,FDJ07_gt002,FDJ07_gt002,DLP05_152,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2044561,40096596,FDJ07_gt003,FDJ07_gt003,DLP05_153,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2044561,40096597,FDJ07_gp149,FDJ07_gp149,DLP05_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096598,FDJ07_gt004,FDJ07_gt004,DLP05_154,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2044561,40096599,FDJ07_gp148,FDJ07_gp148,DLP05_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096600,FDJ07_gp001,FDJ07_gp001,DLP05_002,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
2044561,40096601,FDJ07_gp147,FDJ07_gp147,DLP05_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096602,FDJ07_gp146,FDJ07_gp146,DLP05_075,-,-,-,SPFH domain-containing protein,protein-coding,-,-,-,SPFH domain-containing protein,20200910,-
2044561,40096603,FDJ07_gp145,FDJ07_gp145,DLP05_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096604,FDJ07_gp144,FDJ07_gp144,DLP05_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096605,FDJ07_gp143,FDJ07_gp143,DLP05_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096606,FDJ07_gp142,FDJ07_gp142,DLP05_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096607,FDJ07_gp141,FDJ07_gp141,DLP05_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096608,FDJ07_gp140,FDJ07_gp140,DLP05_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096609,FDJ07_gp139,FDJ07_gp139,DLP05_082,-,-,-,UDP-glucose 4-epimerase,protein-coding,-,-,-,UDP-glucose 4-epimerase,20200910,-
2044561,40096610,FDJ07_gp138,FDJ07_gp138,DLP05_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096611,FDJ07_gp137,FDJ07_gp137,DLP05_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096612,FDJ07_gp136,FDJ07_gp136,DLP05_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096613,FDJ07_gp135,FDJ07_gp135,DLP05_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096614,FDJ07_gp134,FDJ07_gp134,DLP05_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096615,FDJ07_gp133,FDJ07_gp133,DLP05_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096616,FDJ07_gp132,FDJ07_gp132,DLP05_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096617,FDJ07_gp131,FDJ07_gp131,DLP05_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096618,FDJ07_gp130,FDJ07_gp130,DLP05_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096619,FDJ07_gp129,FDJ07_gp129,DLP05_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096620,FDJ07_gp128,FDJ07_gp128,DLP05_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096621,FDJ07_gp127,FDJ07_gp127,DLP05_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096622,FDJ07_gp126,FDJ07_gp126,DLP05_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096623,FDJ07_gp125,FDJ07_gp125,DLP05_096,-,-,-,rhomboid membrane protein,protein-coding,-,-,-,rhomboid membrane protein,20200910,-
2044561,40096624,FDJ07_gp124,FDJ07_gp124,DLP05_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096625,FDJ07_gp123,FDJ07_gp123,DLP05_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096626,FDJ07_gp122,FDJ07_gp122,DLP05_099,-,-,-,PIG-L family deacetylase,protein-coding,-,-,-,PIG-L family deacetylase,20200910,-
2044561,40096627,FDJ07_gp121,FDJ07_gp121,DLP05_100,-,-,-,WcaG,protein-coding,-,-,-,WcaG,20200910,-
2044561,40096628,FDJ07_gp120,FDJ07_gp120,DLP05_101,-,-,-,WecE,protein-coding,-,-,-,WecE,20200910,-
2044561,40096629,FDJ07_gp119,FDJ07_gp119,DLP05_102,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20200910,-
2044561,40096630,FDJ07_gp118,FDJ07_gp118,DLP05_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096631,FDJ07_gp117,FDJ07_gp117,DLP05_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096632,FDJ07_gp116,FDJ07_gp116,DLP05_105,-,-,-,n-acetyl-alpha-d-glucosaminyl l-malate synthase,protein-coding,-,-,-,n-acetyl-alpha-d-glucosaminyl l-malate synthase,20200910,-
2044561,40096633,FDJ07_gp115,FDJ07_gp115,DLP05_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096634,FDJ07_gp114,FDJ07_gp114,DLP05_107,-,-,-,ParBc,protein-coding,-,-,-,ParBc,20200910,-
2044561,40096635,FDJ07_gp113,FDJ07_gp113,DLP05_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096636,FDJ07_gp112,FDJ07_gp112,DLP05_109,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
2044561,40096637,FDJ07_gp111,FDJ07_gp111,DLP05_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096638,FDJ07_gp110,FDJ07_gp110,DLP05_111,-,-,-,DUF3310 containing protein,protein-coding,-,-,-,DUF3310 containing protein,20200910,-
2044561,40096639,FDJ07_gp109,FDJ07_gp109,DLP05_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096640,FDJ07_gp108,FDJ07_gp108,DLP05_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096641,FDJ07_gp107,FDJ07_gp107,DLP05_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096642,FDJ07_gp106,FDJ07_gp106,DLP05_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096643,FDJ07_gp105,FDJ07_gp105,DLP05_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096644,FDJ07_gp104,FDJ07_gp104,DLP05_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096645,FDJ07_gp103,FDJ07_gp103,DLP05_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096646,FDJ07_gp102,FDJ07_gp102,DLP05_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096647,FDJ07_gp101,FDJ07_gp101,DLP05_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096648,FDJ07_gp100,FDJ07_gp100,DLP05_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096649,FDJ07_gp099,FDJ07_gp099,DLP05_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096650,FDJ07_gp098,FDJ07_gp098,DLP05_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096651,FDJ07_gp097,FDJ07_gp097,DLP05_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096652,FDJ07_gp096,FDJ07_gp096,DLP05_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096653,FDJ07_gp095,FDJ07_gp095,DLP05_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096654,FDJ07_gp094,FDJ07_gp094,DLP05_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096655,FDJ07_gp093,FDJ07_gp093,DLP05_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096656,FDJ07_gp092,FDJ07_gp092,DLP05_129,-,-,-,DUF1643 containing protein,protein-coding,-,-,-,DUF1643 containing protein,20200910,-
2044561,40096657,FDJ07_gp091,FDJ07_gp091,DLP05_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096658,FDJ07_gp090,FDJ07_gp090,DLP05_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096659,FDJ07_gp089,FDJ07_gp089,DLP05_132,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
2044561,40096660,FDJ07_gp088,FDJ07_gp088,DLP05_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096661,FDJ07_gp087,FDJ07_gp087,DLP05_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096662,FDJ07_gp086,FDJ07_gp086,DLP05_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096663,FDJ07_gp085,FDJ07_gp085,DLP05_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096664,FDJ07_gp084,FDJ07_gp084,DLP05_137,-,-,-,pyruvate phosphate dikinase,protein-coding,-,-,-,pyruvate phosphate dikinase,20200910,-
2044561,40096665,FDJ07_gp083,FDJ07_gp083,DLP05_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096666,FDJ07_gp082,FDJ07_gp082,DLP05_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096667,FDJ07_gp081,FDJ07_gp081,DLP05_140,-,-,-,transcriptional repressor,protein-coding,-,-,-,transcriptional repressor,20200910,-
2044561,40096668,FDJ07_gp080,FDJ07_gp080,DLP05_141,-,-,-,tyrosine phosphatase family protein,protein-coding,-,-,-,tyrosine phosphatase family protein,20200910,-
2044561,40096669,FDJ07_gp079,FDJ07_gp079,DLP05_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096670,FDJ07_gp078,FDJ07_gp078,DLP05_143,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
2044561,40096671,FDJ07_gp077,FDJ07_gp077,DLP05_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096672,FDJ07_gp076,FDJ07_gp076,DLP05_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096673,FDJ07_gp075,FDJ07_gp075,DLP05_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096674,FDJ07_gp074,FDJ07_gp074,DLP05_147,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
2044561,40096675,FDJ07_gp073,FDJ07_gp073,DLP05_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096676,FDJ07_gp072,FDJ07_gp072,DLP05_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096677,FDJ07_gp071,FDJ07_gp071,DLP05_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40120502,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Stenotrophomonas maltophilia phage vB_SmaS_DLP_5; Stenotrophomonas phage DLP5).,other,-,-,-,-,20200513,-
