#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500814,24663869,ACQ74_gp02,ACQ74_gp02,PHL095N00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500814,24663888,ACQ74_gp21,ACQ74_gp21,PHL095N00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500814,24663889,ACQ74_gp22,ACQ74_gp22,PHL095N00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663890,ACQ74_gp23,ACQ74_gp23,PHL095N00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500814,24663891,ACQ74_gp24,ACQ74_gp24,PHL095N00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663892,ACQ74_gp25,ACQ74_gp25,PHL095N00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663893,ACQ74_gp26,ACQ74_gp26,PHL095N00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663894,ACQ74_gp27,ACQ74_gp27,PHL095N00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663895,ACQ74_gp28,ACQ74_gp28,PHL095N00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663896,ACQ74_gp29,ACQ74_gp29,PHL095N00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663897,ACQ74_gp30,ACQ74_gp30,PHL095N00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500814,24663898,ACQ74_gp31,ACQ74_gp31,PHL095N00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500814,24663899,ACQ74_gp32,ACQ74_gp32,PHL095N00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663900,ACQ74_gp33,ACQ74_gp33,PHL095N00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500814,24663901,ACQ74_gp34,ACQ74_gp34,PHL095N00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663902,ACQ74_gp35,ACQ74_gp35,PHL095N00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663903,ACQ74_gp36,ACQ74_gp36,PHL095N00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500814,24663904,ACQ74_gp37,ACQ74_gp37,PHL095N00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663905,ACQ74_gp38,ACQ74_gp38,PHL095N00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663906,ACQ74_gp39,ACQ74_gp39,PHL095N00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663907,ACQ74_gp40,ACQ74_gp40,PHL095N00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663908,ACQ74_gp41,ACQ74_gp41,PHL095N00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663909,ACQ74_gp42,ACQ74_gp42,PHL095N00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663910,ACQ74_gp43,ACQ74_gp43,PHL095N00_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663911,ACQ74_gp44,ACQ74_gp44,PHL095N00_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663912,ACQ74_gp45,ACQ74_gp45,PHL095N00_45,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500814,24663913,ACQ74_gp01,ACQ74_gp01,PHL095N00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500814,24936528,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
