#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1074305,18560471,2,DANDELION_2,-,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20200909,-
1074305,18560490,21,DANDELION_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560491,22,DANDELION_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560492,23,DANDELION_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560493,24,DANDELION_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560494,25,DANDELION_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560495,26,DANDELION_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560496,27,DANDELION_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560497,28,DANDELION_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560498,29,DANDELION_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560499,30,DANDELION_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560500,31,DANDELION_31,-,-,-,-,band 7 protein,protein-coding,-,-,-,band 7 protein,20200909,-
1074305,18560501,32,DANDELION_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560502,33,DANDELION_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560503,34,DANDELION_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560504,35,DANDELION_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560505,36,DANDELION_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560506,37,DANDELION_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560507,38,DANDELION_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560508,39,DANDELION_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560509,40,DANDELION_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560510,41,DANDELION_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560511,42,DANDELION_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560512,43,DANDELION_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
1074305,18560513,44,DANDELION_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560514,45,DANDELION_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560515,46,DANDELION_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560516,47,DANDELION_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560517,48,DANDELION_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560518,49,DANDELION_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560519,50,DANDELION_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560520,51,DANDELION_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560521,52,DANDELION_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560522,53,DANDELION_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560523,54,DANDELION_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560524,55,DANDELION_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560525,56,DANDELION_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560526,57,DANDELION_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560527,58,DANDELION_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560528,59,DANDELION_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560529,60,DANDELION_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560530,61,DANDELION_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560531,62,DANDELION_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560532,63,DANDELION_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560533,64,DANDELION_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560534,65,DANDELION_65,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200909,-
1074305,18560535,66,DANDELION_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560536,67,DANDELION_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560537,68,DANDELION_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1074305,18560538,69,DANDELION_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560539,70,DANDELION_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560540,71,DANDELION_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560541,72,DANDELION_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560542,73,DANDELION_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560543,74,DANDELION_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560544,75,DANDELION_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560545,76,DANDELION_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560546,77,DANDELION_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560547,78,DANDELION_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560548,79,DANDELION_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560549,80,DANDELION_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560550,81,DANDELION_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560551,82,DANDELION_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560552,83,DANDELION_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560553,84,DANDELION_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560554,85,DANDELION_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560555,86,DANDELION_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1074305,18560556,87,DANDELION_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560557,88,DANDELION_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560558,89,DANDELION_89,-,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20200909,-
1074305,18560559,90,DANDELION_90,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560560,93,DANDELION_93,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560561,94,DANDELION_94,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560562,95,DANDELION_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560563,96,DANDELION_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560564,97,DANDELION_97,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200909,-
1074305,18560565,98,DANDELION_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560566,99,DANDELION_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560567,100,DANDELION_100,-,-,-,-,ThyX,protein-coding,-,-,-,ThyX,20210424,-
1074305,18560568,101,DANDELION_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560569,102,DANDELION_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560570,103,DANDELION_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560571,104,DANDELION_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560572,105,DANDELION_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560573,106,DANDELION_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560574,107,DANDELION_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560575,108,DANDELION_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560576,109,DANDELION_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560577,110,DANDELION_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560578,111,DANDELION_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560579,112,DANDELION_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560580,113,DANDELION_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560581,114,DANDELION_114,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210417,-
1074305,18560582,115,DANDELION_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560583,116,DANDELION_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560584,117,DANDELION_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560585,118,DANDELION_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560586,119,DANDELION_119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560587,120,DANDELION_120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560588,121,DANDELION_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560589,122,DANDELION_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560590,123,DANDELION_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560591,124,DANDELION_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560592,125,DANDELION_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560593,126,DANDELION_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560594,127,DANDELION_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560595,128,DANDELION_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560596,129,DANDELION_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560597,130,DANDELION_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560598,131,DANDELION_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560599,132,DANDELION_132,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
1074305,18560600,133,DANDELION_133,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
1074305,18560601,134,DANDELION_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560602,135,DANDELION_135,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200909,-
1074305,18560603,137,DANDELION_137,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20200909,-
1074305,18560604,136,DANDELION_136,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200909,-
1074305,18560605,138,DANDELION_138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560606,139,DANDELION_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560607,140,DANDELION_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560608,141,DANDELION_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1074305,18560609,142,DANDELION_142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560610,143,DANDELION_143,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200909,-
1074305,18560611,144,DANDELION_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560612,145,DANDELION_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1074305,18560613,146,DANDELION_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1074305,18560614,147,DANDELION_147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560615,148,DANDELION_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560616,149,DANDELION_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560617,150,DANDELION_150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560618,151,DANDELION_151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560619,152,DANDELION_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560620,153,DANDELION_153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560621,154,DANDELION_154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560622,155,DANDELION_155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560623,156,DANDELION_156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560624,157,DANDELION_157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560625,158,DANDELION_158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560626,159,DANDELION_159,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560627,160,DANDELION_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560628,161,DANDELION_161,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560629,162,DANDELION_162,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560630,163,DANDELION_163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560631,164,DANDELION_164,-,-,-,-,peptidyl-tRNA hydrolase,protein-coding,-,-,-,peptidyl-tRNA hydrolase,20200912,-
1074305,18560632,165,DANDELION_165,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560633,166,DANDELION_166,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560634,167,DANDELION_167,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560635,168,DANDELION_168,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560636,169,DANDELION_169,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560637,170,DANDELION_170,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560638,171,DANDELION_171,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560639,172,DANDELION_172,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560640,173,DANDELION_173,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560641,174,DANDELION_174,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560642,176,DANDELION_176,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560643,177,DANDELION_177,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560644,178,DANDELION_178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560645,179,DANDELION_179,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560646,181,DANDELION_181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560647,182,DANDELION_182,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560648,183,DANDELION_183,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560649,184,DANDELION_184,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560650,185,DANDELION_185,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560651,187,DANDELION_187,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560652,188,DANDELION_188,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560653,190,DANDELION_190,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200909,-
1074305,18560654,191,DANDELION_191,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560655,192,DANDELION_192,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560656,193,DANDELION_193,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560657,195,DANDELION_195,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210129,-
1074305,18560658,196,DANDELION_196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560659,197,DANDELION_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560660,198,DANDELION_198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560661,199,DANDELION_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560662,200,DANDELION_200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560663,201,DANDELION_201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560664,202,DANDELION_202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560665,203,DANDELION_203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560666,204,DANDELION_204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560667,205,DANDELION_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560668,206,DANDELION_206,-,-,-,-,ArgD,protein-coding,-,-,-,ArgD,20200909,-
1074305,18560669,207,DANDELION_207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560670,208,DANDELION_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560671,209,DANDELION_209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560672,210,DANDELION_210,-,-,-,-,DnaC,protein-coding,-,-,-,DnaC,20210417,-
1074305,18560673,211,DANDELION_211,-,-,-,-,DnaB,protein-coding,-,-,-,DnaB,20200909,-
1074305,18560674,212,DANDELION_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560675,213,DANDELION_213,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210417,-
1074305,18560676,214,DANDELION_214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560677,215,DANDELION_215,-,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20200909,-
1074305,18560678,216,DANDELION_216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560679,217,DANDELION_217,-,-,-,-,RecA,protein-coding,-,-,-,RecA,20200909,-
1074305,18560680,218,DANDELION_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1074305,18560681,219,DANDELION_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1074305,18560682,220,DANDELION_220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560683,221,DANDELION_221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560684,222,DANDELION_222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560685,223,DANDELION_223,-,-,-,-,RusA,protein-coding,-,-,-,RusA,20210212,-
1074305,18560686,224,DANDELION_224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560687,225,DANDELION_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1074305,18560688,226,DANDELION_226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560689,227,DANDELION_227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560690,228,DANDELION_228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560691,229,DANDELION_229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560692,230,DANDELION_230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560693,231,DANDELION_231,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560694,232,DANDELION_232,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074305,18560695,233,DANDELION_233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1074305,18560696,234,DANDELION_234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560697,235,DANDELION_235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560698,236,DANDELION_236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560699,237,DANDELION_237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560700,238,DANDELION_238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560701,239,DANDELION_239,-,-,-,-,Ro domain RNA binding protein,protein-coding,-,-,-,Ro domain RNA binding protein,20200909,-
1074305,18560702,240,DANDELION_240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074305,18560703,241,DANDELION_241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
