#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1813781,30309400,BOW74_gp02,BOW74_gp02,-,-,-,-,bifunctional DNA primase/polymerase,protein-coding,-,-,-,bifunctional DNA primase/polymerase,20201221,-
1813781,30309427,BOW74_gp29,BOW74_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309428,BOW74_gp30,BOW74_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309429,BOW74_gp31,BOW74_gp31,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210424,-
1813781,30309430,BOW74_gp32,BOW74_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309431,BOW74_gp33,BOW74_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309432,BOW74_gp34,BOW74_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309433,BOW74_gp35,BOW74_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309434,BOW74_gp36,BOW74_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309435,BOW74_gp37,BOW74_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309436,BOW74_gp38,BOW74_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1813781,30309437,BOW74_gp39,BOW74_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309438,BOW74_gp40,BOW74_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309439,BOW74_gp41,BOW74_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309440,BOW74_gp42,BOW74_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309441,BOW74_gp43,BOW74_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309442,BOW74_gp44,BOW74_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309443,BOW74_gp45,BOW74_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309444,BOW74_gp46,BOW74_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309445,BOW74_gp47,BOW74_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309446,BOW74_gp48,BOW74_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309447,BOW74_gp49,BOW74_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309448,BOW74_gp50,BOW74_gp50,-,-,-,-,DNA methylase domain protein,protein-coding,-,-,-,DNA methylase domain protein,20200629,-
1813781,30309449,BOW74_gp51,BOW74_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309450,BOW74_gp52,BOW74_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309451,BOW74_gp53,BOW74_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309452,BOW74_gp54,BOW74_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309453,BOW74_gp55,BOW74_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309454,BOW74_gp56,BOW74_gp56,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200629,-
1813781,30309455,BOW74_gp57,BOW74_gp57,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200629,-
1813781,30309456,BOW74_gp58,BOW74_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309457,BOW74_gp59,BOW74_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309458,BOW74_gp60,BOW74_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309459,BOW74_gp61,BOW74_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309460,BOW74_gp62,BOW74_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1813781,30309461,BOW74_gp63,BOW74_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309462,BOW74_gp64,BOW74_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309463,BOW74_gp65,BOW74_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309464,BOW74_gp66,BOW74_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309465,BOW74_gp67,BOW74_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309466,BOW74_gp68,BOW74_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309467,BOW74_gp69,BOW74_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309468,BOW74_gp70,BOW74_gp70,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1813781,30309469,BOW74_gp71,BOW74_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309470,BOW74_gp01,BOW74_gp01,-,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20210123,-
1813781,30315969,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
