#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
555387,8303255,g33,SRSM4_002,-,-,-,-,putative late promoter transcription factor,protein-coding,-,-,-,putative late promoter transcription factor,20200909,-
555387,8303273,petF,SRSM4_027,-,-,-,-,Ferredoxin,protein-coding,-,-,-,Ferredoxin,20200909,-
555387,8303274,SRSM4_030,SRSM4_030,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303275,SRSM4_031,SRSM4_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303276,SRSM4_032,SRSM4_032,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303277,SRSM4_033,SRSM4_033,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303278,SRSM4_034,SRSM4_034,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303279,SRSM4_035,SRSM4_035,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303280,SRSM4_036,SRSM4_036,-,-,-,-,structral protein,protein-coding,-,-,-,structral protein,20200909,-
555387,8303281,SRSM4_037,SRSM4_037,-,-,-,-,structral protein,protein-coding,-,-,-,structral protein,20200909,-
555387,8303282,SRSM4_038,SRSM4_038,-,-,-,-,structral protein,protein-coding,-,-,-,structral protein,20200909,-
555387,8303283,SRSM4_039,SRSM4_039,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303284,SRSM4_040,SRSM4_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303285,SRSM4_041,SRSM4_041,-,-,-,-,tail fiber like protein,protein-coding,-,-,-,tail fiber like protein,20200909,-
555387,8303286,SRSM4_250,SRSM4_250,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
555387,8303287,SRSM4_043,SRSM4_043,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303288,SRSM4_044,SRSM4_044,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303289,SRSM4_045,SRSM4_045,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303290,talC,SRSM4_046,-,-,-,-,Transaldolase,protein-coding,-,-,-,Transaldolase,20200909,-
555387,8303291,SRSM4_048,SRSM4_048,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303292,SRSM4_247,SRSM4_247,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
555387,8303293,SRSM4_050,SRSM4_050,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303294,SRSM4_051,SRSM4_051,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303295,nrdB,SRSM4_052,-,-,-,-,ribonucleotide reductase B subunit,protein-coding,-,-,-,ribonucleotide reductase B subunit,20200909,-
555387,8303296,SRSM4_056,SRSM4_056,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303297,SRSM4_057,SRSM4_057,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303298,SRSM4_058,SRSM4_058,-,-,-,-,Structural protein,protein-coding,-,-,-,Structural protein,20200909,-
555387,8303299,SRSM4_059,SRSM4_059,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303300,SRSM4_060,SRSM4_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303301,SRSM4_061,SRSM4_061,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303302,SRSM4_062,SRSM4_062,-,-,-,-,conserved cyanophage protein,protein-coding,-,-,-,conserved cyanophage protein,20200909,-
555387,8303303,SRSM4_063,SRSM4_063,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303304,SRSM4_064,SRSM4_064,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303305,SRSM4_065,SRSM4_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303306,SRSM4_066,SRSM4_066,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303307,SRSM4_067,SRSM4_067,-,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20200909,-
555387,8303308,mazG,SRSM4_068,-,-,-,-,MazG,protein-coding,-,-,-,MazG,20200909,-
555387,8303309,g43,SRSM4_072,-,-,-,-,DNA Polymerase,protein-coding,-,-,-,DNA Polymerase,20200909,-
555387,8303310,SRSM4_074,SRSM4_074,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303311,SRSM4_075,SRSM4_075,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303312,hsp20,SRSM4_076,-,-,-,-,small heat shock protein,protein-coding,-,-,-,small heat shock protein,20200909,-
555387,8303313,SRSM4_079,SRSM4_079,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303314,dam,SRSM4_080,-,-,-,-,cytosine specific methyl transferase,protein-coding,-,-,-,cytosine specific methyl transferase,20200909,-
555387,8303315,SRSM4_082,SRSM4_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303316,g44,SRSM4_084,-,-,-,-,T4-like sliding clamp loader protein,protein-coding,-,-,-,T4-like sliding clamp loader protein,20200909,-
555387,8303317,speD,SRSM4_085,-,-,-,-,S-adenosylmethionine decarboxylase,protein-coding,-,-,-,S-adenosylmethionine decarboxylase,20210417,-
555387,8303318,SRSM4_088,SRSM4_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303319,cobS,SRSM4_089,-,-,-,-,cobalamin phosphate synthase like protein,protein-coding,-,-,-,cobalamin phosphate synthase like protein,20200909,-
555387,8303320,g46,SRSM4_091,-,-,-,-,recombination endonuclease sunbunit,protein-coding,-,-,-,recombination endonuclease sunbunit,20200909,-
555387,8303321,g47,SRSM4_093,-,-,-,-,recombination endonuclease sunbunit,protein-coding,-,-,-,recombination endonuclease sunbunit,20200909,-
555387,8303322,g55,SRSM4_095,-,-,-,-,T4-like late sigma factor,protein-coding,-,-,-,T4-like late sigma factor,20200909,-
555387,8303323,uvsW,SRSM4_097,-,-,-,-,Helicase,protein-coding,-,-,-,Helicase,20200909,-
555387,8303324,SRSM4_101,SRSM4_101,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303325,SRSM4_102,SRSM4_102,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303326,SRSM4_103,SRSM4_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303327,SRSM4_104,SRSM4_104,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303328,g23,SRSM4_105,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200909,-
555387,8303329,g20,SRSM4_109,-,-,-,-,portal vertex head protein,protein-coding,-,-,-,portal vertex head protein,20200909,-
555387,8303330,g17,SRSM4_113,-,-,-,-,DNA terminase packaging enzyme large subunit,protein-coding,-,-,-,DNA terminase packaging enzyme large subunit,20200909,-
555387,8303331,SRSM4_115,SRSM4_115,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303332,SRSM4_116,SRSM4_116,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20200909,-
555387,8303333,SRSM4_117,SRSM4_117,-,-,-,-,glucose 6-phosphate dehydrogenase,protein-coding,-,-,-,glucose 6-phosphate dehydrogenase,20200909,-
555387,8303334,SRSM4_118,SRSM4_118,-,-,-,-,6-phosphogluconate dehyrogenase,protein-coding,-,-,-,6-phosphogluconate dehyrogenase,20200909,-
555387,8303335,ptoX,SRSM4_119,-,-,-,-,plastoquinol termianl oxidase,protein-coding,-,-,-,plastoquinol termianl oxidase,20200909,-
555387,8303336,SRSM4_122,SRSM4_122,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303337,SRSM4_123,SRSM4_123,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303338,SRSM4_124,SRSM4_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303339,SRSM4_125,SRSM4_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303340,g16,SRSM4_126,-,-,-,-,DNA terminase packaging enzyme small subunit,protein-coding,-,-,-,DNA terminase packaging enzyme small subunit,20200909,-
555387,8303341,SRSM4_131,SRSM4_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303342,SRSM4_132,SRSM4_132,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303343,SRSM4_133,SRSM4_133,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303344,SRSM4_134,SRSM4_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303345,SRSM4_135,SRSM4_135,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303346,SRSM4_136,SRSM4_136,-,-,-,-,2OG-Fe(II) oxygenase family like protein,protein-coding,-,-,-,2OG-Fe(II) oxygenase family like protein,20200909,-
555387,8303347,SRSM4_137,SRSM4_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303348,SRSM4_138,SRSM4_138,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303349,SRSM4_139,SRSM4_139,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303350,SRSM4_140,SRSM4_140,-,-,-,-,2OG-Fe(II) oxygenase superfamily like protein,protein-coding,-,-,-,2OG-Fe(II) oxygenase superfamily like protein,20200909,-
555387,8303351,SRSM4_141,SRSM4_141,-,-,-,-,2OG-Fe(II) oxygenase superfamily like protein,protein-coding,-,-,-,2OG-Fe(II) oxygenase superfamily like protein,20200909,-
555387,8303352,SRSM4_142,SRSM4_142,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303353,SRSM4_143,SRSM4_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303354,SRSM4_144,SRSM4_144,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303355,SRSM4_145,SRSM4_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303356,SRSM4_146,SRSM4_146,-,-,-,-,tailfiber like protein,protein-coding,-,-,-,tailfiber like protein,20200909,-
555387,8303357,SRSM4_147,SRSM4_147,-,-,-,-,strucutural protein,protein-coding,-,-,-,strucutural protein,20200909,-
555387,8303358,SRSM4_148,SRSM4_148,-,-,-,-,strucutural protein,protein-coding,-,-,-,strucutural protein,20200909,-
555387,8303359,SRSM4_149,SRSM4_149,-,-,-,-,strucutural protein,protein-coding,-,-,-,strucutural protein,20200909,-
555387,8303360,g8,SRSM4_150,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200909,-
555387,8303361,g6,SRSM4_152,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200909,-
555387,8303362,SRSM4_155,SRSM4_155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303363,SRSM4_156,SRSM4_156,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303364,SRSM4_157,SRSM4_157,-,-,-,-,Helicase,protein-coding,-,-,-,Helicase,20200909,-
555387,8303365,SRSM4_158,SRSM4_158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303366,SRSM4_159,SRSM4_159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303367,SRSM4_160,SRSM4_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303368,SRSM4_161,SRSM4_161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303369,SRSM4_162,SRSM4_162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303370,SRSM4_163,SRSM4_163,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303371,SRSM4_164,SRSM4_164,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303372,SRSM4_165,SRSM4_165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303373,SRSM4_166,SRSM4_166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303374,SRSM4_167,SRSM4_167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303375,SRSM4_168,SRSM4_168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303376,SRSM4_169,SRSM4_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303377,SRSM4_170,SRSM4_170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303378,SRSM4_171,SRSM4_171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303379,SRSM4_172,SRSM4_172,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303380,SRSM4_173,SRSM4_173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303381,SRSM4_174,SRSM4_174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303382,SRSM4_175,SRSM4_175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303383,SRSM4_176,SRSM4_176,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303384,SRSM4_177,SRSM4_177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303385,SRSM4_178,SRSM4_178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303386,SRSM4_179,SRSM4_179,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303387,SRSM4_180,SRSM4_180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303388,SRSM4_181,SRSM4_181,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303389,SRSM4_182,SRSM4_182,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303390,SRSM4_183,SRSM4_183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303391,SRSM4_184,SRSM4_184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303392,SRSM4_185,SRSM4_185,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303393,SRSM4_186,SRSM4_186,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303394,SRSM4_187,SRSM4_187,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303395,SRSM4_188,SRSM4_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303396,SRSM4_189,SRSM4_189,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303397,SRSM4_190,SRSM4_190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303398,SRSM4_191,SRSM4_191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303399,SRSM4_192,SRSM4_192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303400,SRSM4_193,SRSM4_193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303401,SRSM4_194,SRSM4_194,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303402,SRSM4_195,SRSM4_195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303403,SRSM4_196,SRSM4_196,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303404,SRSM4_197,SRSM4_197,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303405,SRSM4_198,SRSM4_198,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303406,SRSM4_199,SRSM4_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303407,SRSM4_200,SRSM4_200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303408,SRSM4_201,SRSM4_201,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303409,SRSM4_202,SRSM4_202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303410,SRSM4_203,SRSM4_203,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303411,SRSM4_204,SRSM4_204,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303412,SRSM4_205,SRSM4_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303413,SRSM4_206,SRSM4_206,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303414,SRSM4_207,SRSM4_207,-,-,-,-,2OG-Fe(II) oxygenase family like protein,protein-coding,-,-,-,2OG-Fe(II) oxygenase family like protein,20200909,-
555387,8303415,SRSM4_208,SRSM4_208,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303416,SRSM4_209,SRSM4_209,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303417,SRSM4_210,SRSM4_210,-,-,-,-,possible dioxygenase,protein-coding,-,-,-,possible dioxygenase,20200909,-
555387,8303418,SRSM4_211,SRSM4_211,-,-,-,-,putative short tail fibre,protein-coding,-,-,-,putative short tail fibre,20200909,-
555387,8303419,SRSM4_212,SRSM4_212,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
555387,8303420,SRSM4_213,SRSM4_213,-,-,-,-,putative short tail fibre,protein-coding,-,-,-,putative short tail fibre,20200909,-
555387,8303421,SRSM4_214,SRSM4_214,-,-,-,-,putative short tail fibre,protein-coding,-,-,-,putative short tail fibre,20200909,-
555387,8303422,SRSM4_215,SRSM4_215,-,-,-,-,conserved phage protein,protein-coding,-,-,-,conserved phage protein,20200909,-
555387,8303423,SRSM4_244,SRSM4_244,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
555387,8303424,SRSM4_239,SRSM4_239,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
555387,8303425,SRSM4_219,SRSM4_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303426,nrdC,SRSM4_220,-,-,-,-,NrdC,protein-coding,-,-,-,NrdC,20200909,-
555387,8303427,SRSM4_222,SRSM4_222,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303428,SRSM4_223,SRSM4_223,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303429,SRSM4_224,SRSM4_224,-,-,-,-,putative base plate lysozyme,protein-coding,-,-,-,putative base plate lysozyme,20200909,-
555387,8303430,g5,SRSM4_225,-,-,-,-,putative base plate hub subunit and tail lysozyme,protein-coding,-,-,-,putative base plate hub subunit and tail lysozyme,20200909,-
555387,8303431,SRSM4_227,SRSM4_227,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303432,SRSM4_228,SRSM4_228,-,-,-,-,2OG-Fe(II) oxygenase family like protein,protein-coding,-,-,-,2OG-Fe(II) oxygenase family like protein,20200909,-
555387,8303433,g51,SRSM4_229,-,-,-,-,base plate hub assembly catalyst,protein-coding,-,-,-,base plate hub assembly catalyst,20200909,-
555387,8303434,g4,SRSM4_232,-,-,-,-,T4-like head completion protein,protein-coding,-,-,-,T4-like head completion protein,20200909,-
555387,8303435,g32,SRSM4_237,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200909,-
555387,8303436,SRSM4_218,SRSM4_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303437,cepT,SRSM4_216,-,-,-,-,CepT like protein,protein-coding,-,-,-,CepT like protein,20200909,-
555387,8303438,SRSM4_240,SRSM4_240,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
555387,8303439,SRSM4_241,SRSM4_241,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
555387,8303440,SRSM4_242,SRSM4_242,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
555387,8303441,SRSM4_243,SRSM4_243,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
555387,8303442,SRSM4_049,SRSM4_049,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20210417,-
555387,8303443,SRSM4_245,SRSM4_245,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
555387,8303444,SRSM4_246,SRSM4_246,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
555387,8303445,SRSM4_047,SRSM4_047,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303446,SRSM4_248,SRSM4_248,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
555387,8303447,SRSM4_042,SRSM4_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303448,SRSM4_217,SRSM4_217,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303449,SRSM4_090,SRSM4_090,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303450,SRSM4_081,SRSM4_081,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303451,SRSM4_130,SRSM4_130,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
