#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327035,16212743,JMN56_gt01,JMN56_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20210122,-
1327035,16212785,JMN56_gp60,JMN56_gp60,CASbig_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212786,JMN56_gp52,JMN56_gp52,CASbig_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212787,JMN56_gp29,JMN56_gp29,CASbig_29,-,-,-,putative Endo VII,protein-coding,-,-,-,putative Endo VII,20210122,-
1327035,16212788,JMN56_gp79,JMN56_gp79,CASbig_79,-,-,-,putative head structural protein,protein-coding,-,-,-,putative head structural protein,20210122,-
1327035,16212789,JMN56_gp48,JMN56_gp48,CASbig_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212790,JMN56_gp39,JMN56_gp39,CASbig_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212791,JMN56_gp33,JMN56_gp33,CASbig_33,-,-,-,putative DNA topoisomerase-primase,protein-coding,-,-,-,putative DNA topoisomerase-primase,20210417,-
1327035,16212792,JMN56_gp40,JMN56_gp40,CASbig_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212793,JMN56_gp45,JMN56_gp45,CASbig_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212794,JMN56_gp44,JMN56_gp44,CASbig_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212795,JMN56_gp11,JMN56_gp11,CASbig_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212796,JMN56_gp22,JMN56_gp22,CASbig_22,-,-,-,putative RecB,protein-coding,-,-,-,putative RecB,20210122,-
1327035,16212797,JMN56_gp42,JMN56_gp42,CASbig_42,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210122,-
1327035,16212798,JMN56_gp41,JMN56_gp41,CASbig_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212799,JMN56_gp46,JMN56_gp46,CASbig_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212800,JMN56_gp38,JMN56_gp38,CASbig_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212801,JMN56_gp37,JMN56_gp37,CASbig_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212802,JMN56_gp50,JMN56_gp50,CASbig_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212803,JMN56_gp35,JMN56_gp35,CASbig_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212804,JMN56_gp58,JMN56_gp58,CASbig_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212805,JMN56_gp34,JMN56_gp34,CASbig_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212806,JMN56_gp31,JMN56_gp31,CASbig_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212807,JMN56_gp01,JMN56_gp01,CASbig_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212808,JMN56_gp43,JMN56_gp43,CASbig_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212809,JMN56_gp25,JMN56_gp25,CASbig_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212810,JMN56_gp10,JMN56_gp10,CASbig_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212811,JMN56_gp36,JMN56_gp36,CASbig_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212812,JMN56_gp06,JMN56_gp06,CASbig_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212813,JMN56_gp64,JMN56_gp64,CASbig_64,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210122,-
1327035,16212814,JMN56_gp24,JMN56_gp24,CASbig_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212815,JMN56_gp30,JMN56_gp30,CASbig_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212816,JMN56_gp65,JMN56_gp65,CASbig_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212817,JMN56_gp55,JMN56_gp55,CASbig_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212818,JMN56_gp16,JMN56_gp16,CASbig_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212819,JMN56_gp54,JMN56_gp54,CASbig_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212820,JMN56_gp93,JMN56_gp93,CASbig_93,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210122,-
1327035,16212821,JMN56_gp19,JMN56_gp19,CASbig_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212822,JMN56_gp02,JMN56_gp02,CASbig_2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212823,JMN56_gp81,JMN56_gp81,CASbig_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212824,JMN56_gp28,JMN56_gp28,CASbig_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212825,JMN56_gp14,JMN56_gp14,CASbig_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212826,JMN56_gp94,JMN56_gp94,CASbig_94,-,-,-,putative tail fiber-like protein,protein-coding,-,-,-,putative tail fiber-like protein,20210122,-
1327035,16212827,JMN56_gp20,JMN56_gp20,CASbig_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212828,JMN56_gp09,JMN56_gp09,CASbig_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212829,JMN56_gp69,JMN56_gp69,CASbig_69,-,-,-,putative tapemeasure protein,protein-coding,-,-,-,putative tapemeasure protein,20210122,-
1327035,16212830,JMN56_gp68,JMN56_gp68,CASbig_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212831,JMN56_gp71,JMN56_gp71,CASbig_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212832,JMN56_gp05,JMN56_gp05,CASbig_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212833,JMN56_gp21,JMN56_gp21,CASbig_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212834,JMN56_gp03,JMN56_gp03,CASbig_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212835,JMN56_gp23,JMN56_gp23,CASbig_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212836,JMN56_gp86,JMN56_gp86,CASbig_86,-,-,-,putative lysin B,protein-coding,-,-,-,putative lysin B,20210122,-
1327035,16212837,JMN56_gp08,JMN56_gp08,CASbig_8,-,-,-,putative S-adenosylmethionine-dependent methyltransferases,protein-coding,-,-,-,putative S-adenosylmethionine-dependent methyltransferases,20210122,-
1327035,16212838,JMN56_gp27,JMN56_gp27,CASbig_27,-,-,-,putative DnaB-like helicase,protein-coding,-,-,-,putative DnaB-like helicase,20210403,-
1327035,16212839,JMN56_gp17,JMN56_gp17,CASbig_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212840,JMN56_gp83,JMN56_gp83,CASbig_83,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1327035,16216340,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
