#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2283025,55015558,HOV55_gp02,HOV55_gp02,MZUP2_020,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200801,-
2283025,55015612,HOV55_gp56,HOV55_gp56,MZUP2_560,-,-,-,repressor protein CII,protein-coding,-,-,-,repressor protein CII,20200629,-
2283025,55015613,HOV55_gp57,HOV55_gp57,MZUP2_570,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200801,-
2283025,55015614,HOV55_gp58,HOV55_gp58,MZUP2_580,-,-,-,DNA replication protein O,protein-coding,-,-,-,DNA replication protein O,20200629,-
2283025,55015615,HOV55_gp59,HOV55_gp59,MZUP2_590,-,-,-,DNA replication protein P,protein-coding,-,-,-,DNA replication protein P,20210403,-
2283025,55015616,HOV55_gp60,HOV55_gp60,MZUP2_600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015617,HOV55_gp61,HOV55_gp61,MZUP2_610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015618,HOV55_gp62,HOV55_gp62,MZUP2_620,-,-,-,NinX protein,protein-coding,-,-,-,NinX protein,20210403,-
2283025,55015619,HOV55_gp63,HOV55_gp63,MZUP2_630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015620,HOV55_gp64,HOV55_gp64,MZUP2_640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015621,HOV55_gp65,HOV55_gp65,MZUP2_650,-,-,-,6N-adenine methylase,protein-coding,-,-,-,6N-adenine methylase,20200801,-
2283025,55015622,HOV55_gp66,HOV55_gp66,MZUP2_660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015623,HOV55_gp67,HOV55_gp67,MZUP2_670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015624,HOV55_gp68,HOV55_gp68,MZUP2_680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015625,HOV55_gp69,HOV55_gp69,MZUP2_690,-,-,-,cytosine methyltransferase,protein-coding,-,-,-,cytosine methyltransferase,20200801,-
2283025,55015626,HOV55_gp70,HOV55_gp70,MZUP2_700,-,-,-,NinF protein,protein-coding,-,-,-,NinF protein,20210403,-
2283025,55015627,HOV55_gp71,HOV55_gp71,MZUP2_710,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200801,-
2283025,55015628,HOV55_gp72,HOV55_gp72,MZUP2_720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015629,HOV55_gp73,HOV55_gp73,MZUP2_730,-,-,-,antitermination protein Q,protein-coding,-,-,-,antitermination protein Q,20210403,-
2283025,55015630,HOV55_gp74,HOV55_gp74,MZUP2_740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015631,HOV55_gp75,HOV55_gp75,MZUP2_750,-,-,-,holin,protein-coding,-,-,-,holin,20210403,-
2283025,55015632,HOV55_gp76,HOV55_gp76,MZUP2_760,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200801,-
2283025,55015633,HOV55_gp77,HOV55_gp77,MZUP2_770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015634,HOV55_gp78,HOV55_gp78,MZUP2_780,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200629,-
2283025,55015635,HOV55_gp79,HOV55_gp79,MZUP2_790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015636,HOV55_gp80,HOV55_gp80,MZUP2_800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015637,HOV55_gp01,HOV55_gp01,MZUP2_010,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
2283025,55154076,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
