#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1481187,22112134,vB_AbaP_Acibel007_2,vB_AbaP_Acibel007_2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112158,vB_AbaP_Acibel007_26,vB_AbaP_Acibel007_26,-,-,-,-,putative DNA exonuclease,protein-coding,-,-,-,putative DNA exonuclease,20201221,-
1481187,22112159,vB_AbaP_Acibel007_27,vB_AbaP_Acibel007_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112160,vB_AbaP_Acibel007_28,vB_AbaP_Acibel007_28,-,-,-,-,putative DNA endonuclease VII,protein-coding,-,-,-,putative DNA endonuclease VII,20201221,-
1481187,22112161,vB_AbaP_Acibel007_29,vB_AbaP_Acibel007_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112162,vB_AbaP_Acibel007_30,vB_AbaP_Acibel007_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112163,vB_AbaP_Acibel007_31,vB_AbaP_Acibel007_31,-,-,-,-,putative dNMP kinase,protein-coding,-,-,-,putative dNMP kinase,20201221,-
1481187,22112164,vB_AbaP_Acibel007_32,vB_AbaP_Acibel007_32,-,-,-,-,putative DNA-dependent RNA polymerase,protein-coding,-,-,-,putative DNA-dependent RNA polymerase,20201221,-
1481187,22112165,vB_AbaP_Acibel007_33,vB_AbaP_Acibel007_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112166,vB_AbaP_Acibel007_34,vB_AbaP_Acibel007_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112167,vB_AbaP_Acibel007_35,vB_AbaP_Acibel007_35,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1481187,22112168,vB_AbaP_Acibel007_36,vB_AbaP_Acibel007_36,-,-,-,-,putative head-tail connector protein,protein-coding,-,-,-,putative head-tail connector protein,20201221,-
1481187,22112169,vB_AbaP_Acibel007_37,vB_AbaP_Acibel007_37,-,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20201221,-
1481187,22112170,vB_AbaP_Acibel007_38,vB_AbaP_Acibel007_38,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1481187,22112171,vB_AbaP_Acibel007_39,vB_AbaP_Acibel007_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112172,vB_AbaP_Acibel007_40,vB_AbaP_Acibel007_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112173,vB_AbaP_Acibel007_41,vB_AbaP_Acibel007_41,-,-,-,-,putative tail tubular protein A,protein-coding,-,-,-,putative tail tubular protein A,20201221,-
1481187,22112174,vB_AbaP_Acibel007_42,vB_AbaP_Acibel007_42,-,-,-,-,putative tail tubular protein B,protein-coding,-,-,-,putative tail tubular protein B,20201221,-
1481187,22112175,vB_AbaP_Acibel007_43,vB_AbaP_Acibel007_43,-,-,-,-,putative internal virion protein B,protein-coding,-,-,-,putative internal virion protein B,20201221,-
1481187,22112176,vB_AbaP_Acibel007_44,vB_AbaP_Acibel007_44,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1481187,22112177,vB_AbaP_Acibel007_45,vB_AbaP_Acibel007_45,-,-,-,-,putative internal virion core protein,protein-coding,-,-,-,putative internal virion core protein,20201221,-
1481187,22112178,vB_AbaP_Acibel007_46,vB_AbaP_Acibel007_46,-,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20201221,-
1481187,22112179,vB_AbaP_Acibel007_47,vB_AbaP_Acibel007_47,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1481187,22112180,vB_AbaP_Acibel007_48,vB_AbaP_Acibel007_48,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1481187,22112181,vB_AbaP_Acibel007_49,vB_AbaP_Acibel007_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112182,vB_AbaP_Acibel007_50,vB_AbaP_Acibel007_50,-,-,-,-,putative DNA maturase A,protein-coding,-,-,-,putative DNA maturase A,20201221,-
1481187,22112183,vB_AbaP_Acibel007_51,vB_AbaP_Acibel007_51,-,-,-,-,putative DNA maturase B,protein-coding,-,-,-,putative DNA maturase B,20201221,-
1481187,22112184,vB_AbaP_Acibel007_52,vB_AbaP_Acibel007_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112185,vB_AbaP_Acibel007_53,vB_AbaP_Acibel007_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112186,vB_AbaP_Acibel007_gp1,vB_AbaP_Acibel007_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22203812,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Acinetobacter baumannii phage vB_AbaP_Acibel007).,other,-,-,-,-,20200520,-
