#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2741075,55412458,HOQ51_gp02,HOQ51_gp02,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210327,-
2741075,55412484,HOQ51_gp28,HOQ51_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412485,HOQ51_gp29,HOQ51_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412486,HOQ51_gp30,HOQ51_gp30,-,-,-,-,fibrinogen-like coiled coil protein,protein-coding,-,-,-,fibrinogen-like coiled coil protein,20201222,-
2741075,55412487,HOQ51_gp31,HOQ51_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412488,HOQ51_gp32,HOQ51_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412489,HOQ51_gp33,HOQ51_gp33,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210327,-
2741075,55412490,HOQ51_gp34,HOQ51_gp34,-,-,-,-,lysozyme murein hydrolase,protein-coding,-,-,-,lysozyme murein hydrolase,20210327,-
2741075,55412491,HOQ51_gp35,HOQ51_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412492,HOQ51_gp36,HOQ51_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412493,HOQ51_gp37,HOQ51_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412494,HOQ51_gp38,HOQ51_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412495,HOQ51_gp39,HOQ51_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412496,HOQ51_gp40,HOQ51_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412497,HOQ51_gp41,HOQ51_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412498,HOQ51_gp42,HOQ51_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412499,HOQ51_gp43,HOQ51_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412500,HOQ51_gp44,HOQ51_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412501,HOQ51_gp45,HOQ51_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412502,HOQ51_gp46,HOQ51_gp46,-,-,-,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20210327,-
2741075,55412503,HOQ51_gp47,HOQ51_gp47,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210327,-
2741075,55412504,HOQ51_gp48,HOQ51_gp48,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20210327,-
2741075,55412505,HOQ51_gp49,HOQ51_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412506,HOQ51_gp50,HOQ51_gp50,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210327,-
2741075,55412507,HOQ51_gp51,HOQ51_gp51,-,-,-,-,endodeoxyribonuclease I,protein-coding,-,-,-,endodeoxyribonuclease I,20210327,-
2741075,55412508,HOQ51_gp52,HOQ51_gp52,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210327,-
2741075,55412509,HOQ51_gp53,HOQ51_gp53,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210327,-
2741075,55412510,HOQ51_gp54,HOQ51_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412511,HOQ51_gp55,HOQ51_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55412512,HOQ51_gp01,HOQ51_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2741075,55436108,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200610,-
