#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1610837,26646233,AVU34_gp02,AVU34_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1610837,26646254,AVU34_gp23,AVU34_gp23,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1610837,26646255,AVU34_gp24,AVU34_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646256,AVU34_gp25,AVU34_gp25,-,-,-,-,putative endosialidase-like protein,protein-coding,-,-,-,putative endosialidase-like protein,20200629,-
1610837,26646257,AVU34_gp26,AVU34_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646258,AVU34_gp27,AVU34_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646259,AVU34_gp28,AVU34_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646260,AVU34_gp29,AVU34_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646261,AVU34_gp30,AVU34_gp30,-,-,-,-,DNA polymerase B region,protein-coding,-,-,-,DNA polymerase B region,20200629,-
1610837,26646262,AVU34_gp31,AVU34_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646263,AVU34_gp32,AVU34_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646264,AVU34_gp33,AVU34_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646265,AVU34_gp34,AVU34_gp34,-,-,-,-,GTP cyclohydrolase I / queuosine biosynthesis protein FolE,protein-coding,-,-,-,GTP cyclohydrolase I / queuosine biosynthesis protein FolE,20200629,-
1610837,26646266,AVU34_gp35,AVU34_gp35,-,-,-,-,6-carboxytetrahydropterin synthase,protein-coding,-,-,-,6-carboxytetrahydropterin synthase,20200629,-
1610837,26646267,AVU34_gp36,AVU34_gp36,-,-,-,-,glutamine amidotransferases class-II (GATase) / queuosine biosynthesis QueC ATPase,protein-coding,-,-,-,glutamine amidotransferases class-II (GATase) / queuosine biosynthesis QueC ATPase,20200629,-
1610837,26646268,AVU34_gp37,AVU34_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646269,AVU34_gp38,AVU34_gp38,-,-,-,-,queuosine Biosynthesis QueE Radical SAM,protein-coding,-,-,-,queuosine Biosynthesis QueE Radical SAM,20200629,-
1610837,26646270,AVU34_gp39,AVU34_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646271,AVU34_gp40,AVU34_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646272,AVU34_gp41,AVU34_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646273,AVU34_gp42,AVU34_gp42,-,-,-,-,"type I restriction-modification system, restriction subunit R",protein-coding,-,-,-,"type I restriction-modification system, restriction subunit R",20200629,-
1610837,26646274,AVU34_gp43,AVU34_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646275,AVU34_gp44,AVU34_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646276,AVU34_gp45,AVU34_gp45,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210424,-
1610837,26646277,AVU34_gp46,AVU34_gp46,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200629,-
1610837,26646278,AVU34_gp47,AVU34_gp47,-,-,-,-,RNAse H,protein-coding,-,-,-,RNAse H,20200629,-
1610837,26646279,AVU34_gp48,AVU34_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646280,AVU34_gp49,AVU34_gp49,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20200629,-
1610837,26646281,AVU34_gp50,AVU34_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646282,AVU34_gp51,AVU34_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646283,AVU34_gp52,AVU34_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646284,AVU34_gp53,AVU34_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646285,AVU34_gp54,AVU34_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646286,AVU34_gp55,AVU34_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646287,AVU34_gp56,AVU34_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646288,AVU34_gp57,AVU34_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646289,AVU34_gp58,AVU34_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646290,AVU34_gp59,AVU34_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646291,AVU34_gp60,AVU34_gp60,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200629,-
1610837,26646292,AVU34_gp61,AVU34_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646293,AVU34_gp62,AVU34_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646294,AVU34_gp63,AVU34_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646295,AVU34_gp64,AVU34_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646296,AVU34_gp65,AVU34_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646297,AVU34_gp66,AVU34_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646298,AVU34_gp67,AVU34_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646299,AVU34_gp68,AVU34_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646300,AVU34_gp69,AVU34_gp69,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200629,-
1610837,26646301,AVU34_gp70,AVU34_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646302,AVU34_gp71,AVU34_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646303,AVU34_gp72,AVU34_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646304,AVU34_gp73,AVU34_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646305,AVU34_gp74,AVU34_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646306,AVU34_gp75,AVU34_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646307,AVU34_gp76,AVU34_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646308,AVU34_gp77,AVU34_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646309,AVU34_gp78,AVU34_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646310,AVU34_gp79,AVU34_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646311,AVU34_gp80,AVU34_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646312,AVU34_gp81,AVU34_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646313,AVU34_gp82,AVU34_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646314,AVU34_gp83,AVU34_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646315,AVU34_gp84,AVU34_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646316,AVU34_gp85,AVU34_gp85,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
1610837,26646317,AVU34_gp86,AVU34_gp86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646318,AVU34_gp87,AVU34_gp87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646319,AVU34_gp01,AVU34_gp01,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20200629,-
1610837,26680752,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
