#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713257,55628229,2,HWD16_gp02,SEA_ARETE_2,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210129,-
2713257,55628249,22,HWD16_gp22,SEA_ARETE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628250,23,HWD16_gp23,SEA_ARETE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628251,24,HWD16_gp24,SEA_ARETE_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2713257,55628252,25,HWD16_gp25,SEA_ARETE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628253,26,HWD16_gp26,SEA_ARETE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628254,27,HWD16_gp27,SEA_ARETE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628255,28,HWD16_gp28,SEA_ARETE_28,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2713257,55628256,29,HWD16_gp29,SEA_ARETE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628257,30,HWD16_gp30,SEA_ARETE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628258,31,HWD16_gp31,SEA_ARETE_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2713257,55628259,32,HWD16_gp32,SEA_ARETE_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210129,-
2713257,55628260,33,HWD16_gp33,SEA_ARETE_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210129,-
2713257,55628261,34,HWD16_gp34,SEA_ARETE_34,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210129,-
2713257,55628262,35,HWD16_gp35,SEA_ARETE_35,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2713257,55628263,36,HWD16_gp36,SEA_ARETE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628264,37,HWD16_gp37,SEA_ARETE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628265,38,HWD16_gp38,SEA_ARETE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628266,39,HWD16_gp39,SEA_ARETE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628267,40,HWD16_gp40,SEA_ARETE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628268,41,HWD16_gp41,SEA_ARETE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628269,42,HWD16_gp42,SEA_ARETE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628270,43,HWD16_gp43,SEA_ARETE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628271,44,HWD16_gp44,SEA_ARETE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628272,45,HWD16_gp45,SEA_ARETE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628273,46,HWD16_gp46,SEA_ARETE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628274,47,HWD16_gp47,SEA_ARETE_47,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2713257,55628275,48,HWD16_gp48,SEA_ARETE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628276,49,HWD16_gp49,SEA_ARETE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628277,1,HWD16_gp01,SEA_ARETE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55636147,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
