#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
687803,29124006,BJD43_gp002,BJD43_gp002,R290704_002,-,-,-,cAMP phosphodiesterase,protein-coding,-,-,-,cAMP phosphodiesterase,20200909,-
687803,29124050,BJD43_gp202,BJD43_gp202,R290704_046,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
687803,29124051,BJD43_gp201,BJD43_gp201,R290704_047,-,-,-,ferrochelatase,protein-coding,-,-,-,ferrochelatase,20200909,-
687803,29124052,BJD43_gp200,BJD43_gp200,R290704_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124053,BJD43_gp199,BJD43_gp199,R290704_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124054,BJD43_gp198,BJD43_gp198,R290704_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124055,BJD43_gp197,BJD43_gp197,R290704_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124056,BJD43_gp196,BJD43_gp196,R290704_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124057,BJD43_gp195,BJD43_gp195,R290704_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124058,BJD43_gp194,BJD43_gp194,R290704_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124059,BJD43_gp193,BJD43_gp193,R290704_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124060,BJD43_gp192,BJD43_gp192,R290704_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124061,BJD43_gp191,BJD43_gp191,R290704_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124062,BJD43_gp190,BJD43_gp190,R290704_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124063,BJD43_gp189,BJD43_gp189,R290704_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124064,BJD43_gp188,BJD43_gp188,R290704_060,-,-,-,methyl-directed repair DNA adenine methylase,protein-coding,-,-,-,methyl-directed repair DNA adenine methylase,20200909,-
687803,29124065,BJD43_gp187,BJD43_gp187,R290704_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124066,BJD43_gp186,BJD43_gp186,R290704_062,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200909,-
687803,29124067,BJD43_gp185,BJD43_gp185,R290704_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124068,BJD43_gp184,BJD43_gp184,R290704_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124069,BJD43_gp183,BJD43_gp183,R290704_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124070,BJD43_gp182,BJD43_gp182,R290704_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124071,BJD43_gp181,BJD43_gp181,R290704_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124072,BJD43_gp180,BJD43_gp180,R290704_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124073,BJD43_gp179,BJD43_gp179,R290704_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124074,BJD43_gp178,BJD43_gp178,R290704_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124075,BJD43_gp177,BJD43_gp177,R290704_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124076,BJD43_gp176,BJD43_gp176,R290704_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124077,BJD43_gp175,BJD43_gp175,R290704_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124078,BJD43_gp174,BJD43_gp174,R290704_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124079,BJD43_gp173,BJD43_gp173,R290704_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124080,BJD43_gp172,BJD43_gp172,R290704_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124081,BJD43_gp171,BJD43_gp171,R290704_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124082,BJD43_gp170,BJD43_gp170,R290704_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124083,BJD43_gp169,BJD43_gp169,R290704_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124084,BJD43_gp168,BJD43_gp168,R290704_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124085,BJD43_gp167,BJD43_gp167,R290704_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124086,BJD43_gp166,BJD43_gp166,R290704_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124087,BJD43_gp165,BJD43_gp165,R290704_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124088,BJD43_gp164,BJD43_gp164,R290704_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124089,BJD43_gp163,BJD43_gp163,R290704_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124090,BJD43_gp162,BJD43_gp162,R290704_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124091,BJD43_gp161,BJD43_gp161,R290704_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124092,BJD43_gp160,BJD43_gp160,R290704_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124093,BJD43_gp159,BJD43_gp159,R290704_089,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
687803,29124094,BJD43_gp158,BJD43_gp158,R290704_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124095,BJD43_gp157,BJD43_gp157,R290704_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124096,BJD43_gp156,BJD43_gp156,R290704_092,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200909,-
687803,29124097,BJD43_gp155,BJD43_gp155,R290704_093,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200909,-
687803,29124098,BJD43_gp154,BJD43_gp154,R290704_094,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20200909,-
687803,29124099,BJD43_gp153,BJD43_gp153,R290704_095,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200909,-
687803,29124100,BJD43_gp152,BJD43_gp152,R290704_096,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20200909,-
687803,29124101,BJD43_gp151,BJD43_gp151,R290704_097,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20200909,-
687803,29124102,BJD43_gp150,BJD43_gp150,R290704_098,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200909,-
687803,29124103,BJD43_gp149,BJD43_gp149,R290704_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124104,BJD43_gp148,BJD43_gp148,R290704_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124105,BJD43_gp147,BJD43_gp147,R290704_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124106,BJD43_gp146,BJD43_gp146,R290704_102,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
687803,29124107,BJD43_gp145,BJD43_gp145,R290704_103,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
687803,29124108,BJD43_gp144,BJD43_gp144,R290704_104,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200909,-
687803,29124109,BJD43_gp143,BJD43_gp143,R290704_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124110,BJD43_gp142,BJD43_gp142,R290704_106,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200909,-
687803,29124111,BJD43_gp141,BJD43_gp141,R290704_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124112,BJD43_gp140,BJD43_gp140,R290704_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124113,BJD43_gp139,BJD43_gp139,R290704_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124114,BJD43_gp138,BJD43_gp138,R290704_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124115,BJD43_gp137,BJD43_gp137,R290704_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124116,BJD43_gp136,BJD43_gp136,R290704_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124117,BJD43_gp135,BJD43_gp135,R290704_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124118,BJD43_gp134,BJD43_gp134,R290704_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124119,BJD43_gp133,BJD43_gp133,R290704_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124120,BJD43_gp132,BJD43_gp132,R290704_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124121,BJD43_gp131,BJD43_gp131,R290704_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124122,BJD43_gp130,BJD43_gp130,R290704_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124123,BJD43_gp129,BJD43_gp129,R290704_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124124,BJD43_gp128,BJD43_gp128,R290704_120,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200909,-
687803,29124125,BJD43_gp127,BJD43_gp127,R290704_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124126,BJD43_gp126,BJD43_gp126,R290704_122,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200909,-
687803,29124127,BJD43_gp125,BJD43_gp125,R290704_123,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20200909,-
687803,29124128,BJD43_gp124,BJD43_gp124,R290704_124,-,-,-,tail tube monomer protein,protein-coding,-,-,-,tail tube monomer protein,20200909,-
687803,29124129,BJD43_gp123,BJD43_gp123,R290704_125,-,-,-,portal vertex of the head,protein-coding,-,-,-,portal vertex of the head,20200909,-
687803,29124130,BJD43_gp122,BJD43_gp122,R290704_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124131,BJD43_gp121,BJD43_gp121,R290704_127,-,-,-,prohead core scaffold and protease,protein-coding,-,-,-,prohead core scaffold and protease,20200909,-
687803,29124132,BJD43_gp120,BJD43_gp120,R290704_128,-,-,-,prohead assembly scaffold protein,protein-coding,-,-,-,prohead assembly scaffold protein,20200909,-
687803,29124133,BJD43_gp119,BJD43_gp119,R290704_129,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200909,-
687803,29124134,BJD43_gp118,BJD43_gp118,R290704_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124135,BJD43_gp117,BJD43_gp117,R290704_131,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20200909,-
687803,29124136,BJD43_gp116,BJD43_gp116,R290704_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124137,BJD43_gp115,BJD43_gp115,R290704_133,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20200909,-
687803,29124138,BJD43_gp114,BJD43_gp114,R290704_134,-,-,-,2OG-Fe(II) oxygenase superfamily protein,protein-coding,-,-,-,2OG-Fe(II) oxygenase superfamily protein,20200909,-
687803,29124139,BJD43_gp113,BJD43_gp113,R290704_135,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200909,-
687803,29124140,BJD43_gp112,BJD43_gp112,R290704_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124141,BJD43_gp111,BJD43_gp111,R290704_137,-,-,-,RNA polymerase sigma factor for late transcription,protein-coding,-,-,-,RNA polymerase sigma factor for late transcription,20200909,-
687803,29124142,BJD43_gp110,BJD43_gp110,R290704_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124143,BJD43_gp109,BJD43_gp109,R290704_139,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200909,-
687803,29124144,BJD43_gp108,BJD43_gp108,R290704_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124145,BJD43_gp107,BJD43_gp107,R290704_141,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200909,-
687803,29124146,BJD43_gp106,BJD43_gp106,R290704_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124147,BJD43_gp105,BJD43_gp105,R290704_143,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200909,-
687803,29124148,BJD43_gp104,BJD43_gp104,R290704_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124149,BJD43_gp103,BJD43_gp103,R290704_145,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200909,-
687803,29124150,BJD43_gp102,BJD43_gp102,R290704_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124151,BJD43_gp101,BJD43_gp101,R290704_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124152,BJD43_gp100,BJD43_gp100,R290704_148,-,-,-,CobS,protein-coding,-,-,-,CobS,20200909,-
687803,29124153,BJD43_gp099,BJD43_gp099,R290704_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
687803,29124154,BJD43_gp098,BJD43_gp098,R290704_150,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20200909,-
687803,29124155,BJD43_gp097,BJD43_gp097,R290704_151,-,-,-,S-adenosylmethionine decarboxylase,protein-coding,-,-,-,S-adenosylmethionine decarboxylase,20200909,-
687803,29124156,BJD43_gp096,BJD43_gp096,R290704_152,-,-,-,DNA polymerase clamp loader small subunit,protein-coding,-,-,-,DNA polymerase clamp loader small subunit,20200909,-
687803,29124157,BJD43_gp095,BJD43_gp095,R290704_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124158,BJD43_gp094,BJD43_gp094,R290704_154,-,-,-,type II N-methyl DNA methyltransferase,protein-coding,-,-,-,type II N-methyl DNA methyltransferase,20200909,-
687803,29124159,BJD43_gp093,BJD43_gp093,R290704_155,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20200909,-
687803,29124160,BJD43_gp092,BJD43_gp092,R290704_156,-,-,-,RegA,protein-coding,-,-,-,RegA,20200909,-
687803,29124161,BJD43_gp091,BJD43_gp091,R290704_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124162,BJD43_gp090,BJD43_gp090,R290704_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124163,BJD43_gp089,BJD43_gp089,R290704_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124164,BJD43_gp088,BJD43_gp088,R290704_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124165,BJD43_gp087,BJD43_gp087,R290704_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124166,BJD43_gp086,BJD43_gp086,R290704_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124167,BJD43_gp085,BJD43_gp085,R290704_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124168,BJD43_gp084,BJD43_gp084,R290704_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124169,BJD43_gp083,BJD43_gp083,R290704_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124170,BJD43_gp082,BJD43_gp082,R290704_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124171,BJD43_gp081,BJD43_gp081,R290704_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124172,BJD43_gp080,BJD43_gp080,R290704_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124173,BJD43_gp079,BJD43_gp079,R290704_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124174,BJD43_gp078,BJD43_gp078,R290704_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124175,BJD43_gp077,BJD43_gp077,R290704_171,-,-,-,heat shock protein,protein-coding,-,-,-,heat shock protein,20210123,-
687803,29124176,BJD43_gp076,BJD43_gp076,R290704_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124177,BJD43_gp075,BJD43_gp075,R290704_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124178,BJD43_gp074,BJD43_gp074,R290704_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124179,BJD43_gp073,BJD43_gp073,R290704_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124180,BJD43_gp072,BJD43_gp072,R290704_176,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200909,-
687803,29124181,BJD43_gp071,BJD43_gp071,R290704_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124182,BJD43_gp070,BJD43_gp070,R290704_178,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20200909,-
687803,29124183,BJD43_gp069,BJD43_gp069,R290704_179,-,-,-,2OG-Fe(II) oxygenase superfamily protein,protein-coding,-,-,-,2OG-Fe(II) oxygenase superfamily protein,20200909,-
687803,29124184,BJD43_gp068,BJD43_gp068,R290704_180,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200909,-
687803,29124185,BJD43_gp067,BJD43_gp067,R290704_181,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20200909,-
687803,29124186,BJD43_gp066,BJD43_gp066,R290704_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124187,BJD43_gp065,BJD43_gp065,R290704_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124188,BJD43_gp064,BJD43_gp064,R290704_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124189,BJD43_gp063,BJD43_gp063,R290704_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124190,BJD43_gp062,BJD43_gp062,R290704_186,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20200909,-
687803,29124191,BJD43_gp061,BJD43_gp061,R290704_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124192,BJD43_gp060,BJD43_gp060,R290704_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124193,BJD43_gp059,BJD43_gp059,R290704_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
687803,29124194,BJD43_gp058,BJD43_gp058,R290704_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
