#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1560313,24722268,ACQ37_gp002,ACQ37_gp002,WRP3_002,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20201221,-
1560313,24722327,ACQ37_gp061,ACQ37_gp061,WRP3_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722328,ACQ37_gp062,ACQ37_gp062,WRP3_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722329,ACQ37_gp063,ACQ37_gp063,WRP3_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722330,ACQ37_gp064,ACQ37_gp064,WRP3_064,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1560313,24722331,ACQ37_gp065,ACQ37_gp065,WRP3_065,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1560313,24722332,ACQ37_gp066,ACQ37_gp066,WRP3_066,-,-,-,ssDNA exonuclease,protein-coding,-,-,-,ssDNA exonuclease,20201221,-
1560313,24722333,ACQ37_gp067,ACQ37_gp067,WRP3_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722334,ACQ37_gp068,ACQ37_gp068,WRP3_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722335,ACQ37_gp069,ACQ37_gp069,WRP3_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722336,ACQ37_gp070,ACQ37_gp070,WRP3_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722337,ACQ37_gp071,ACQ37_gp071,WRP3_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722338,ACQ37_gp072,ACQ37_gp072,WRP3_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722339,ACQ37_gp073,ACQ37_gp073,WRP3_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722340,ACQ37_gp074,ACQ37_gp074,WRP3_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722341,ACQ37_gp075,ACQ37_gp075,WRP3_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722342,ACQ37_gp076,ACQ37_gp076,WRP3_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722343,ACQ37_gp077,ACQ37_gp077,WRP3_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722344,ACQ37_gp078,ACQ37_gp078,WRP3_078,-,-,-,replicator initiation protein,protein-coding,-,-,-,replicator initiation protein,20201221,-
1560313,24722345,ACQ37_gp079,ACQ37_gp079,WRP3_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722346,ACQ37_gp080,ACQ37_gp080,WRP3_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722347,ACQ37_gp081,ACQ37_gp081,WRP3_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722348,ACQ37_gp082,ACQ37_gp082,WRP3_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722349,ACQ37_gp083,ACQ37_gp083,WRP3_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722350,ACQ37_gp084,ACQ37_gp084,WRP3_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722351,ACQ37_gp085,ACQ37_gp085,WRP3_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722352,ACQ37_gp086,ACQ37_gp086,WRP3_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722353,ACQ37_gp087,ACQ37_gp087,WRP3_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722354,ACQ37_gp088,ACQ37_gp088,WRP3_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722355,ACQ37_gp089,ACQ37_gp089,WRP3_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722356,ACQ37_gp090,ACQ37_gp090,WRP3_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722357,ACQ37_gp091,ACQ37_gp091,WRP3_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722358,ACQ37_gp092,ACQ37_gp092,WRP3_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722359,ACQ37_gp093,ACQ37_gp093,WRP3_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722360,ACQ37_gp094,ACQ37_gp094,WRP3_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722361,ACQ37_gp095,ACQ37_gp095,WRP3_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722362,ACQ37_gp096,ACQ37_gp096,WRP3_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722363,ACQ37_gp097,ACQ37_gp097,WRP3_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722364,ACQ37_gp098,ACQ37_gp098,WRP3_098,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1560313,24722365,ACQ37_gp099,ACQ37_gp099,WRP3_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722366,ACQ37_gp100,ACQ37_gp100,WRP3_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722367,ACQ37_gp101,ACQ37_gp101,WRP3_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722368,ACQ37_gp102,ACQ37_gp102,WRP3_102,-,-,-,DNA gyrase,protein-coding,-,-,-,DNA gyrase,20201221,-
1560313,24722369,ACQ37_gp103,ACQ37_gp103,WRP3_103,-,-,-,DNA gyrase subunit A-topoisomerase,protein-coding,-,-,-,DNA gyrase subunit A-topoisomerase,20201221,-
1560313,24722370,ACQ37_gp104,ACQ37_gp104,WRP3_104,-,-,-,adenine methyltransferase,protein-coding,-,-,-,adenine methyltransferase,20201221,-
1560313,24722371,ACQ37_gp105,ACQ37_gp105,WRP3_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722372,ACQ37_gp106,ACQ37_gp106,WRP3_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722373,ACQ37_gp107,ACQ37_gp107,WRP3_107,-,-,-,nucleoside-2-deoxyribosyltransferase,protein-coding,-,-,-,nucleoside-2-deoxyribosyltransferase,20201221,-
1560313,24722374,ACQ37_gp108,ACQ37_gp108,WRP3_108,-,-,-,nicotinamide mononucleotide transporter,protein-coding,-,-,-,nicotinamide mononucleotide transporter,20201221,-
1560313,24722375,ACQ37_gp109,ACQ37_gp109,WRP3_109,-,-,-,anaerobic ribonucleoside triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside triphosphate reductase,20201221,-
1560313,24722376,ACQ37_gp110,ACQ37_gp110,WRP3_110,-,-,-,ribonucleoside triphosphate reductase activator small subunit,protein-coding,-,-,-,ribonucleoside triphosphate reductase activator small subunit,20201221,-
1560313,24722377,ACQ37_gp111,ACQ37_gp111,WRP3_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722378,ACQ37_gp112,ACQ37_gp112,WRP3_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722379,ACQ37_gp113,ACQ37_gp113,WRP3_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722380,ACQ37_gp114,ACQ37_gp114,WRP3_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722381,ACQ37_gp115,ACQ37_gp115,WRP3_115,-,-,-,ribonucleotide diphosphate reductase glutaredoxin subunit,protein-coding,-,-,-,ribonucleotide diphosphate reductase glutaredoxin subunit,20201221,-
1560313,24722382,ACQ37_gp116,ACQ37_gp116,WRP3_116,-,-,-,ribonucleotide reductase stimulatory protein,protein-coding,-,-,-,ribonucleotide reductase stimulatory protein,20201221,-
1560313,24722383,ACQ37_gp117,ACQ37_gp117,WRP3_117,-,-,-,ribonucleotide diphosphate reductase subunit aplpha,protein-coding,-,-,-,ribonucleotide diphosphate reductase subunit aplpha,20201221,-
1560313,24722384,ACQ37_gp118,ACQ37_gp118,WRP3_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722385,ACQ37_gp119,ACQ37_gp119,WRP3_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722386,ACQ37_gp120,ACQ37_gp120,WRP3_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722387,ACQ37_gp121,ACQ37_gp121,WRP3_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722388,ACQ37_gp122,ACQ37_gp122,WRP3_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722389,ACQ37_gp123,ACQ37_gp123,WRP3_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722390,ACQ37_gp124,ACQ37_gp124,WRP3_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722391,ACQ37_gp125,ACQ37_gp125,WRP3_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722392,ACQ37_gp126,ACQ37_gp126,WRP3_126,-,-,-,nucleoside phosphate reductase,protein-coding,-,-,-,nucleoside phosphate reductase,20210424,-
1560313,24722393,ACQ37_gp127,ACQ37_gp127,WRP3_127,-,-,-,HTH homing endonuclease,protein-coding,-,-,-,HTH homing endonuclease,20201221,-
1560313,24722394,ACQ37_gp128,ACQ37_gp128,WRP3_128,-,-,-,ribonucleoside triphosphate reductase activator small subunit,protein-coding,-,-,-,ribonucleoside triphosphate reductase activator small subunit,20210424,-
1560313,24722395,ACQ37_gp129,ACQ37_gp129,WRP3_129,-,-,-,ribonucleoside diphosphate reductase,protein-coding,-,-,-,ribonucleoside diphosphate reductase,20201221,-
1560313,24722396,ACQ37_gp130,ACQ37_gp130,WRP3_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722397,ACQ37_gp131,ACQ37_gp131,WRP3_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722398,ACQ37_gp132,ACQ37_gp132,WRP3_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722399,ACQ37_gp133,ACQ37_gp133,WRP3_133,-,-,-,ribonucleotide diphosphate reductas alpha subunit,protein-coding,-,-,-,ribonucleotide diphosphate reductas alpha subunit,20201221,-
1560313,24722400,ACQ37_gp134,ACQ37_gp134,WRP3_134,-,-,-,guanylate kinase,protein-coding,-,-,-,guanylate kinase,20201221,-
1560313,24722401,ACQ37_gp135,ACQ37_gp135,WRP3_135,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20201221,-
1560313,24722402,ACQ37_gp136,ACQ37_gp136,WRP3_136,-,-,-,protease,protein-coding,-,-,-,protease,20201221,-
1560313,24722403,ACQ37_gp137,ACQ37_gp137,WRP3_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722404,ACQ37_gp138,ACQ37_gp138,WRP3_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722405,ACQ37_gp139,ACQ37_gp139,WRP3_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722406,ACQ37_gp140,ACQ37_gp140,WRP3_140,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20201221,-
1560313,24722407,ACQ37_gp141,ACQ37_gp141,WRP3_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722408,ACQ37_gp142,ACQ37_gp142,WRP3_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722409,ACQ37_gp143,ACQ37_gp143,WRP3_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722410,ACQ37_gp144,ACQ37_gp144,WRP3_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722411,ACQ37_gp145,ACQ37_gp145,WRP3_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722412,ACQ37_gp146,ACQ37_gp146,WRP3_146,-,-,-,holliday junction endonuclease,protein-coding,-,-,-,holliday junction endonuclease,20201221,-
1560313,24722413,ACQ37_gp147,ACQ37_gp147,WRP3_147,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1560313,24722414,ACQ37_gp148,ACQ37_gp148,WRP3_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722415,ACQ37_gp149,ACQ37_gp149,WRP3_149,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1560313,24722416,ACQ37_gp150,ACQ37_gp150,WRP3_150,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1560313,24722417,ACQ37_gp151,ACQ37_gp151,WRP3_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722418,ACQ37_gp152,ACQ37_gp152,WRP3_152,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1560313,24722419,ACQ37_gp153,ACQ37_gp153,WRP3_153,-,-,-,tail component,protein-coding,-,-,-,tail component,20201221,-
1560313,24722420,ACQ37_gp154,ACQ37_gp154,WRP3_154,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1560313,24722421,ACQ37_gp155,ACQ37_gp155,WRP3_155,-,-,-,integrase/site specific recombinase,protein-coding,-,-,-,integrase/site specific recombinase,20201221,-
1560313,24722422,ACQ37_gp156,ACQ37_gp156,WRP3_156,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1560313,24722423,ACQ37_gp157,ACQ37_gp157,WRP3_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722424,ACQ37_gp158,ACQ37_gp158,WRP3_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1560313,24722425,ACQ37_gp159,ACQ37_gp159,WRP3_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722426,ACQ37_gp160,ACQ37_gp160,WRP3_160,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1560313,24722427,ACQ37_gp161,ACQ37_gp161,WRP3_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722428,ACQ37_gp162,ACQ37_gp162,WRP3_162,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1560313,24722429,ACQ37_gp163,ACQ37_gp163,WRP3_163,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1560313,24722430,ACQ37_gp164,ACQ37_gp164,WRP3_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722431,ACQ37_gp165,ACQ37_gp165,WRP3_165,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1560313,24722432,ACQ37_gp166,ACQ37_gp166,WRP3_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722433,ACQ37_gp167,ACQ37_gp167,WRP3_167,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1560313,24722434,ACQ37_gp168,ACQ37_gp168,WRP3_168,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1560313,24722435,ACQ37_gp169,ACQ37_gp169,WRP3_169,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1560313,24722436,ACQ37_gp170,ACQ37_gp170,WRP3_170,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1560313,24722437,ACQ37_gp171,ACQ37_gp171,WRP3_171,-,-,-,terminase family protein,protein-coding,-,-,-,terminase family protein,20201221,-
1560313,24722438,ACQ37_gp172,ACQ37_gp172,WRP3_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722439,ACQ37_gp173,ACQ37_gp173,WRP3_173,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1560313,24722440,ACQ37_gp174,ACQ37_gp174,WRP3_174,-,-,-,phosphate-starvation-inducible protein PhoH/ATPase,protein-coding,-,-,-,phosphate-starvation-inducible protein PhoH/ATPase,20201221,-
1560313,24722441,ACQ37_gp175,ACQ37_gp175,WRP3_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722442,ACQ37_gp176,ACQ37_gp176,WRP3_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722443,ACQ37_gp177,ACQ37_gp177,WRP3_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722444,ACQ37_gp178,ACQ37_gp178,WRP3_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722445,ACQ37_gp001,ACQ37_gp001,WRP3_001,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
