#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
512792,6186700,AFV9_gp08,AFV9_gp08,-,-,-,-,putative nuclease,protein-coding,-,-,-,putative nuclease,20201220,-
512792,6186740,AFV9_gp51,AFV9_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186741,AFV9_gp50,AFV9_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186742,AFV9_gp49,AFV9_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186743,AFV9_gp22,AFV9_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186744,AFV9_gp28,AFV9_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186745,AFV9_gp48,AFV9_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186746,AFV9_gp47,AFV9_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186747,AFV9_gp46,AFV9_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186748,AFV9_gp18,AFV9_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186749,AFV9_gp45,AFV9_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186750,AFV9_gp44,AFV9_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186751,AFV9_gp13,AFV9_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186752,AFV9_gp43,AFV9_gp43,-,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20201220,-
512792,6186753,AFV9_gp42,AFV9_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186754,AFV9_gp41,AFV9_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186755,AFV9_gp19,AFV9_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186756,AFV9_gp35,AFV9_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186757,AFV9_gp40,AFV9_gp40,-,-,-,-,viral structural protein,protein-coding,-,-,-,viral structural protein,20201220,-
512792,6186758,AFV9_gp06,AFV9_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186759,AFV9_gp29,AFV9_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186760,AFV9_gp14,AFV9_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186761,AFV9_gp23,AFV9_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186762,AFV9_gp25,AFV9_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186763,AFV9_gp11,AFV9_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186764,AFV9_gp15,AFV9_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186765,AFV9_gp09,AFV9_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186766,AFV9_gp38,AFV9_gp38,-,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20201220,-
512792,6186767,AFV9_gp39,AFV9_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186768,AFV9_gp07,AFV9_gp07,-,-,-,-,putative RHH transcriptional regulator,protein-coding,-,-,-,putative RHH transcriptional regulator,20201220,-
512792,6186769,AFV9_gp05,AFV9_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186770,AFV9_gp17,AFV9_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186771,AFV9_gp16,AFV9_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186772,AFV9_gp03,AFV9_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6187046,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210607,-
