#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591212,63027305,2,J1775_gp02,SEA_ZIPP_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2591212,63027328,25,J1775_gp25,SEA_ZIPP_25,-,-,-,glucosaminyldeacetylase,protein-coding,-,-,-,glucosaminyldeacetylase,20210309,-
2591212,63027329,26,J1775_gp26,SEA_ZIPP_26,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2591212,63027330,27,J1775_gp27,SEA_ZIPP_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027331,28,J1775_gp28,SEA_ZIPP_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027332,29,J1775_gp29,SEA_ZIPP_29,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2591212,63027333,30,J1775_gp30,SEA_ZIPP_30,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2591212,63027334,31,J1775_gp31,SEA_ZIPP_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027335,32,J1775_gp32,SEA_ZIPP_32,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210309,-
2591212,63027336,33,J1775_gp33,SEA_ZIPP_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2591212,63027337,34,J1775_gp34,SEA_ZIPP_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2591212,63027338,35,J1775_gp35,SEA_ZIPP_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027339,36,J1775_gp36,SEA_ZIPP_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2591212,63027340,37,J1775_gp37,SEA_ZIPP_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027341,38,J1775_gp38,SEA_ZIPP_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027342,39,J1775_gp39,SEA_ZIPP_39,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2591212,63027343,40,J1775_gp40,SEA_ZIPP_40,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2591212,63027344,41,J1775_gp41,SEA_ZIPP_41,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210309,-
2591212,63027345,42,J1775_gp42,SEA_ZIPP_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027346,43,J1775_gp43,SEA_ZIPP_43,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210309,-
2591212,63027347,44,J1775_gp44,SEA_ZIPP_44,-,-,-,holin,protein-coding,-,-,-,holin,20210309,-
2591212,63027348,45,J1775_gp45,SEA_ZIPP_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027349,46,J1775_gp46,SEA_ZIPP_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027350,47,J1775_gp47,SEA_ZIPP_47,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2591212,63027351,48,J1775_gp48,SEA_ZIPP_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027352,49,J1775_gp49,SEA_ZIPP_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591212,63027353,50,J1775_gp50,SEA_ZIPP_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027354,51,J1775_gp51,SEA_ZIPP_51,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210309,-
2591212,63027355,52,J1775_gp52,SEA_ZIPP_52,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210309,-
2591212,63027356,53,J1775_gp53,SEA_ZIPP_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027357,54,J1775_gp54,SEA_ZIPP_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027358,55,J1775_gp55,SEA_ZIPP_55,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2591212,63027359,56,J1775_gp56,SEA_ZIPP_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027360,57,J1775_gp57,SEA_ZIPP_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027361,58,J1775_gp58,SEA_ZIPP_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027362,60,J1775_gp60,SEA_ZIPP_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027363,61,J1775_gp61,SEA_ZIPP_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027364,62,J1775_gp62,SEA_ZIPP_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027365,63,J1775_gp63,SEA_ZIPP_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027366,64,J1775_gp64,SEA_ZIPP_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027367,65,J1775_gp65,SEA_ZIPP_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027368,66,J1775_gp66,SEA_ZIPP_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027369,67,J1775_gp67,SEA_ZIPP_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210309,-
2591212,63027370,68,J1775_gp68,SEA_ZIPP_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027371,69,J1775_gp69,SEA_ZIPP_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027372,70,J1775_gp70,SEA_ZIPP_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027373,71,J1775_gp71,SEA_ZIPP_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027374,72,J1775_gp72,SEA_ZIPP_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027375,73,J1775_gp73,SEA_ZIPP_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027376,74,J1775_gp74,SEA_ZIPP_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027377,75,J1775_gp75,SEA_ZIPP_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027378,76,J1775_gp76,SEA_ZIPP_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027379,77,J1775_gp77,SEA_ZIPP_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027380,78,J1775_gp78,SEA_ZIPP_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027381,79,J1775_gp79,SEA_ZIPP_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027382,80,J1775_gp80,SEA_ZIPP_80,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210309,-
2591212,63027383,81,J1775_gp81,SEA_ZIPP_81,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210309,-
2591212,63027384,82,J1775_gp82,SEA_ZIPP_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027385,83,J1775_gp83,SEA_ZIPP_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027386,84,J1775_gp84,SEA_ZIPP_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027387,85,J1775_gp85,SEA_ZIPP_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027388,86,J1775_gp86,SEA_ZIPP_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027389,87,J1775_gp87,SEA_ZIPP_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027390,88,J1775_gp88,SEA_ZIPP_88,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210309,-
2591212,63027391,89,J1775_gp89,SEA_ZIPP_89,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
2591212,63027392,59,J1775_gp59,SEA_ZIPP_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027393,1,J1775_gp01,SEA_ZIPP_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2591212,63139675,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
