#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024213,65070615,KMD09_gp02,KMD09_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210609,-
2024213,65070655,KMD09_gp42,KMD09_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070656,KMD09_gp43,KMD09_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070657,KMD09_gp44,KMD09_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070658,KMD09_gp45,KMD09_gp45,-,-,-,-,ERF superfamily protein,protein-coding,-,-,-,ERF superfamily protein,20210607,-
2024213,65070659,KMD09_gp46,KMD09_gp46,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210609,-
2024213,65070660,KMD09_gp47,KMD09_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2024213,65070661,KMD09_gp48,KMD09_gp48,-,-,-,-,replication initiation protein,protein-coding,-,-,-,replication initiation protein,20210609,-
2024213,65070662,KMD09_gp49,KMD09_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070663,KMD09_gp50,KMD09_gp50,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210609,-
2024213,65070664,KMD09_gp51,KMD09_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070665,KMD09_gp52,KMD09_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2024213,65070666,KMD09_gp53,KMD09_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070667,KMD09_gp54,KMD09_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070668,KMD09_gp55,KMD09_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070669,KMD09_gp56,KMD09_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2024213,65070670,KMD09_gp57,KMD09_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070671,KMD09_gp58,KMD09_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070672,KMD09_gp59,KMD09_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070673,KMD09_gp60,KMD09_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070674,KMD09_gp61,KMD09_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070675,KMD09_gp62,KMD09_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070676,KMD09_gp63,KMD09_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070677,KMD09_gp64,KMD09_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070678,KMD09_gp65,KMD09_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070679,KMD09_gp66,KMD09_gp66,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20210609,-
2024213,65070680,KMD09_gp67,KMD09_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070681,KMD09_gp68,KMD09_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070682,KMD09_gp69,KMD09_gp69,-,-,-,-,TPR domain protein,protein-coding,-,-,-,TPR domain protein,20210609,-
2024213,65070683,KMD09_gp01,KMD09_gp01,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210609,-
2024213,65242604,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
