#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
562,2827929,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Bacillus coli; Bacterium coli; Bacterium coli commune; E. coli; Enterococcus coli; Escherichia/Shigella coli.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210529,-
562,59687631,bleO,HS603_RS00025,D616_p84002,-,-,-,bleomycin binding protein,protein-coding,-,-,-,bleomycin binding protein,20201109,-
562,59687632,HS603_RS00030,HS603_RS00030,D616_p84004,-,-,-,class A beta-lactamase TEM-171,protein-coding,-,-,-,class A beta-lactamase TEM-171,20201109,-
562,59687633,HS603_RS00015,HS603_RS00015,D616_p84001,-,-,-,protein rep,protein-coding,-,-,-,protein rep,20201109,-
562,59687634,aadD1,HS603_RS00020,D616_p84003,-,-,-,aminoglycoside O-nucleotidyltransferase ANT(4')-Ia,protein-coding,-,-,-,aminoglycoside O-nucleotidyltransferase ANT(4')-Ia,20201109,-
562,59687635,HS603_RS00010,HS603_RS00010,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
562,59687636,HS603_RS00005,HS603_RS00005,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
562,59687637,lacI,HS593_RS00005,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
562,59687638,HS593_RS00010,HS593_RS00010,D616_p85001,-,-,-,class A broad-spectrum beta-lactamase TEM-116,protein-coding,-,-,-,class A broad-spectrum beta-lactamase TEM-116,20201109,-
562,59687641,HS701_RS00020,HS701_RS00020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59687642,HS701_RS00025,HS701_RS00025,D616_p86004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59687644,HS701_RS00035,HS701_RS00035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59687645,HS701_RS00040,HS701_RS00040,D616_p86005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59687648,HS606_RS00015,HS606_RS00015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59687655,HS606_RS00050,HS606_RS00050,D616_p87009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59687656,HS606_RS00055,HS606_RS00055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59688445,HS804_RS00105,HS804_RS00105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59688640,HS845_RS00085,HS845_RS00085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59688648,HS845_RS00100,HS845_RS00100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59688733,HS812_RS00085,HS812_RS00085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59688736,HS812_RS00100,HS812_RS00100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59688740,HS812_RS00120,HS812_RS00120,D616_p63025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59688758,HS812_RS00210,HS812_RS00210,D616_p63054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59688913,HS807_RS00005,HS807_RS00005,D616_p65001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59688923,HS781_RS00020,HS781_RS00020,D616_p67003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
562,59688925,HS781_RS00005,HS781_RS00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59688932,HS841_RS00040,HS841_RS00040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201106,-
562,59688933,HS841_RS00045,HS841_RS00045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59688943,HS830_RS00010,HS830_RS00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59689368,HS910_RS00045,HS910_RS00045,D616_p90009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689374,HS910_RS00015,HS910_RS00015,D616_p90003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689431,HS998_RS00260,HS998_RS00260,D616_p91054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689442,HS957_RS00010,HS957_RS00010,D616_p92002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689444,HS957_RS00020,HS957_RS00020,D616_p92007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689450,HS957_RS00050,HS957_RS00050,D616_p92015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689452,HS957_RS00060,HS957_RS00060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59689470,HS957_RS00150,HS957_RS00150,D616_p92039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689476,HS957_RS00180,HS957_RS00180,D616_p92050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
562,59689486,HS957_RS00230,HS957_RS00230,D616_p92061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689493,HS957_RS00265,HS957_RS00265,D616_p92070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689506,HS957_RS00330,HS957_RS00330,D616_p92088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59689507,HS957_RS00335,HS957_RS00335,D616_p92089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689512,HS957_RS00360,HS957_RS00360,D616_p92093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689514,HS957_RS00370,HS957_RS00370,D616_p92095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59689520,HS957_RS00400,HS957_RS00400,D616_p92101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689521,HS957_RS00405,HS957_RS00405,D616_p92102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689522,HS957_RS00410,HS957_RS00410,D616_p92103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689523,HS957_RS00415,HS957_RS00415,D616_p92104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689525,HS957_RS00425,HS957_RS00425,D616_p92108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59689956,HS929_RS00005,HS929_RS00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59689982,HXG49_RS00135,HXG49_RS00135,D616_p98054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59690054,HXG49_RS00495,HXG49_RS00495,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59690717,HUS2011_RS31060,HUS2011_RS31060,HUS2011_pI0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59690726,HUS2011_RS31705,HUS2011_RS31705,HUS2011_pII0090,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20201109,-
562,59692447,HXG72_RS00010,HXG72_RS00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59692512,HXG72_RS00005,HXG72_RS00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59692549,HXG60_RS00190,HXG60_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59692552,HXG60_RS00205,HXG60_RS00205,D616_p119047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59692660,HXC63_RS00030,HXC63_RS00030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59692668,HXC68_RS00035,HXC68_RS00035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59693409,HXD12_RS00060,HXD12_RS00060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
562,59693412,HXD82_RS00035,HXD82_RS00035,-,-,-,-,type A chloramphenicol O-acetyltransferase,protein-coding,-,-,-,type A chloramphenicol O-acetyltransferase,20201105,-
562,59693413,HXD82_RS00005,HXD82_RS00005,-,-,-,-,plasmid recombination protein,protein-coding,-,-,-,plasmid recombination protein,20201109,-
562,59693414,HXD82_RS00010,HXD82_RS00010,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210417,-
562,59693415,HXD82_RS00015,HXD82_RS00015,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
562,59693416,HXD82_RS00020,HXD82_RS00020,D616_p135001,-,-,-,LexA family transcriptional regulator,protein-coding,-,-,-,LexA family transcriptional regulator,20201109,-
562,59693417,tet(B),HXD82_RS00025,D616_p135002,-,-,-,tetracycline efflux MFS transporter Tet(B),protein-coding,-,-,-,tetracycline efflux MFS transporter Tet(B),20201109,-
562,59693418,HXD82_RS00030,HXD82_RS00030,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
562,59694541,HXH48_RS00010,HXH48_RS00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59694573,HXH48_RS00170,HXH48_RS00170,D616_p146086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59694595,HXH48_RS00280,HXH48_RS00280,D616_p146064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59694602,HXH48_RS00315,HXH48_RS00315,D616_p146057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59694607,HXH48_RS00340,HXH48_RS00340,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59694637,HXH48_RS00490,HXH48_RS00490,D616_p146018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59694649,HXH48_RS00550,HXH48_RS00550,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59695752,HTE32_RS00110,HTE32_RS00110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59695810,HTE32_RS00400,HTE32_RS00400,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59695816,HTE32_RS00430,HTE32_RS00430,D616_p160088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
