#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1747271,26519839,AU147_gp02,AU147_gp02,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1747271,26519869,AU147_gp32,AU147_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519870,AU147_gp33,AU147_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519871,AU147_gp34,AU147_gp34,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1747271,26519872,AU147_gp35,AU147_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519873,AU147_gp36,AU147_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519874,AU147_gp37,AU147_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519875,AU147_gp38,AU147_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519876,AU147_gp39,AU147_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519877,AU147_gp40,AU147_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519878,AU147_gp41,AU147_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519879,AU147_gp42,AU147_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519880,AU147_gp43,AU147_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519881,AU147_gp44,AU147_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519882,AU147_gp45,AU147_gp45,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1747271,26519883,AU147_gp01,AU147_gp01,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201221,-
1747271,26591665,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
