#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024295,64871965,2,KIW74_gp02,PBI_KIMONA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210515,-
2024295,64871990,26,KIW74_gp66,PBI_KIMONA_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2024295,64871991,27,KIW74_gp65,PBI_KIMONA_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2024295,64871992,28,KIW74_gp64,PBI_KIMONA_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2024295,64871993,29,KIW74_gp63,PBI_KIMONA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64871994,30,KIW74_gp62,PBI_KIMONA_30,-,-,-,integrase,protein-coding,-,-,-,integrase,20210515,-
2024295,64871995,31,KIW74_gp61,PBI_KIMONA_31,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210515,-
2024295,64871996,32,KIW74_gp60,PBI_KIMONA_32,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210515,-
2024295,64871997,33,KIW74_gp59,PBI_KIMONA_33,-,-,-,deoxycytilidylate deaminase,protein-coding,-,-,-,deoxycytilidylate deaminase,20210515,-
2024295,64871998,34,KIW74_gp58,PBI_KIMONA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64871999,35,KIW74_gp57,PBI_KIMONA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872000,36,KIW74_gp56,PBI_KIMONA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872001,37,KIW74_gp55,PBI_KIMONA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872002,38,KIW74_gp54,PBI_KIMONA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872003,39,KIW74_gp53,PBI_KIMONA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872004,40,KIW74_gp52,PBI_KIMONA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872005,41,KIW74_gp51,PBI_KIMONA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872006,42,KIW74_gp50,PBI_KIMONA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872007,43,KIW74_gp49,PBI_KIMONA_43,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210515,-
2024295,64872008,44,KIW74_gp48,PBI_KIMONA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872009,45,KIW74_gp47,PBI_KIMONA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872010,46,KIW74_gp46,PBI_KIMONA_46,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210515,-
2024295,64872011,47,KIW74_gp45,PBI_KIMONA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872012,48,KIW74_gp44,PBI_KIMONA_48,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210515,-
2024295,64872013,49,KIW74_gp43,PBI_KIMONA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872014,50,KIW74_gp42,PBI_KIMONA_50,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210515,-
2024295,64872015,51,KIW74_gp41,PBI_KIMONA_51,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210515,-
2024295,64872016,52,KIW74_gp40,PBI_KIMONA_52,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20210515,-
2024295,64872017,53,KIW74_gp39,PBI_KIMONA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872018,54,KIW74_gp38,PBI_KIMONA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872019,55,KIW74_gp37,PBI_KIMONA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872020,56,KIW74_gp36,PBI_KIMONA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872021,57,KIW74_gp35,PBI_KIMONA_57,-,-,-,esterase/lipase,protein-coding,-,-,-,esterase/lipase,20210515,-
2024295,64872022,58,KIW74_gp34,PBI_KIMONA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872023,59,KIW74_gp33,PBI_KIMONA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872024,60,KIW74_gp32,PBI_KIMONA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872025,61,KIW74_gp31,PBI_KIMONA_61,-,-,-,phosphoribosyl transferase,protein-coding,-,-,-,phosphoribosyl transferase,20210515,-
2024295,64872026,62,KIW74_gp30,PBI_KIMONA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872027,63,KIW74_gp29,PBI_KIMONA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872028,64,KIW74_gp28,PBI_KIMONA_64,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210515,-
2024295,64872029,65,KIW74_gp27,PBI_KIMONA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872030,66,KIW74_gp26,PBI_KIMONA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872031,67,KIW74_gp25,PBI_KIMONA_67,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210515,-
2024295,64872032,68,KIW74_gp24,PBI_KIMONA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872033,69,KIW74_gp23,PBI_KIMONA_69,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210515,-
2024295,64872034,70,KIW74_gp22,PBI_KIMONA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872035,71,KIW74_gp21,PBI_KIMONA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872036,72,KIW74_gp20,PBI_KIMONA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872037,73,KIW74_gp19,PBI_KIMONA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872038,74,KIW74_gp18,PBI_KIMONA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872039,75,KIW74_gp17,PBI_KIMONA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872040,76,KIW74_gp16,PBI_KIMONA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872041,77,KIW74_gp15,PBI_KIMONA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872042,78,KIW74_gp14,PBI_KIMONA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872043,79,KIW74_gp13,PBI_KIMONA_79,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210515,-
2024295,64872044,80,KIW74_gp12,PBI_KIMONA_80,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210515,-
2024295,64872045,81,KIW74_gp11,PBI_KIMONA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872046,82,KIW74_gp10,PBI_KIMONA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872047,83,KIW74_gp09,PBI_KIMONA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872048,84,KIW74_gp08,PBI_KIMONA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872049,85,KIW74_gp07,PBI_KIMONA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872050,86,KIW74_gp06,PBI_KIMONA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872051,87,KIW74_gp05,PBI_KIMONA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872052,88,KIW74_gp04,PBI_KIMONA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64872053,89,KIW74_gp03,PBI_KIMONA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64953863,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210517,-
