#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2488780,55008349,2,HOU70_gp02,PBI_LIEBE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2488780,55008382,35,HOU70_gp35,PBI_LIEBE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008383,36,HOU70_gp36,PBI_LIEBE_36,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210403,-
2488780,55008384,37,HOU70_gp37,PBI_LIEBE_37,-,-,-,holiday junction resolvase,protein-coding,-,-,-,holiday junction resolvase,20201221,-
2488780,55008385,38,HOU70_gp38,PBI_LIEBE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008386,39,HOU70_gp39,PBI_LIEBE_39,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210403,-
2488780,55008387,40,HOU70_gp40,PBI_LIEBE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008388,41,HOU70_gp41,PBI_LIEBE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008389,42,HOU70_gp42,PBI_LIEBE_42,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2488780,55008390,43,HOU70_gp43,PBI_LIEBE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008391,44,HOU70_gp44,PBI_LIEBE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008392,45,HOU70_gp45,PBI_LIEBE_45,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20201221,-
2488780,55008393,46,HOU70_gp46,PBI_LIEBE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008394,47,HOU70_gp47,PBI_LIEBE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008395,48,HOU70_gp48,PBI_LIEBE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008396,49,HOU70_gp49,PBI_LIEBE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2488780,55008397,50,HOU70_gp50,PBI_LIEBE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008398,51,HOU70_gp51,PBI_LIEBE_51,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2488780,55008399,52,HOU70_gp52,PBI_LIEBE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008400,53,HOU70_gp53,PBI_LIEBE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008401,54,HOU70_gp54,PBI_LIEBE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008402,55,HOU70_gp55,PBI_LIEBE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008403,56,HOU70_gp56,PBI_LIEBE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008404,57,HOU70_gp57,PBI_LIEBE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008405,58,HOU70_gp58,PBI_LIEBE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008406,59,HOU70_gp59,PBI_LIEBE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008407,60,HOU70_gp60,PBI_LIEBE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008408,61,HOU70_gp61,PBI_LIEBE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008409,62,HOU70_gp62,PBI_LIEBE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008410,63,HOU70_gp63,PBI_LIEBE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008411,64,HOU70_gp64,PBI_LIEBE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008412,65,HOU70_gp65,PBI_LIEBE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008413,66,HOU70_gp66,PBI_LIEBE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2488780,55008414,67,HOU70_gp67,PBI_LIEBE_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2488780,55008415,68,HOU70_gp68,PBI_LIEBE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2488780,55008416,69,HOU70_gp69,PBI_LIEBE_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2488780,55008417,1,HOU70_gp01,PBI_LIEBE_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
2488780,55154253,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200624,-
