#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089120,18564862,2,DEADP_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1089120,18564902,42,DEADP_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564903,43,DEADP_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564904,44,DEADP_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564905,45,DEADP_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564906,46,DEADP_46,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
1089120,18564907,47,DEADP_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564908,48,DEADP_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564909,49,DEADP_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564910,50,DEADP_50,-,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20201220,-
1089120,18564911,51,DEADP_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564912,52,DEADP_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564913,53,DEADP_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564914,54,DEADP_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564915,55,DEADP_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564916,56,DEADP_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564917,57,DEADP_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564918,58,DEADP_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564919,59,DEADP_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564920,60,DEADP_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564921,61,DEADP_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564922,62,DEADP_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1089120,18564923,63,DEADP_63,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201220,-
1089120,18564924,64,DEADP_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564925,65,DEADP_65,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201220,-
1089120,18564926,66,DEADP_66,-,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20210417,-
1089120,18564927,67,DEADP_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564928,68,DEADP_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564929,69,DEADP_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564930,70,DEADP_70,-,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20201220,-
1089120,18564931,71,DEADP_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564932,72,DEADP_72,-,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20201220,-
1089120,18564933,73,DEADP_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564934,74,DEADP_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564935,75,DEADP_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564936,76,DEADP_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564937,77,DEADP_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564938,78,DEADP_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564939,79,DEADP_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564940,80,DEADP_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564941,81,DEADP_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564942,82,DEADP_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564943,83,DEADP_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564944,84,DEADP_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564945,85,DEADP_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564946,86,DEADP_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564947,87,DEADP_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564948,88,DEADP_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564949,89,DEADP_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564950,90,DEADP_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564951,91,DEADP_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564952,92,DEADP_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564953,93,DEADP_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564954,94,DEADP_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564955,95,DEADP_95,-,-,-,-,MerR domain protein,protein-coding,-,-,-,MerR domain protein,20210123,-
1089120,18564956,96,DEADP_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564957,97,DEADP_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564958,98,DEADP_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564959,99,DEADP_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564960,100,DEADP_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564961,101,DEADP_101,-,-,-,-,Ser/Thr kinase,protein-coding,-,-,-,Ser/Thr kinase,20201220,-
1089120,18564962,102,DEADP_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564963,103,DEADP_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564964,104,DEADP_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564965,105,DEADP_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564966,106,DEADP_106,-,-,-,-,N-acetylglucosaminyltransferase,protein-coding,-,-,-,N-acetylglucosaminyltransferase,20201220,-
1089120,18564967,1,DEADP_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
1089120,18669597,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage DeadP; Mycobacterium phage DeadP).,other,-,-,-,-,20200513,-
