#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1805948,29058426,BI007_gp261,BI007_gp261,DIGNKC_113,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20200910,-
1805948,29058441,BI007_gp246,BI007_gp246,DIGNKC_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058442,BI007_gp245,BI007_gp245,DIGNKC_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058443,BI007_gp244,BI007_gp244,DIGNKC_130,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1805948,29058444,BI007_gp243,BI007_gp243,DIGNKC_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058445,BI007_gp242,BI007_gp242,DIGNKC_132,-,-,-,dUTP nucleotidylhydrolase,protein-coding,-,-,-,dUTP nucleotidylhydrolase,20200910,-
1805948,29058446,BI007_gp241,BI007_gp241,DIGNKC_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058447,BI007_gp240,BI007_gp240,DIGNKC_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058448,BI007_gp239,BI007_gp239,DIGNKC_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058449,BI007_gp238,BI007_gp238,DIGNKC_136,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20200910,-
1805948,29058450,BI007_gp237,BI007_gp237,DIGNKC_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058451,BI007_gp236,BI007_gp236,DIGNKC_138,-,-,-,ribonucleotide-diphosphate reductase alpha subunit,protein-coding,-,-,-,ribonucleotide-diphosphate reductase alpha subunit,20200910,-
1805948,29058452,BI007_gp235,BI007_gp235,DIGNKC_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058453,BI007_gp288,BI007_gp288,DIGNKC_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058454,BI007_gp287,BI007_gp287,DIGNKC_87,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200910,-
1805948,29058455,BI007_gp286,BI007_gp286,DIGNKC_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058456,BI007_gp285,BI007_gp285,DIGNKC_89,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1805948,29058457,BI007_gp284,BI007_gp284,DIGNKC_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058458,BI007_gp283,BI007_gp283,DIGNKC_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058459,BI007_gp282,BI007_gp282,DIGNKC_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058460,BI007_gp281,BI007_gp281,DIGNKC_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058461,BI007_gp280,BI007_gp280,DIGNKC_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058462,BI007_gp279,BI007_gp279,DIGNKC_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058463,BI007_gp278,BI007_gp278,DIGNKC_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058464,BI007_gp277,BI007_gp277,DIGNKC_97,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200910,-
1805948,29058465,BI007_gp276,BI007_gp276,DIGNKC_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058466,BI007_gp275,BI007_gp275,DIGNKC_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058467,BI007_gp274,BI007_gp274,DIGNKC_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058468,BI007_gp273,BI007_gp273,DIGNKC_101,-,-,-,3D domain protein,protein-coding,-,-,-,3D domain protein,20200910,-
1805948,29058469,BI007_gp272,BI007_gp272,DIGNKC_103,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
1805948,29058470,BI007_gp270,BI007_gp270,DIGNKC_104,-,-,-,tail lysin,protein-coding,-,-,-,tail lysin,20200910,-
1805948,29058471,BI007_gp271,BI007_gp271,DIGNKC_102,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
1805948,29058472,BI007_gp269,BI007_gp269,DIGNKC_105,-,-,-,tail lysin,protein-coding,-,-,-,tail lysin,20200910,-
1805948,29058473,BI007_gp268,BI007_gp268,DIGNKC_106,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
1805948,29058474,BI007_gp267,BI007_gp267,DIGNKC_107,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1805948,29058475,BI007_gp266,BI007_gp266,DIGNKC_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058476,BI007_gp265,BI007_gp265,DIGNKC_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058477,BI007_gp264,BI007_gp264,DIGNKC_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058478,BI007_gp263,BI007_gp263,DIGNKC_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058479,BI007_gp262,BI007_gp262,DIGNKC_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058480,BI007_gp056,BI007_gp056,DIGNKC_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058481,BI007_gp057,BI007_gp057,DIGNKC_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058482,BI007_gp058,BI007_gp058,DIGNKC_58,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
1805948,29058483,BI007_gp059,BI007_gp059,DIGNKC_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058484,BI007_gp060,BI007_gp060,DIGNKC_60,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20200910,-
1805948,29058485,BI007_gp061,BI007_gp061,DIGNKC_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058486,BI007_gp062,BI007_gp062,DIGNKC_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058487,BI007_gp063,BI007_gp063,DIGNKC_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058488,BI007_gp064,BI007_gp064,DIGNKC_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058489,BI007_gp065,BI007_gp065,DIGNKC_65,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20200910,-
1805948,29058490,BI007_gp066,BI007_gp066,DIGNKC_66,-,-,-,nicotinamide phosphoribosyltransferase,protein-coding,-,-,-,nicotinamide phosphoribosyltransferase,20200910,-
1805948,29058491,BI007_gp067,BI007_gp067,DIGNKC_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1805948,29058492,BI007_gp068,BI007_gp068,DIGNKC_68,-,-,-,ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase,20200910,-
1805948,29058493,BI007_gp069,BI007_gp069,DIGNKC_69,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200910,-
1805948,29058494,BI007_gp070,BI007_gp070,DIGNKC_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058495,BI007_gp071,BI007_gp071,DIGNKC_71,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
1805948,29058496,BI007_gp072,BI007_gp072,DIGNKC_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058497,BI007_gp073,BI007_gp073,DIGNKC_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058498,BI007_gp074,BI007_gp074,DIGNKC_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058499,BI007_gp075,BI007_gp075,DIGNKC_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058500,BI007_gp076,BI007_gp076,DIGNKC_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058501,BI007_gp077,BI007_gp077,DIGNKC_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058502,BI007_gp078,BI007_gp078,DIGNKC_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058503,BI007_gp079,BI007_gp079,DIGNKC_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058504,BI007_gt001,BI007_gt001,DIGNKC_80,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1805948,29058505,BI007_gt002,BI007_gt002,DIGNKC_81,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1805948,29058506,BI007_gt003,BI007_gt003,DIGNKC_82,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1805948,29058507,BI007_gp291,BI007_gp291,DIGNKC_83,-,-,-,polygalacturonase,protein-coding,-,-,-,polygalacturonase,20200910,-
1805948,29058508,BI007_gp290,BI007_gp290,DIGNKC_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058509,BI007_gp289,BI007_gp289,DIGNKC_85,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1805948,29058510,BI007_gp029,BI007_gp029,DIGNKC_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058511,BI007_gp030,BI007_gp030,DIGNKC_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058512,BI007_gp031,BI007_gp031,DIGNKC_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058513,BI007_gp032,BI007_gp032,DIGNKC_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058514,BI007_gp033,BI007_gp033,DIGNKC_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058515,BI007_gp034,BI007_gp034,DIGNKC_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058516,BI007_gp035,BI007_gp035,DIGNKC_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058517,BI007_gp036,BI007_gp036,DIGNKC_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058518,BI007_gp037,BI007_gp037,DIGNKC_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058519,BI007_gp038,BI007_gp038,DIGNKC_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058520,BI007_gp039,BI007_gp039,DIGNKC_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058521,BI007_gp040,BI007_gp040,DIGNKC_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058522,BI007_gp041,BI007_gp041,DIGNKC_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058523,BI007_gp042,BI007_gp042,DIGNKC_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058524,BI007_gp043,BI007_gp043,DIGNKC_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058525,BI007_gp044,BI007_gp044,DIGNKC_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058526,BI007_gp045,BI007_gp045,DIGNKC_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058527,BI007_gp046,BI007_gp046,DIGNKC_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058528,BI007_gp047,BI007_gp047,DIGNKC_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058529,BI007_gp048,BI007_gp048,DIGNKC_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058530,BI007_gp049,BI007_gp049,DIGNKC_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058531,BI007_gp050,BI007_gp050,DIGNKC_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058532,BI007_gp051,BI007_gp051,DIGNKC_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058533,BI007_gp052,BI007_gp052,DIGNKC_52,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200910,-
1805948,29058534,BI007_gp053,BI007_gp053,DIGNKC_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058535,BI007_gp054,BI007_gp054,DIGNKC_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058536,BI007_gp055,BI007_gp055,DIGNKC_55,-,-,-,dephospho-CoA kinase,protein-coding,-,-,-,dephospho-CoA kinase,20200910,-
1805948,29058537,BI007_gp103,BI007_gp103,DIGNKC_271,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058538,BI007_gp102,BI007_gp102,DIGNKC_272,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058539,BI007_gp101,BI007_gp101,DIGNKC_273,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058540,BI007_gp100,BI007_gp100,DIGNKC_274,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058541,BI007_gp099,BI007_gp099,DIGNKC_275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058542,BI007_gp098,BI007_gp098,DIGNKC_276,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058543,BI007_gp097,BI007_gp097,DIGNKC_277,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058544,BI007_gp096,BI007_gp096,DIGNKC_278,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058545,BI007_gp095,BI007_gp095,DIGNKC_279,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058546,BI007_gp094,BI007_gp094,DIGNKC_280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058547,BI007_gp093,BI007_gp093,DIGNKC_281,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058548,BI007_gp092,BI007_gp092,DIGNKC_282,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058549,BI007_gp091,BI007_gp091,DIGNKC_283,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058550,BI007_gp090,BI007_gp090,DIGNKC_284,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058551,BI007_gp089,BI007_gp089,DIGNKC_285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058552,BI007_gp088,BI007_gp088,DIGNKC_286,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058553,BI007_gp087,BI007_gp087,DIGNKC_287,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058554,BI007_gp086,BI007_gp086,DIGNKC_288,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058555,BI007_gp085,BI007_gp085,DIGNKC_289,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058556,BI007_gp084,BI007_gp084,DIGNKC_290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058557,BI007_gp083,BI007_gp083,DIGNKC_291,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058558,BI007_gp082,BI007_gp082,DIGNKC_292,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058559,BI007_gp081,BI007_gp081,DIGNKC_293,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058560,BI007_gp080,BI007_gp080,DIGNKC_294,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058561,BI007_gp130,BI007_gp130,DIGNKC_244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058562,BI007_gp129,BI007_gp129,DIGNKC_245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058563,BI007_gp128,BI007_gp128,DIGNKC_246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058564,BI007_gp127,BI007_gp127,DIGNKC_247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058565,BI007_gp126,BI007_gp126,DIGNKC_248,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058566,BI007_gp125,BI007_gp125,DIGNKC_249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058567,BI007_gp124,BI007_gp124,DIGNKC_250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058568,BI007_gp123,BI007_gp123,DIGNKC_251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058569,BI007_gp122,BI007_gp122,DIGNKC_252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058570,BI007_gp121,BI007_gp121,DIGNKC_253,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058571,BI007_gp120,BI007_gp120,DIGNKC_254,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058572,BI007_gp119,BI007_gp119,DIGNKC_255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058573,BI007_gp118,BI007_gp118,DIGNKC_256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058574,BI007_gp117,BI007_gp117,DIGNKC_257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058575,BI007_gp116,BI007_gp116,DIGNKC_258,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058576,BI007_gp115,BI007_gp115,DIGNKC_259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058577,BI007_gp114,BI007_gp114,DIGNKC_260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058578,BI007_gp113,BI007_gp113,DIGNKC_261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058579,BI007_gp112,BI007_gp112,DIGNKC_262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058580,BI007_gp111,BI007_gp111,DIGNKC_263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058581,BI007_gp110,BI007_gp110,DIGNKC_264,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058582,BI007_gp109,BI007_gp109,DIGNKC_265,-,-,-,transcription factor,protein-coding,-,-,-,transcription factor,20200910,-
1805948,29058583,BI007_gp108,BI007_gp108,DIGNKC_266,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058584,BI007_gp107,BI007_gp107,DIGNKC_267,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058585,BI007_gp106,BI007_gp106,DIGNKC_268,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058586,BI007_gp105,BI007_gp105,DIGNKC_269,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058587,BI007_gp104,BI007_gp104,DIGNKC_270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058588,BI007_gp157,BI007_gp157,DIGNKC_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058589,BI007_gp156,BI007_gp156,DIGNKC_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058590,BI007_gp155,BI007_gp155,DIGNKC_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058591,BI007_gp154,BI007_gp154,DIGNKC_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058592,BI007_gp153,BI007_gp153,DIGNKC_221,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20200910,-
1805948,29058593,BI007_gp152,BI007_gp152,DIGNKC_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058594,BI007_gp151,BI007_gp151,DIGNKC_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058595,BI007_gp150,BI007_gp150,DIGNKC_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058596,BI007_gp149,BI007_gp149,DIGNKC_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058597,BI007_gp148,BI007_gp148,DIGNKC_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058598,BI007_gp147,BI007_gp147,DIGNKC_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058599,BI007_gp146,BI007_gp146,DIGNKC_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058600,BI007_gp145,BI007_gp145,DIGNKC_229,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20200910,-
1805948,29058601,BI007_gp144,BI007_gp144,DIGNKC_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058602,BI007_gp143,BI007_gp143,DIGNKC_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058603,BI007_gp142,BI007_gp142,DIGNKC_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058604,BI007_gp141,BI007_gp141,DIGNKC_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058605,BI007_gp140,BI007_gp140,DIGNKC_234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058606,BI007_gp139,BI007_gp139,DIGNKC_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058607,BI007_gp138,BI007_gp138,DIGNKC_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058608,BI007_gp137,BI007_gp137,DIGNKC_237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058609,BI007_gp136,BI007_gp136,DIGNKC_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058610,BI007_gp135,BI007_gp135,DIGNKC_239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058611,BI007_gp134,BI007_gp134,DIGNKC_240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058612,BI007_gp133,BI007_gp133,DIGNKC_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
