#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089119,18559274,2,CM09_gp002,COURTHOUSE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1089119,18559300,28,CM09_gp028,COURTHOUSE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559301,29,CM09_gp029,COURTHOUSE_29,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1089119,18559302,31,CM09_gp030,COURTHOUSE_31,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1089119,18559303,32,CM09_gp032,COURTHOUSE_32,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1089119,18559304,30,CM09_gp031,COURTHOUSE_30,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1089119,18559305,33,CM09_gp033,COURTHOUSE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559306,34,CM09_gp034,COURTHOUSE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559307,35,CM09_gp035,COURTHOUSE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559308,36,CM09_gp036,COURTHOUSE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559309,37,CM09_gp037,COURTHOUSE_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1089119,18559310,38,CM09_gp038,COURTHOUSE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559311,39,CM09_gp039,COURTHOUSE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559312,40,CM09_gp040,COURTHOUSE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559313,41,CM09_gp041,COURTHOUSE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559314,42,CM09_gp042,COURTHOUSE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559315,43,CM09_gp043,COURTHOUSE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559316,44,CM09_gp044,COURTHOUSE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559317,45,CM09_gp045,COURTHOUSE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559318,46,CM09_gp046,COURTHOUSE_46,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1089119,18559319,47,CM09_gp047,COURTHOUSE_47,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1089119,18559320,48,CM09_gp048,COURTHOUSE_48,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1089119,18559321,49,CM09_gp049,COURTHOUSE_49,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1089119,18559322,50,CM09_gp050,COURTHOUSE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559323,51,CM09_gp051,COURTHOUSE_51,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200927,-
1089119,18559324,52,CM09_gp052,COURTHOUSE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559325,53,CM09_gp053,COURTHOUSE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559326,54,CM09_gp054,COURTHOUSE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559327,55,CM09_gp055,COURTHOUSE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559328,56,CM09_gp056,COURTHOUSE_56,-,-,-,Lsr2-like DNA bridging protein,protein-coding,-,-,-,Lsr2-like DNA bridging protein,20200927,-
1089119,18559329,57,CM09_gp057,COURTHOUSE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559330,58,CM09_gp058,COURTHOUSE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559331,59,CM09_gp059,COURTHOUSE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559332,60,CM09_gp060,COURTHOUSE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559333,61,CM09_gp061,COURTHOUSE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559334,62,CM09_gp062,COURTHOUSE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559335,63,CM09_gp063,COURTHOUSE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559336,64,CM09_gp064,COURTHOUSE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559337,65,CM09_gp065,COURTHOUSE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559338,66,CM09_gp066,COURTHOUSE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559339,67,CM09_gp067,COURTHOUSE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559340,68,CM09_gp068,COURTHOUSE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559341,69,CM09_gp069,COURTHOUSE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559342,70,CM09_gp070,COURTHOUSE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559343,71,CM09_gp071,COURTHOUSE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559344,72,CM09_gp072,COURTHOUSE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559345,73,CM09_gp073,COURTHOUSE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559346,74,CM09_gp074,COURTHOUSE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559347,75,CM09_gp075,COURTHOUSE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559348,76,CM09_gp076,COURTHOUSE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559349,77,CM09_gp077,COURTHOUSE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559350,78,CM09_gp078,COURTHOUSE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559351,79,CM09_gp079,COURTHOUSE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559352,80,CM09_gp080,COURTHOUSE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559353,81,CM09_gp081,COURTHOUSE_81,-,-,-,excise,protein-coding,-,-,-,excise,20200927,-
1089119,18559354,82,CM09_gp082,COURTHOUSE_82,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1089119,18559355,83,CM09_gp083,COURTHOUSE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559356,84,CM09_gp084,COURTHOUSE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559357,85,CM09_gp085,COURTHOUSE_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559358,86,CM09_gp086,COURTHOUSE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559359,87,CM09_gp087,COURTHOUSE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559360,88,CM09_gp088,COURTHOUSE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559361,89,CM09_gp089,COURTHOUSE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559362,90,CM09_gp090,COURTHOUSE_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559363,91,CM09_gp091,COURTHOUSE_91,-,-,-,esterase,protein-coding,-,-,-,esterase,20200927,-
1089119,18559364,92,CM09_gp092,COURTHOUSE_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559365,93,CM09_gp093,COURTHOUSE_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559366,94,CM09_gp094,COURTHOUSE_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559367,95,CM09_gp095,COURTHOUSE_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559368,96,CM09_gp096,COURTHOUSE_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559369,97,CM09_gp097,COURTHOUSE_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559370,98,CM09_gp098,COURTHOUSE_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559371,99,CM09_gp099,COURTHOUSE_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559372,100,CM09_gp100,COURTHOUSE_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559373,101,CM09_gp101,COURTHOUSE_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559374,102,CM09_gp102,COURTHOUSE_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559375,103,CM09_gp103,COURTHOUSE_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559376,104,CM09_gp104,COURTHOUSE_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559377,105,CM09_gp105,COURTHOUSE_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559378,106,CM09_gp106,COURTHOUSE_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559379,107,CM09_gp107,COURTHOUSE_107,-,-,-,RecB-like exonuclease,protein-coding,-,-,-,RecB-like exonuclease,20200927,-
1089119,18559380,108,CM09_gp108,COURTHOUSE_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559381,109,CM09_gp109,COURTHOUSE_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559382,110,CM09_gp110,COURTHOUSE_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559383,111,CM09_gp111,COURTHOUSE_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559384,112,CM09_gp112,COURTHOUSE_112,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200927,-
1089119,18559385,113,CM09_gp113,COURTHOUSE_113,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1089119,18559386,114,CM09_gp114,COURTHOUSE_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559387,115,CM09_gp115,COURTHOUSE_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559388,116,CM09_gp116,COURTHOUSE_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559389,117,CM09_gp117,COURTHOUSE_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559390,118,CM09_gp118,COURTHOUSE_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559391,119,CM09_gp119,COURTHOUSE_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559392,120,CM09_gp120,COURTHOUSE_120,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200927,-
1089119,18559393,121,CM09_gp121,COURTHOUSE_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559394,122,CM09_gp122,COURTHOUSE_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559395,123,CM09_gp123,COURTHOUSE_123,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20200927,-
1089119,18559396,124,CM09_gp124,COURTHOUSE_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559397,125,CM09_gp125,COURTHOUSE_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559398,126,CM09_gp126,COURTHOUSE_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559399,127,CM09_gp127,COURTHOUSE_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559400,128,CM09_gp128,COURTHOUSE_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559401,129,CM09_gp129,COURTHOUSE_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559402,130,CM09_gp130,COURTHOUSE_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559403,131,CM09_gp131,COURTHOUSE_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559404,132,CM09_gp132,COURTHOUSE_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559405,133,CM09_gp133,COURTHOUSE_133,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210406,-
1089119,18559406,134,CM09_gp134,COURTHOUSE_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559407,135,CM09_gp135,COURTHOUSE_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559408,136,CM09_gp136,COURTHOUSE_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559409,137,CM09_gp137,COURTHOUSE_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559410,138,CM09_gp138,COURTHOUSE_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559411,139,CM09_gp139,COURTHOUSE_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559412,140,CM09_gp140,COURTHOUSE_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559413,141,CM09_gp141,COURTHOUSE_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559414,142,CM09_gp142,COURTHOUSE_142,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1089119,18559415,143,CM09_gp143,COURTHOUSE_143,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1089119,18559416,144,CM09_gp144,COURTHOUSE_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559417,145,CM09_gp145,COURTHOUSE_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559418,146,CM09_gp146,COURTHOUSE_146,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210424,-
1089119,18559419,147,CM09_gp147,COURTHOUSE_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1089119,18559420,148,CM09_gp148,COURTHOUSE_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559421,149,CM09_gp149,COURTHOUSE_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559422,150,CM09_gp150,COURTHOUSE_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559423,151,CM09_gp151,COURTHOUSE_151,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200927,-
1089119,18559424,152,CM09_gp152,COURTHOUSE_152,-,-,-,ClpP-like protease,protein-coding,-,-,-,ClpP-like protease,20200927,-
1089119,18559425,153,CM09_gp153,COURTHOUSE_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559426,154,CM09_gp154,COURTHOUSE_154,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20200927,-
1089119,18559427,155,CM09_gp155,COURTHOUSE_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559428,156,CM09_gp156,COURTHOUSE_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559429,157,CM09_gp157,COURTHOUSE_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559430,158,CM09_gp158,COURTHOUSE_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559431,159,CM09_gp159,COURTHOUSE_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559432,160,CM09_gp160,COURTHOUSE_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559433,161,CM09_gp161,COURTHOUSE_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559434,162,CM09_gp162,COURTHOUSE_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559435,163,CM09_gp163,COURTHOUSE_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559436,164,CM09_gp164,COURTHOUSE_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559437,165,CM09_gp165,COURTHOUSE_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1089119,18559438,166,CM09_gp166,COURTHOUSE_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559439,167,CM09_gp167,COURTHOUSE_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559440,168,CM09_gp168,COURTHOUSE_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559441,169,CM09_gp169,COURTHOUSE_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559442,170,CM09_gp170,COURTHOUSE_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559443,171,CM09_gp171,COURTHOUSE_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559444,172,CM09_gp172,COURTHOUSE_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559445,173,CM09_gp173,COURTHOUSE_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559446,174,CM09_gp174,COURTHOUSE_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559447,175,CM09_gp175,COURTHOUSE_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559448,176,CM09_gp176,COURTHOUSE_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559449,177,CM09_gp177,COURTHOUSE_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559450,178,CM09_gp178,COURTHOUSE_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559451,179,CM09_gp179,COURTHOUSE_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559452,180,CM09_gp180,COURTHOUSE_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559453,181,CM09_gt001,COURTHOUSE_181,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1089119,18559454,182,CM09_gp241,COURTHOUSE_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559455,183,CM09_gp240,COURTHOUSE_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559456,184,CM09_gp239,COURTHOUSE_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559457,185,CM09_gt002,COURTHOUSE_185,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1089119,18559458,186,CM09_gp238,COURTHOUSE_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559459,1,CM09_gp001,COURTHOUSE_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1089119,18559460,187,CM09_gp237,COURTHOUSE_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559461,188,CM09_gp236,COURTHOUSE_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559462,189,CM09_gp235,COURTHOUSE_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559463,190,CM09_gp234,COURTHOUSE_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559464,191,CM09_gp233,COURTHOUSE_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559465,192,CM09_gp232,COURTHOUSE_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559466,193,CM09_gp231,COURTHOUSE_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559467,194,CM09_gp230,COURTHOUSE_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559468,195,CM09_gp229,COURTHOUSE_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559469,196,CM09_gp228,COURTHOUSE_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559470,197,CM09_gp227,COURTHOUSE_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559471,198,CM09_gp226,COURTHOUSE_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
