#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762393,62360927,2,JMN63_gp02,SEA_HARRYOW_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2762393,62360969,44,JMN63_gp44,SEA_HARRYOW_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2762393,62360970,45,JMN63_gp45,SEA_HARRYOW_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360971,46,JMN63_gp46,SEA_HARRYOW_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360972,47,JMN63_gp47,SEA_HARRYOW_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2762393,62360973,48,JMN63_gp48,SEA_HARRYOW_48,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2762393,62360974,49,JMN63_gp49,SEA_HARRYOW_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360975,50,JMN63_gp50,SEA_HARRYOW_50,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210123,-
2762393,62360976,51,JMN63_gp51,SEA_HARRYOW_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360977,52,JMN63_gp52,SEA_HARRYOW_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360978,53,JMN63_gp53,SEA_HARRYOW_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360979,54,JMN63_gp54,SEA_HARRYOW_54,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
2762393,62360980,55,JMN63_gp55,SEA_HARRYOW_55,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2762393,62360981,56,JMN63_gp56,SEA_HARRYOW_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360982,57,JMN63_gp57,SEA_HARRYOW_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2762393,62360983,58,JMN63_gp58,SEA_HARRYOW_58,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210529,-
2762393,62360984,59,JMN63_gp59,SEA_HARRYOW_59,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210417,-
2762393,62360985,60,JMN63_gp60,SEA_HARRYOW_60,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210529,-
2762393,62360986,61,JMN63_gp61,SEA_HARRYOW_61,-,-,-,DnaB-like dsDNA Helicase,protein-coding,-,-,-,DnaB-like dsDNA Helicase,20210417,-
2762393,62360987,62,JMN63_gp62,SEA_HARRYOW_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360988,63,JMN63_gp63,SEA_HARRYOW_63,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2762393,62360989,64,JMN63_gp64,SEA_HARRYOW_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360990,65,JMN63_gp65,SEA_HARRYOW_65,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210529,-
2762393,62360991,66,JMN63_gp66,SEA_HARRYOW_66,-,-,-,methytransferase,protein-coding,-,-,-,methytransferase,20210529,-
2762393,62360992,67,JMN63_gp67,SEA_HARRYOW_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360993,68,JMN63_gp68,SEA_HARRYOW_68,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210529,-
2762393,62360994,69,JMN63_gp69,SEA_HARRYOW_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360995,70,JMN63_gp70,SEA_HARRYOW_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360996,71,JMN63_gp71,SEA_HARRYOW_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360997,72,JMN63_gp72,SEA_HARRYOW_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360998,73,JMN63_gp73,SEA_HARRYOW_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360999,74,JMN63_gp74,SEA_HARRYOW_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2762393,62361000,75,JMN63_gp75,SEA_HARRYOW_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361001,76,JMN63_gp76,SEA_HARRYOW_76,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2762393,62361002,77,JMN63_gp77,SEA_HARRYOW_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361003,78,JMN63_gp78,SEA_HARRYOW_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361004,79,JMN63_gp79,SEA_HARRYOW_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361005,80,JMN63_gp80,SEA_HARRYOW_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361006,81,JMN63_gp81,SEA_HARRYOW_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361007,82,JMN63_gp82,SEA_HARRYOW_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361008,83,JMN63_gp83,SEA_HARRYOW_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361009,84,JMN63_gp84,SEA_HARRYOW_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361010,85,JMN63_gp85,SEA_HARRYOW_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361011,86,JMN63_gp86,SEA_HARRYOW_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361012,87,JMN63_gp87,SEA_HARRYOW_87,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210123,-
2762393,62361013,88,JMN63_gp88,SEA_HARRYOW_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2762393,62361014,89,JMN63_gp89,SEA_HARRYOW_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361015,90,JMN63_gp90,SEA_HARRYOW_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361016,91,JMN63_gp91,SEA_HARRYOW_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2762393,62361017,92,JMN63_gp92,SEA_HARRYOW_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361018,93,JMN63_gp93,SEA_HARRYOW_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361019,94,JMN63_gp94,SEA_HARRYOW_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62361020,1,JMN63_gp01,SEA_HARRYOW_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62369063,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
