#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2059883,54987235,HOS59_gp02,HOS59_gp02,SEA_ROWA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2059883,54987252,HOS59_gp20,HOS59_gp20,SEA_ROWA_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2059883,54987253,HOS59_gp21,HOS59_gp21,SEA_ROWA_21,-,-,-,lysin,protein-coding,-,-,-,lysin,20210403,-
2059883,54987254,HOS59_gp22,HOS59_gp22,SEA_ROWA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987255,HOS59_gp23,HOS59_gp23,SEA_ROWA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987256,HOS59_gp24,HOS59_gp24,SEA_ROWA_24,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210403,-
2059883,54987257,HOS59_gp25,HOS59_gp25,SEA_ROWA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987258,HOS59_gp26,HOS59_gp26,SEA_ROWA_26,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200910,-
2059883,54987259,HOS59_gp27,HOS59_gp27,SEA_ROWA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987260,HOS59_gp28,HOS59_gp28,SEA_ROWA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987261,HOS59_gp29,HOS59_gp29,SEA_ROWA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987262,HOS59_gp30,HOS59_gp30,SEA_ROWA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987263,HOS59_gp31,HOS59_gp31,SEA_ROWA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987264,HOS59_gp32,HOS59_gp32,SEA_ROWA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987265,HOS59_gp33,HOS59_gp33,SEA_ROWA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987266,HOS59_gp34,HOS59_gp34,SEA_ROWA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987267,HOS59_gp35,HOS59_gp35,SEA_ROWA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987268,HOS59_gp36,HOS59_gp36,SEA_ROWA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987269,HOS59_gp37,HOS59_gp37,SEA_ROWA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987270,HOS59_gp38,HOS59_gp38,SEA_ROWA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987271,HOS59_gp39,HOS59_gp39,SEA_ROWA_39,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2059883,54987272,HOS59_gp40,HOS59_gp40,SEA_ROWA_40,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2059883,54987273,HOS59_gp41,HOS59_gp41,SEA_ROWA_41,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2059883,54987274,HOS59_gp42,HOS59_gp42,SEA_ROWA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2059883,54987275,HOS59_gp43,HOS59_gp43,SEA_ROWA_43,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2059883,54987276,HOS59_gp44,HOS59_gp44,SEA_ROWA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987277,HOS59_gp45,HOS59_gp45,SEA_ROWA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987278,HOS59_gp46,HOS59_gp46,SEA_ROWA_46,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210403,-
2059883,54987279,HOS59_gp47,HOS59_gp47,SEA_ROWA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987280,HOS59_gp48,HOS59_gp48,SEA_ROWA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2059883,54987281,HOS59_gp49,HOS59_gp49,SEA_ROWA_49,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210403,-
2059883,54987282,HOS59_gp50,HOS59_gp50,SEA_ROWA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987283,HOS59_gp51,HOS59_gp51,SEA_ROWA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987284,HOS59_gp52,HOS59_gp52,SEA_ROWA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987285,HOS59_gp53,HOS59_gp53,SEA_ROWA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987286,HOS59_gp54,HOS59_gp54,SEA_ROWA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987287,HOS59_gp55,HOS59_gp55,SEA_ROWA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987288,HOS59_gp56,HOS59_gp56,SEA_ROWA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987289,HOS59_gp57,HOS59_gp57,SEA_ROWA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2059883,54987290,HOS59_gp58,HOS59_gp58,SEA_ROWA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987291,HOS59_gp59,HOS59_gp59,SEA_ROWA_59,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2059883,54987292,HOS59_gp60,HOS59_gp60,SEA_ROWA_60,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
2059883,54987293,HOS59_gt01,HOS59_gt01,SEA_ROWA_61,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2059883,54987294,HOS59_gt02,HOS59_gt02,SEA_ROWA_62,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2059883,54987295,HOS59_gt03,HOS59_gt03,SEA_ROWA_63,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2059883,54987296,HOS59_gt04,HOS59_gt04,SEA_ROWA_64,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2059883,54987297,HOS59_gt05,HOS59_gt05,SEA_ROWA_65,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2059883,54987298,HOS59_gt06,HOS59_gt06,SEA_ROWA_66,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2059883,54987299,HOS59_gt07,HOS59_gt07,SEA_ROWA_67,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2059883,54987300,HOS59_gp62,HOS59_gp62,SEA_ROWA_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
2059883,54987301,HOS59_gp01,HOS59_gp01,SEA_ROWA_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2059883,54987302,HOS59_gp61,HOS59_gp61,SEA_ROWA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059883,54987303,HOS59_gp14,HOS59_gp14,SEA_ROWA_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2059883,55153765,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
