#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1503929,24625404,ACQ23_gp02,ACQ23_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1503929,24625434,ACQ23_gp32,ACQ23_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625435,ACQ23_gp33,ACQ23_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625436,ACQ23_gp34,ACQ23_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625437,ACQ23_gp35,ACQ23_gp35,-,-,-,-,chromosome partitioning protein ParA,protein-coding,-,-,-,chromosome partitioning protein ParA,20201221,-
1503929,24625438,ACQ23_gp36,ACQ23_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625439,ACQ23_gp37,ACQ23_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625440,ACQ23_gp38,ACQ23_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625441,ACQ23_gp39,ACQ23_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625442,ACQ23_gp40,ACQ23_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625443,ACQ23_gp41,ACQ23_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625444,ACQ23_gp42,ACQ23_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625445,ACQ23_gp43,ACQ23_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625446,ACQ23_gp44,ACQ23_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625447,ACQ23_gp45,ACQ23_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625448,ACQ23_gp46,ACQ23_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625449,ACQ23_gp47,ACQ23_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625450,ACQ23_gp48,ACQ23_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625451,ACQ23_gp49,ACQ23_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625452,ACQ23_gp50,ACQ23_gp50,-,-,-,-,DNA polymerase III beta subunit,protein-coding,-,-,-,DNA polymerase III beta subunit,20201221,-
1503929,24625453,ACQ23_gp51,ACQ23_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625454,ACQ23_gp52,ACQ23_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625455,ACQ23_gp53,ACQ23_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625456,ACQ23_gp54,ACQ23_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625457,ACQ23_gp55,ACQ23_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625458,ACQ23_gp56,ACQ23_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625459,ACQ23_gp57,ACQ23_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625460,ACQ23_gp58,ACQ23_gp58,-,-,-,-,CI repressor,protein-coding,-,-,-,CI repressor,20201221,-
1503929,24625461,ACQ23_gp59,ACQ23_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625462,ACQ23_gp60,ACQ23_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625463,ACQ23_gp61,ACQ23_gp61,-,-,-,-,Zinc-binding domain containing protein,protein-coding,-,-,-,Zinc-binding domain containing protein,20201221,-
1503929,24625464,ACQ23_gp62,ACQ23_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625465,ACQ23_gp63,ACQ23_gp63,-,-,-,-,DnaA C-terminal domain containing protein,protein-coding,-,-,-,DnaA C-terminal domain containing protein,20201221,-
1503929,24625466,ACQ23_gp64,ACQ23_gp64,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1503929,24625467,ACQ23_gp65,ACQ23_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625468,ACQ23_gp66,ACQ23_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,24625469,ACQ23_gp67,ACQ23_gp67,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1503929,24625470,ACQ23_gp01,ACQ23_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1503929,25067859,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
