#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2218499,65060161,KMC15_gp001,KMC15_gp001,KIT03_01,-,-,-,Protector from prophage-induced early lysis,protein-coding,-,-,-,Protector from prophage-induced early lysis,20210607,-
2218499,65060180,KMC15_gp109,KMC15_gp109,KIT03_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060181,KMC15_gp110,KMC15_gp110,KIT03_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060182,KMC15_gp012,KMC15_gp012,KIT03_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060183,KMC15_gp111,KMC15_gp111,KIT03_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060184,KMC15_gp112,KMC15_gp112,KIT03_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060185,KMC15_gp113,KMC15_gp113,KIT03_113,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20210607,-
2218499,65060186,KMC15_gp114,KMC15_gp114,KIT03_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060187,KMC15_gp115,KMC15_gp115,KIT03_115,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210607,-
2218499,65060188,KMC15_gp116,KMC15_gp116,KIT03_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060189,KMC15_gp117,KMC15_gp117,KIT03_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060190,KMC15_gp118,KMC15_gp118,KIT03_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060191,KMC15_gp119,KMC15_gp119,KIT03_119,-,-,-,pyruvate formate-lyase,protein-coding,-,-,-,pyruvate formate-lyase,20210607,-
2218499,65060192,KMC15_gp120,KMC15_gp120,KIT03_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060193,KMC15_gp013,KMC15_gp013,KIT03_13,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2218499,65060194,KMC15_gp121,KMC15_gp121,KIT03_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060195,KMC15_gp122,KMC15_gp122,KIT03_122,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20210607,-
2218499,65060196,KMC15_gp123,KMC15_gp123,KIT03_123,-,-,-,Endolysin,protein-coding,-,-,-,Endolysin,20210607,-
2218499,65060197,KMC15_gp124,KMC15_gp124,KIT03_124,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210607,-
2218499,65060198,KMC15_gp125,KMC15_gp125,KIT03_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060199,KMC15_gp126,KMC15_gp126,KIT03_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060200,KMC15_gp127,KMC15_gp127,KIT03_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060201,KMC15_gp128,KMC15_gp128,KIT03_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060202,KMC15_gp129,KMC15_gp129,KIT03_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060203,KMC15_gp130,KMC15_gp130,KIT03_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060204,KMC15_gp014,KMC15_gp014,KIT03_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060205,KMC15_gp131,KMC15_gp131,KIT03_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060206,KMC15_gp132,KMC15_gp132,KIT03_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060207,KMC15_gp133,KMC15_gp133,KIT03_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060208,KMC15_gt001,KMC15_gt001,KIT03_t001,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2218499,65060209,KMC15_gt008,KMC15_gt008,KIT03_t008,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2218499,65060210,KMC15_gp266,KMC15_gp266,KIT03_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060211,KMC15_gp265,KMC15_gp265,KIT03_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060212,KMC15_gp264,KMC15_gp264,KIT03_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060213,KMC15_gp263,KMC15_gp263,KIT03_139,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20210607,-
2218499,65060214,KMC15_gp262,KMC15_gp262,KIT03_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2218499,65060215,KMC15_gp015,KMC15_gp015,KIT03_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060216,KMC15_gp261,KMC15_gp261,KIT03_141,-,-,-,chaperone for long and short tail fiber formation,protein-coding,-,-,-,chaperone for long and short tail fiber formation,20210607,-
2218499,65060217,KMC15_gp260,KMC15_gp260,KIT03_142,-,-,-,deoxynucleotide monophosphate kinase,protein-coding,-,-,-,deoxynucleotide monophosphate kinase,20210607,-
2218499,65060218,KMC15_gp259,KMC15_gp259,KIT03_143,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210612,-
2218499,65060219,KMC15_gp258,KMC15_gp258,KIT03_144,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210612,-
2218499,65060220,KMC15_gp257,KMC15_gp257,KIT03_145,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210609,-
2218499,65060221,KMC15_gp256,KMC15_gp256,KIT03_146,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2218499,65060222,KMC15_gp255,KMC15_gp255,KIT03_147,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210607,-
2218499,65060223,KMC15_gp254,KMC15_gp254,KIT03_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060224,KMC15_gp253,KMC15_gp253,KIT03_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060225,KMC15_gp252,KMC15_gp252,KIT03_150,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2218499,65060226,KMC15_gp016,KMC15_gp016,KIT03_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060227,KMC15_gp251,KMC15_gp251,KIT03_151,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210607,-
2218499,65060228,KMC15_gp250,KMC15_gp250,KIT03_152,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2218499,65060229,KMC15_gp249,KMC15_gp249,KIT03_153,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210607,-
2218499,65060230,KMC15_gp248,KMC15_gp248,KIT03_154,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2218499,65060231,KMC15_gp247,KMC15_gp247,KIT03_155,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2218499,65060232,KMC15_gp246,KMC15_gp246,KIT03_156,-,-,-,short tail fibers protein,protein-coding,-,-,-,short tail fibers protein,20210607,-
2218499,65060233,KMC15_gp245,KMC15_gp245,KIT03_157,-,-,-,fibritin neck whiskers,protein-coding,-,-,-,fibritin neck whiskers,20210607,-
2218499,65060234,KMC15_gp244,KMC15_gp244,KIT03_158,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2218499,65060235,KMC15_gp243,KMC15_gp243,KIT03_159,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2218499,65060236,KMC15_gp242,KMC15_gp242,KIT03_160,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210609,-
2218499,65060237,KMC15_gp017,KMC15_gp017,KIT03_17,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2218499,65060238,KMC15_gp241,KMC15_gp241,KIT03_161,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20210607,-
2218499,65060239,KMC15_gp240,KMC15_gp240,KIT03_162,-,-,-,terminase large subunit nuclease and ATPase,protein-coding,-,-,-,terminase large subunit nuclease and ATPase,20210607,-
2218499,65060240,KMC15_gp239,KMC15_gp239,KIT03_163,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20210607,-
2218499,65060241,KMC15_gp238,KMC15_gp238,KIT03_164,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20210607,-
2218499,65060242,KMC15_gp237,KMC15_gp237,KIT03_165,-,-,-,portal vertex protein of the head,protein-coding,-,-,-,portal vertex protein of the head,20210607,-
2218499,65060243,KMC15_gp236,KMC15_gp236,KIT03_166,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2218499,65060244,KMC15_gp235,KMC15_gp235,KIT03_167,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2218499,65060245,KMC15_gp234,KMC15_gp234,KIT03_168,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20210612,-
2218499,65060246,KMC15_gp233,KMC15_gp233,KIT03_169,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210607,-
2218499,65060247,KMC15_gp232,KMC15_gp232,KIT03_170,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210607,-
2218499,65060248,KMC15_gp018,KMC15_gp018,KIT03_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060249,KMC15_gp231,KMC15_gp231,KIT03_171,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20210607,-
2218499,65060250,KMC15_gp230,KMC15_gp230,KIT03_172,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2218499,65060251,KMC15_gp229,KMC15_gp229,KIT03_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060252,KMC15_gp228,KMC15_gp228,KIT03_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060253,KMC15_gp227,KMC15_gp227,KIT03_175,-,-,-,outer capsid protein,protein-coding,-,-,-,outer capsid protein,20210607,-
2218499,65060254,KMC15_gp226,KMC15_gp226,KIT03_176,-,-,-,minor capsid protein inhibitor of prohead protease,protein-coding,-,-,-,minor capsid protein inhibitor of prohead protease,20210607,-
2218499,65060255,KMC15_gp225,KMC15_gp225,KIT03_177,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2218499,65060256,KMC15_gp224,KMC15_gp224,KIT03_178,-,-,-,RNA-DNA and DNA- helicase; DNA dependent ATPase,protein-coding,-,-,-,RNA-DNA and DNA- helicase|DNA dependent ATPase,20210607,-
2218499,65060257,KMC15_gp223,KMC15_gp223,KIT03_179,-,-,-,RNA-DNA and DNA- helicase; DNA dependent ATPase,protein-coding,-,-,-,RNA-DNA and DNA- helicase|DNA dependent ATPase,20210607,-
2218499,65060258,KMC15_gp222,KMC15_gp222,KIT03_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060259,KMC15_gp019,KMC15_gp019,KIT03_19,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210607,-
2218499,65060260,KMC15_gp221,KMC15_gp221,KIT03_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060261,KMC15_gp220,KMC15_gp220,KIT03_182,-,-,-,repair and ssDNA binding protein,protein-coding,-,-,-,repair and ssDNA binding protein,20210609,-
2218499,65060262,KMC15_gp219,KMC15_gp219,KIT03_183,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210609,-
2218499,65060263,KMC15_gp218,KMC15_gp218,KIT03_184,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2218499,65060264,KMC15_gp217,KMC15_gp217,KIT03_185,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20210607,-
2218499,65060265,KMC15_gp216,KMC15_gp216,KIT03_186,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2218499,65060266,KMC15_gp215,KMC15_gp215,KIT03_187,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20210607,-
2218499,65060267,KMC15_gp214,KMC15_gp214,KIT03_188,-,-,-,"baseplate hub subunit, tail length determinator",protein-coding,-,-,-,"baseplate hub subunit, tail length determinator",20210607,-
2218499,65060268,KMC15_gp213,KMC15_gp213,KIT03_189,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20210607,-
2218499,65060269,KMC15_gp212,KMC15_gp212,KIT03_190,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20210607,-
2218499,65060270,KMC15_gp020,KMC15_gp020,KIT03_20,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20210607,-
2218499,65060271,KMC15_gp211,KMC15_gp211,KIT03_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060272,KMC15_gp210,KMC15_gp210,KIT03_192,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210607,-
2218499,65060273,KMC15_gp209,KMC15_gp209,KIT03_193,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210607,-
2218499,65060274,KMC15_gp208,KMC15_gp208,KIT03_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060275,KMC15_gp207,KMC15_gp207,KIT03_195,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210607,-
2218499,65060276,KMC15_gp206,KMC15_gp206,KIT03_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2218499,65060277,KMC15_gp205,KMC15_gp205,KIT03_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060278,KMC15_gp204,KMC15_gp204,KIT03_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060279,KMC15_gp203,KMC15_gp203,KIT03_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060280,KMC15_gp202,KMC15_gp202,KIT03_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060281,KMC15_gp021,KMC15_gp021,KIT03_21,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20210607,-
2218499,65060282,KMC15_gp201,KMC15_gp201,KIT03_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060283,KMC15_gp200,KMC15_gp200,KIT03_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060284,KMC15_gp199,KMC15_gp199,KIT03_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060285,KMC15_gp198,KMC15_gp198,KIT03_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060286,KMC15_gp197,KMC15_gp197,KIT03_205,-,-,-,rIII lysis inhibition accessory protein,protein-coding,-,-,-,rIII lysis inhibition accessory protein,20210607,-
2218499,65060287,KMC15_gp196,KMC15_gp196,KIT03_206,-,-,-,head assembly Co-chaperone with GroEL,protein-coding,-,-,-,head assembly Co-chaperone with GroEL,20210607,-
2218499,65060288,KMC15_gp195,KMC15_gp195,KIT03_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060289,KMC15_gp194,KMC15_gp194,KIT03_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060290,KMC15_gp193,KMC15_gp193,KIT03_209,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210607,-
2218499,65060291,KMC15_gp192,KMC15_gp192,KIT03_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060292,KMC15_gp022,KMC15_gp022,KIT03_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060293,KMC15_gp191,KMC15_gp191,KIT03_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060294,KMC15_gp190,KMC15_gp190,KIT03_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060295,KMC15_gp189,KMC15_gp189,KIT03_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060296,KMC15_gp188,KMC15_gp188,KIT03_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060297,KMC15_gp187,KMC15_gp187,KIT03_215,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20210607,-
2218499,65060298,KMC15_gp186,KMC15_gp186,KIT03_216,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210607,-
2218499,65060299,KMC15_gp185,KMC15_gp185,KIT03_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060300,KMC15_gp184,KMC15_gp184,KIT03_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060301,KMC15_gp183,KMC15_gp183,KIT03_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060302,KMC15_gp182,KMC15_gp182,KIT03_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060303,KMC15_gp023,KMC15_gp023,KIT03_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060304,KMC15_gp181,KMC15_gp181,KIT03_221,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210607,-
2218499,65060305,KMC15_gp180,KMC15_gp180,KIT03_222,-,-,-,RNA ligase and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase and tail fiber attachment catalyst,20210607,-
2218499,65060306,KMC15_gp179,KMC15_gp179,KIT03_223,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20210607,-
2218499,65060307,KMC15_gp178,KMC15_gp178,KIT03_224,-,-,-,ribonucleotide reductase subunit,protein-coding,-,-,-,ribonucleotide reductase subunit,20210607,-
2218499,65060308,KMC15_gp177,KMC15_gp177,KIT03_225,-,-,-,ribonucleotide reductase subunit,protein-coding,-,-,-,ribonucleotide reductase subunit,20210607,-
2218499,65060309,KMC15_gp176,KMC15_gp176,KIT03_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2218499,65060310,KMC15_gp175,KMC15_gp175,KIT03_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060311,KMC15_gp174,KMC15_gp174,KIT03_228,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
2218499,65060312,KMC15_gp173,KMC15_gp173,KIT03_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060313,KMC15_gp172,KMC15_gp172,KIT03_230,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210607,-
2218499,65060314,KMC15_gp024,KMC15_gp024,KIT03_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060315,KMC15_gp171,KMC15_gp171,KIT03_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060316,KMC15_gp170,KMC15_gp170,KIT03_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060317,KMC15_gp169,KMC15_gp169,KIT03_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060318,KMC15_gp168,KMC15_gp168,KIT03_234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060319,KMC15_gp167,KMC15_gp167,KIT03_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2218499,65060320,KMC15_gp166,KMC15_gp166,KIT03_236,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210607,-
2218499,65060321,KMC15_gp165,KMC15_gp165,KIT03_237,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20210607,-
2218499,65060322,KMC15_gp164,KMC15_gp164,KIT03_238,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20210607,-
2218499,65060323,KMC15_gp163,KMC15_gp163,KIT03_239,-,-,-,dsDNA binding protein,protein-coding,-,-,-,dsDNA binding protein,20210612,-
2218499,65060324,KMC15_gp162,KMC15_gp162,KIT03_240,-,-,-,Rnase H,protein-coding,-,-,-,Rnase H,20210607,-
2218499,65060325,KMC15_gp025,KMC15_gp025,KIT03_25,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20210607,-
2218499,65060326,KMC15_gp161,KMC15_gp161,KIT03_241,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210607,-
2218499,65060327,KMC15_gp160,KMC15_gp160,KIT03_242,-,-,-,"hinge connector of long tail fiber, proximal connector",protein-coding,-,-,-,"hinge connector of long tail fiber, proximal connector",20210607,-
2218499,65060328,KMC15_gp159,KMC15_gp159,KIT03_243,-,-,-,"hinge connector of long tail fiber, distal connector",protein-coding,-,-,-,"hinge connector of long tail fiber, distal connector",20210607,-
2218499,65060329,KMC15_gp158,KMC15_gp158,KIT03_244,-,-,-,large distal long tail fiber subunit,protein-coding,-,-,-,large distal long tail fiber subunit,20210607,-
2218499,65060330,KMC15_gp157,KMC15_gp157,KIT03_245,-,-,-,tail fiber adhesin,protein-coding,-,-,-,tail fiber adhesin,20210607,-
2218499,65060331,KMC15_gp156,KMC15_gp156,KIT03_246,-,-,-,holin,protein-coding,-,-,-,holin,20210609,-
2218499,65060332,KMC15_gp155,KMC15_gp155,KIT03_247,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20210612,-
2218499,65060333,KMC15_gp154,KMC15_gp154,KIT03_248,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060334,KMC15_gp153,KMC15_gp153,KIT03_249,-,-,-,inhibitor of MrcBC restriction endonuclease,protein-coding,-,-,-,inhibitor of MrcBC restriction endonuclease,20210607,-
2218499,65060335,KMC15_gp152,KMC15_gp152,KIT03_250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060336,KMC15_gp026,KMC15_gp026,KIT03_26,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20210607,-
2218499,65060337,KMC15_gp151,KMC15_gp151,KIT03_251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2218499,65060338,KMC15_gp150,KMC15_gp150,KIT03_252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
