#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
36355,8763862,PsunGV_gp002,PsunGV_gp002,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20180815,-
36355,8763930,PsunGV_gp070,PsunGV_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763931,PsunGV_gp071,PsunGV_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763932,PsunGV_gp072,PsunGV_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763933,PsunGV_gp073,PsunGV_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763934,PsunGV_gp074,PsunGV_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763935,PsunGV_gp075,PsunGV_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763936,PsunGV_gp076,PsunGV_gp076,-,-,-,-,BRO,protein-coding,-,-,-,BRO,20180815,-
36355,8763937,PsunGV_gp077,PsunGV_gp077,-,-,-,-,P74,protein-coding,-,-,-,P74,20180815,-
36355,8763938,PsunGV_gp078,PsunGV_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763939,PsunGV_gp079,PsunGV_gp079,-,-,-,-,P47,protein-coding,-,-,-,P47,20180815,-
36355,8763940,PsunGV_gp080,PsunGV_gp080,-,-,-,-,Rep-like protein,protein-coding,-,-,-,Rep-like protein,20181103,-
36355,8763941,PsunGV_gp081,PsunGV_gp081,-,-,-,-,Rep-like protein,protein-coding,-,-,-,Rep-like protein,20181103,-
36355,8763942,PsunGV_gp082,PsunGV_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
36355,8763943,PsunGV_gp083,PsunGV_gp083,-,-,-,-,P24 capsid,protein-coding,-,-,-,P24 capsid,20181103,-
36355,8763944,PsunGV_gp084,PsunGV_gp084,-,-,-,-,P38.7,protein-coding,-,-,-,P38.7,20180815,-
36355,8763945,PsunGV_gp085,PsunGV_gp085,-,-,-,-,LEF-1,protein-coding,-,-,-,LEF-1,20180815,-
36355,8763946,PsunGV_gp086,PsunGV_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
36355,8763947,PsunGV_gp087,PsunGV_gp087,-,-,-,-,per os infectivity factor-1,protein-coding,-,-,-,per os infectivity factor-1,20180815,-
36355,8763948,PsunGV_gp088,PsunGV_gp088,-,-,-,-,fibroblast growth factor-1,protein-coding,-,-,-,fibroblast growth factor-1,20180815,-
36355,8763949,PsunGV_gp089,PsunGV_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763950,PsunGV_gp090,PsunGV_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763951,PsunGV_gp091,PsunGV_gp091,-,-,-,-,LEF-6,protein-coding,-,-,-,LEF-6,20180815,-
36355,8763952,PsunGV_gp092,PsunGV_gp092,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20180815,-
36355,8763953,PsunGV_gp093,PsunGV_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763954,PsunGV_gp094,PsunGV_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763955,PsunGV_gp095,PsunGV_gp095,-,-,-,-,P45,protein-coding,-,-,-,P45,20180815,-
36355,8763956,PsunGV_gp096,PsunGV_gp096,-,-,-,-,P12,protein-coding,-,-,-,P12,20180815,-
36355,8763957,PsunGV_gp097,PsunGV_gp097,-,-,-,-,P40,protein-coding,-,-,-,P40,20180815,-
36355,8763958,PsunGV_gp098,PsunGV_gp098,-,-,-,-,P6.9,protein-coding,-,-,-,P6.9,20180815,-
36355,8763959,PsunGV_gp099,PsunGV_gp099,-,-,-,-,LEF-5,protein-coding,-,-,-,LEF-5,20180815,-
36355,8763960,PsunGV_gp100,PsunGV_gp100,-,-,-,-,38K,protein-coding,-,-,-,38K,20180815,-
36355,8763961,PsunGV_gp101,PsunGV_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763962,PsunGV_gp102,PsunGV_gp102,-,-,-,-,DNA helicase-1,protein-coding,-,-,-,DNA helicase-1,20180815,-
36355,8763963,PsunGV_gp103,PsunGV_gp103,-,-,-,-,ODV-E25,protein-coding,-,-,-,ODV-E25,20180815,-
36355,8763964,PsunGV_gp104,PsunGV_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763965,PsunGV_gp105,PsunGV_gp105,-,-,-,-,P33,protein-coding,-,-,-,P33,20180815,-
36355,8763966,PsunGV_gp106,PsunGV_gp106,-,-,-,-,ChaB,protein-coding,-,-,-,ChaB,20181103,-
36355,8763967,PsunGV_gp107,PsunGV_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763968,PsunGV_gp108,PsunGV_gp108,-,-,-,-,chitinase,protein-coding,-,-,-,chitinase,20181103,-
36355,8763969,PsunGV_gp109,PsunGV_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
36355,8763970,PsunGV_gp110,PsunGV_gp110,-,-,-,-,GP37,protein-coding,-,-,-,GP37,20180815,-
36355,8763971,PsunGV_gp111,PsunGV_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763972,PsunGV_gp112,PsunGV_gp112,-,-,-,-,BRO,protein-coding,-,-,-,BRO,20180815,-
36355,8763973,PsunGV_gp113,PsunGV_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763974,PsunGV_gp114,PsunGV_gp114,-,-,-,-,LEF-4,protein-coding,-,-,-,LEF-4,20180815,-
36355,8763975,PsunGV_gp115,PsunGV_gp115,-,-,-,-,P39 capsid,protein-coding,-,-,-,P39 capsid,20180815,-
36355,8763976,PsunGV_gp116,PsunGV_gp116,-,-,-,-,ODV-EC27,protein-coding,-,-,-,ODV-EC27,20180815,-
36355,8763977,PsunGV_gp117,PsunGV_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763978,PsunGV_gp118,PsunGV_gp118,-,-,-,-,BRO,protein-coding,-,-,-,BRO,20181103,-
36355,8763979,PsunGV_gp119,PsunGV_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763980,PsunGV_gp120,PsunGV_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763981,PsunGV_gp121,PsunGV_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763982,PsunGV_gp122,PsunGV_gp122,-,-,-,-,P91,protein-coding,-,-,-,P91,20180815,-
36355,8763983,PsunGV_gp123,PsunGV_gp123,-,-,-,-,telokinik-like protein-20,protein-coding,-,-,-,telokinik-like protein-20,20181103,-
36355,8763984,PsunGV_gp124,PsunGV_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763985,PsunGV_gp125,PsunGV_gp125,-,-,-,-,GP41,protein-coding,-,-,-,GP41,20180815,-
36355,8763986,PsunGV_gp126,PsunGV_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
36355,8763987,PsunGV_gp127,PsunGV_gp127,-,-,-,-,very late expression factor-1,protein-coding,-,-,-,very late expression factor-1,20181103,-
36355,8763988,PsunGV_gp128,PsunGV_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
36355,8763989,PsunGV_gp129,PsunGV_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763990,PsunGV_gp130,PsunGV_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763991,PsunGV_gp131,PsunGV_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763992,PsunGV_gp132,PsunGV_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763993,PsunGV_gp133,PsunGV_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763994,PsunGV_gp134,PsunGV_gp134,-,-,-,-,LEF-7,protein-coding,-,-,-,LEF-7,20180815,-
36355,8763995,PsunGV_gp135,PsunGV_gp135,-,-,-,-,BRO,protein-coding,-,-,-,BRO,20180815,-
36355,8763996,PsunGV_gp136,PsunGV_gp136,-,-,-,-,BRO,protein-coding,-,-,-,BRO,20180815,-
36355,8763997,PsunGV_gp137,PsunGV_gp137,-,-,-,-,BRO,protein-coding,-,-,-,BRO,20180815,-
36355,8763998,PsunGV_gp138,PsunGV_gp138,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20180815,-
36355,8763999,PsunGV_gp139,PsunGV_gp139,-,-,-,-,desmoplakin,protein-coding,-,-,-,desmoplakin,20180815,-
36355,8764000,PsunGV_gp140,PsunGV_gp140,-,-,-,-,LEF-3,protein-coding,-,-,-,LEF-3,20180815,-
36355,8764001,PsunGV_gp141,PsunGV_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764002,PsunGV_gp142,PsunGV_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764003,PsunGV_gp143,PsunGV_gp143,-,-,-,-,IAP-3,protein-coding,-,-,-,IAP-3,20180815,-
36355,8764004,PsunGV_gp144,PsunGV_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764005,PsunGV_gp145,PsunGV_gp145,-,-,-,-,LEF-9,protein-coding,-,-,-,LEF-9,20180815,-
36355,8764006,PsunGV_gp146,PsunGV_gp146,-,-,-,-,FP,protein-coding,-,-,-,FP,20180815,-
36355,8764007,PsunGV_gp147,PsunGV_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764008,PsunGV_gp148,PsunGV_gp148,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20181103,-
36355,8764009,PsunGV_gp149,PsunGV_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764010,PsunGV_gp150,PsunGV_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764011,PsunGV_gp151,PsunGV_gp151,-,-,-,-,fibroblast growth factor-like protein,protein-coding,-,-,-,fibroblast growth factor-like protein,20180815,-
36355,8764012,PsunGV_gp152,PsunGV_gp152,-,-,-,-,alkaline exonuclease,protein-coding,-,-,-,alkaline exonuclease,20181103,-
36355,8764013,PsunGV_gp153,PsunGV_gp153,-,-,-,-,helicase-2,protein-coding,-,-,-,helicase-2,20180815,-
36355,8764014,PsunGV_gp154,PsunGV_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764015,PsunGV_gp155,PsunGV_gp155,-,-,-,-,LEF-8,protein-coding,-,-,-,LEF-8,20180815,-
36355,8764016,PsunGV_gp156,PsunGV_gp156,-,-,-,-,ODV-E66,protein-coding,-,-,-,ODV-E66,20180815,-
36355,8764017,PsunGV_gp157,PsunGV_gp157,-,-,-,-,enhancin-1,protein-coding,-,-,-,enhancin-1,20180815,-
36355,8764018,PsunGV_gp158,PsunGV_gp158,-,-,-,-,BRO,protein-coding,-,-,-,BRO,20180815,-
36355,8764019,PsunGV_gp159,PsunGV_gp159,-,-,-,-,enhancin-3,protein-coding,-,-,-,enhancin-3,20210417,-
36355,8764020,PsunGV_gp160,PsunGV_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764021,PsunGV_gp161,PsunGV_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764022,PsunGV_gp162,PsunGV_gp162,-,-,-,-,BRO,protein-coding,-,-,-,BRO,20180815,-
36355,8764023,PsunGV_gp163,PsunGV_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764024,PsunGV_gp164,PsunGV_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764025,PsunGV_gp165,PsunGV_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764026,PsunGV_gp166,PsunGV_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764027,PsunGV_gp167,PsunGV_gp167,-,-,-,-,BRO,protein-coding,-,-,-,BRO,20180815,-
36355,8764028,PsunGV_gp168,PsunGV_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764029,PsunGV_gp169,PsunGV_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764030,PsunGV_gp170,PsunGV_gp170,-,-,-,-,enhancin-4,protein-coding,-,-,-,enhancin-4,20180815,-
36355,8764031,PsunGV_gp171,PsunGV_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764032,PsunGV_gp172,PsunGV_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764033,PsunGV_gp173,PsunGV_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764034,PsunGV_gp174,PsunGV_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764035,PsunGV_gp175,PsunGV_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764036,PsunGV_gp176,PsunGV_gp176,-,-,-,-,LEF-10,protein-coding,-,-,-,LEF-10,20180815,-
36355,8764037,PsunGV_gp177,PsunGV_gp177,-,-,-,-,VP1054,protein-coding,-,-,-,VP1054,20180815,-
36355,8764038,PsunGV_gp178,PsunGV_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764039,PsunGV_gp179,PsunGV_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764040,PsunGV_gp180,PsunGV_gp180,-,-,-,-,fibroblast growth factor-3,protein-coding,-,-,-,fibroblast growth factor-3,20180815,-
36355,8764041,PsunGV_gp181,PsunGV_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764042,PsunGV_gp182,PsunGV_gp182,-,-,-,-,ME53,protein-coding,-,-,-,ME53,20181103,-
36355,8764043,PsunGV_gp183,PsunGV_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8764044,PsunGV_gp001,PsunGV_gp001,-,-,-,-,granulin,protein-coding,-,-,-,granulin,20180815,-
36355,9406580,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Pseudalatia unipuncta granulosis virus; Pseudaletia unipuncta granulovirus).,other,-,-,-,-,20210531,-
