#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1785753,5845560,OtV5_116c,OtV5_116c,OsV5_128r|OsV5_129r|OsV5_130r,-,-,-,putative NTPase/helicase,protein-coding,-,-,-,putative NTPase/helicase,20201221,-
1785753,5845624,OtV5_228,OtV5_228,OsV5_249f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845627,OtV5_061,OtV5_061,OsV5_065f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845628,OtV5_062,OtV5_062,OsV5_066f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845629,OtV5_063,OtV5_063,OsV5_067f,-,-,-,putative DEAD-like helicase,protein-coding,-,-,-,putative DEAD-like helicase,20201221,-
1785753,5845630,OtV5_243,OtV5_243,OsV5_264f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845631,OtV5_245,OtV5_245,OsV5_266f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845632,OtV5_246,OtV5_246,OsV5_267f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845633,OtV5_169c,OtV5_169c,OsV5_189r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845634,OtV5_170,OtV5_170,OsV5_190f,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201221,-
1785753,5845635,OtV5_171,OtV5_171,OsV5_191f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845636,OtV5_247,OtV5_247,OsV5_268f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845637,OtV5_008c,OtV5_008c,OsV5_007r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845638,OtV5_174,OtV5_174,OsV5_194f,-,-,-,putative 2OG-Fe(II) oxygenase,protein-coding,-,-,-,putative 2OG-Fe(II) oxygenase,20201221,-
1785753,5845639,OtV5_193,OtV5_193,OsV5_215f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845640,OtV5_173,OtV5_173,OsV5_193f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845641,OtV5_017,OtV5_017,OsV5_17f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845642,OtV5_018c,OtV5_018c,OsV5_018r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845643,OtV5_019c,OtV5_019c,OsV5_019r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845644,OtV5_083,OtV5_083,OsV5_092f,-,-,-,putative N-myristoyltransferase,protein-coding,-,-,-,putative N-myristoyltransferase,20201221,-
1785753,5845645,OtV5_084,OtV5_084,OsV5_093f,-,-,-,putative mRNA cap (guanine-7-)methyltransferase,protein-coding,-,-,-,putative mRNA cap (guanine-7-)methyltransferase,20201221,-
1785753,5845646,OtV5_085,OtV5_085,OsV5_94f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845647,OtV5_100c,OtV5_100c,OsV5_110r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845648,OtV5_101c,OtV5_101c,OsV5_111r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845649,OtV5_102c,OtV5_102c,OsV5_112r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845650,OtV5_160,OtV5_160,OsV5_178f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845651,OtV5_161,OtV5_161,OsV5179f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845652,OtV5_162,OtV5_162,OsV5_180f,-,-,-,putative mRNA-capping enzyme,protein-coding,-,-,-,putative mRNA-capping enzyme,20201221,-
1785753,5845653,OtV5_009c,OtV5_009c,OsV5_008r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845654,OtV5_007c,OtV5_007c,OsV5_005r,-,-,-,putative exonuclease RNase T and DNA polymerase III,protein-coding,-,-,-,putative exonuclease RNase T and DNA polymerase III,20201221,-
1785753,5845655,OtV5_010c,OtV5_010c,OsV5_010r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845656,OtV5_020c,OtV5_020c,OsV5_020r,-,-,-,putative glycosyltransferase group 1,protein-coding,-,-,-,putative glycosyltransferase group 1,20201221,-
1785753,5845657,OtV5_021c,OtV5_021c,OsV5_021r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845658,OtV5_022c,OtV5_022c,OsV5_022r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845660,OtV5_191,OtV5_191,OsV5_213f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845661,OtV5_192,OtV5_192,OsV5_2I4f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845662,OtV5_125c,OtV5_125c,OsV5_140r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845665,OtV5_142c,OtV5_142c,OsV5_158f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845666,OtV5_143,OtV5_143,OsV5_159f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845667,OtV5_144,OtV5_144,OsV5_161f,-,-,-,putative TATA-box binding protein,protein-coding,-,-,-,putative TATA-box binding protein,20201221,-
1785753,5845668,OtV5_095c,OtV5_095c,OsV5_104r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845670,OtV5_096c,OtV5_096c,OsV5_105r|OsV5_106r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845671,OtV5_023,OtV5_023,OsV5_23f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845672,OtV5_024c,OtV5_024c,OsV5_024r,-,-,-,putative transcription elongation factor,protein-coding,-,-,-,putative transcription elongation factor,20201221,-
1785753,5845673,OtV5_025c,OtV5_025c,OsV5_025r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845674,OtV5_053c,OtV5_053c,OsV5_056r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845675,OtV5_054,OtV5_054,OsV5_57f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845676,OtV5_055,OtV5_055,OsV5_058f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845677,OtV5_115c,OtV5_115c,OsV5_126r,-,-,-,putative prolyl 4-hydroxylase,protein-coding,-,-,-,putative prolyl 4-hydroxylase,20201221,-
1785753,5845680,OtV5_103c,OtV5_103c,OsV5_113r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845681,OtV5_104,OtV5_104,OsV5_114f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845682,OtV5_105,OtV5_105,OsV5_115f,-,-,-,putative PCNA1_PBCV1 proliferating cell nuclear antigen-like 1,protein-coding,-,-,-,putative PCNA1_PBCV1 proliferating cell nuclear antigen-like 1,20201221,-
1785753,5845683,OtV5_058c,OtV5_058c,OsV5_061r|OsV5_062r,-,-,-,putative ABC-1 domain protein,protein-coding,-,-,-,putative ABC-1 domain protein,20201221,-
1785753,5845684,OtV5_059,OtV5_059,OsV5_063f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845685,OtV5_060,OtV5_060,OsV5_064f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845686,OtV5_136c,OtV5_136c,OtV5_152r,-,-,-,putative 33 kDa in vitro translation peptide,protein-coding,-,-,-,putative 33 kDa in vitro translation peptide,20201221,-
1785753,5845687,OtV5_137c,OtV5_137c,OsV5_153r,-,-,-,putative ribonucleoside-diphosphate reductase alpha subunit,protein-coding,-,-,-,putative ribonucleoside-diphosphate reductase alpha subunit,20201221,-
1785753,5845688,OtV5_138c,OtV5_138c,OsV5_154r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845689,OtV5_184c,OtV5_184c,OsV5_204r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845690,OtV5_185c,OtV5_185c,OsV5_205r,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20201221,-
1785753,5845691,OtV5_186,OtV5_186,OsV5_206f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845692,OtV5_005c,OtV5_005c,OsV5_002r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845693,OtV5_006c,OtV5_006c,OsV5_004r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845694,OtV5_067,OtV5_067,OsV5_074f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845695,OtV5_068,OtV5_068,OsV5_075f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845696,OtV5_069,OtV5_069,OsV5_076f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845697,OtV5_148c,OtV5_148c,OsV_165r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845698,OtV5_149c,OtV5_149c,OsV5_166r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845699,OtV5_150c,OtV5_150c,OsV5_167r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845700,OtV5_077,OtV5_077,OsV5_086f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845701,OtV5_078,OtV5_078,OsV5_087f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845702,OtV5_079,OtV5_079,OsV5_088f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845703,OtV5_127,OtV5_127,OsV5_143f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845704,OtV5_128,OtV5_128,OsV5_144f,-,-,-,putative adenine methyltransferase,protein-coding,-,-,-,putative adenine methyltransferase,20201221,-
1785753,5845705,OtV5_129,OtV5_129,OsV5_145f,-,-,-,putative ribonuclease III,protein-coding,-,-,-,putative ribonuclease III,20201221,-
1785753,5845706,OtV5_178,OtV5_178,OsV5_198f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845707,OtV5_179,OtV5_179,OsV5_199f,-,-,-,putative topoisomerase type I,protein-coding,-,-,-,putative topoisomerase type I,20201221,-
1785753,5845708,OtV5_180,OtV5_180,OsV5_200f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845709,OtV5_045,OtV5_045,OsV5_047f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845710,OtV5_046c,OtV5_046c,OsV5_048r,-,-,-,putative light-harvesting-like protein 3,protein-coding,-,-,-,putative light-harvesting-like protein 3,20201221,-
1785753,5845711,OtV5_047c,OtV5_047c,OsV5_049r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845712,OtV5_230c,OtV5_230c,OsV5_252r,-,-,-,putative glycosyl transferase group 1,protein-coding,-,-,-,putative glycosyl transferase group 1,20201221,-
1785753,5845713,OtV5_231,OtV5_231,OsV5_253r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845714,OtV5_232c,OtV5_232c,OsV5_254r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845715,OtV5_004,OtV5_004,OsV5_001f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845718,OtV5_036,OtV5_036,OsV5_037f,-,-,-,putative thiamine pyrophosphate enzyme,protein-coding,-,-,-,putative thiamine pyrophosphate enzyme,20201221,-
1785753,5845719,OtV5_164,OtV5_164,OsV5_182r|OsV5_183r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845720,OtV5_167c,OtV5_167c,OsV5_186r|OsV5_187r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845721,OtV5_168c,OtV5_168c,OsV5_188r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845723,OtV5_189,OtV5_189,OsV5_211f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845724,OtV5_190c,OtV5_190c,OsV5_212r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845725,OtV5_201,OtV5_201,OsV5_222f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845726,OtV5_202,OtV5_202,OsV5_223f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845727,OtV5_203c,OtV5_203c,OsV5_224f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845728,OtV5_109c,OtV5_109c,OsV5_119r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845729,OtV5_110c,OtV5_110c,OsV5_120r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845730,OtV5_111c,OtV5_111c,OsV5_122r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845731,OtV5_086,OtV5_086,OsV5_095f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845732,OtV5_087c,OtV5_087c,OsV5_096r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845733,OtV5_088,OtV5_088,OsV5_097f,-,-,-,putative D12 class N6 adenine-specific DNA methyltransferase family protein,protein-coding,-,-,-,putative D12 class N6 adenine-specific DNA methyltransferase family protein,20201221,-
1785753,5845734,OtV5_048,OtV5_048,OsV5_050f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845735,OtV5_049,OtV5_049,OsV5_051f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845736,OtV5_050c,OtV5_050c,OsV5_052r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845737,OtV5_194c,OtV5_194c,OsV5_216r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845738,OtV5_195c,OtV5_195c,OsV5_217r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845739,OtV5_196,OtV5_196,OsV5_218f,-,-,-,putative NAD-dependent epimerase/dehydratase,protein-coding,-,-,-,putative NAD-dependent epimerase/dehydratase,20201221,-
1785753,5845740,OtV5_204c,OtV5_204c,OsV5_225f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845741,OtV5_205,OtV5_205,OsV5_226f,-,-,-,putative aspartyl/asparaginyl beta-hydroxylase,protein-coding,-,-,-,putative aspartyl/asparaginyl beta-hydroxylase,20201221,-
1785753,5845742,OtV5_206c,OtV5_206c,OsV5_227r,-,-,-,putative thymidine kinase,protein-coding,-,-,-,putative thymidine kinase,20201221,-
1785753,5845743,OtV5_112,OtV5_112,OsV5_123f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845744,OtV5_113,OtV5_113,OsV5_124f,-,-,-,putative m6A-gamma-methyltransferase M.CviQII,protein-coding,-,-,-,putative m6A-gamma-methyltransferase M.CviQII,20201221,-
1785753,5845745,OtV5_114c,OtV5_114c,OsV5_125r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845746,OtV5_216c,OtV5_216c,OsV5_237r,-,-,-,putative rhodanese domain-containing protein,protein-coding,-,-,-,putative rhodanese domain-containing protein,20201221,-
1785753,5845747,OtV5_217c,OtV5_217c,OsV5_238r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845748,OtV5_218c,OtV5_218c,OsV5_239r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845750,OtV5_176,OtV5_176,OsV5_196f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845751,OtV5_175,OtV5_175,OsV5_195f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845752,OtV5_043,OtV5_043,OsV5_044f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845755,OtV5_117,OtV5_117,OsV5_131f,-,-,-,putative echinonectin,protein-coding,-,-,-,putative echinonectin,20201221,-
1785753,5845756,OtV5_118c,OtV5_118c,OsV5_132r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845758,OtV5_163c,OtV5_163c,OsV5_181r,-,-,-,putative ubiquitin C-terminal hydrolase Ubp8,protein-coding,-,-,-,putative ubiquitin C-terminal hydrolase Ubp8,20201221,-
1785753,5845761,OtV5_051c,OtV5_051c,OsV5_053r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845763,OtV5_052c,OtV5_052c,OsV5_054r|OsV5_055r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845764,OtV5_236,OtV5_236,OsV5_258f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845766,OtV5_239,OtV5_239,OsV5_260f,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845767,OtV5_106c,OtV5_106c,OsV5_116r,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1785753,5845768,OtV5_107,OtV5_107,OsV5_117f,-,-,-,putative poxvirus late transcription factor VLTF3-like protein,protein-coding,-,-,-,putative poxvirus late transcription factor VLTF3-like protein,20201221,-
