#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1932895,60326513,I5H18_gp002,I5H18_gp002,SEA_BUBBLES123_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
1932895,60326526,I5H18_gp017,I5H18_gp017,SEA_BUBBLES123_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1932895,60326527,I5H18_gp018,I5H18_gp018,SEA_BUBBLES123_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1932895,60326528,I5H18_gp019,I5H18_gp019,SEA_BUBBLES123_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1932895,60326529,I5H18_gp020,I5H18_gp020,SEA_BUBBLES123_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
1932895,60326530,I5H18_gp021,I5H18_gp021,SEA_BUBBLES123_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326531,I5H18_gp023,I5H18_gp023,SEA_BUBBLES123_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326532,I5H18_gp024,I5H18_gp024,SEA_BUBBLES123_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1932895,60326533,I5H18_gp025,I5H18_gp025,SEA_BUBBLES123_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326534,I5H18_gp026,I5H18_gp026,SEA_BUBBLES123_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
1932895,60326535,I5H18_gp027,I5H18_gp027,SEA_BUBBLES123_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326536,I5H18_gp028,I5H18_gp028,SEA_BUBBLES123_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326537,I5H18_gp030,I5H18_gp030,SEA_BUBBLES123_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1932895,60326538,I5H18_gp031,I5H18_gp031,SEA_BUBBLES123_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326539,I5H18_gp032,I5H18_gp032,SEA_BUBBLES123_32,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210406,-
1932895,60326540,I5H18_gp033,I5H18_gp033,SEA_BUBBLES123_33,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
1932895,60326541,I5H18_gp034,I5H18_gp034,SEA_BUBBLES123_34,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
1932895,60326542,I5H18_gp035,I5H18_gp035,SEA_BUBBLES123_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1932895,60326543,I5H18_gp036,I5H18_gp036,SEA_BUBBLES123_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326544,I5H18_gp037,I5H18_gp037,SEA_BUBBLES123_37,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210129,-
1932895,60326545,I5H18_gp038,I5H18_gp038,SEA_BUBBLES123_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326546,I5H18_gp039,I5H18_gp039,SEA_BUBBLES123_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326547,I5H18_gp040,I5H18_gp040,SEA_BUBBLES123_40,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
1932895,60326548,I5H18_gp041,I5H18_gp041,SEA_BUBBLES123_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326549,I5H18_gp042,I5H18_gp042,SEA_BUBBLES123_42,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
1932895,60326550,I5H18_gp043,I5H18_gp043,SEA_BUBBLES123_43,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20210424,-
1932895,60326551,I5H18_gp044,I5H18_gp044,SEA_BUBBLES123_44,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
1932895,60326552,I5H18_gp045,I5H18_gp045,SEA_BUBBLES123_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326553,I5H18_gp046,I5H18_gp046,SEA_BUBBLES123_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326554,I5H18_gp048,I5H18_gp048,SEA_BUBBLES123_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326555,I5H18_gp049,I5H18_gp049,SEA_BUBBLES123_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326556,I5H18_gp050,I5H18_gp050,SEA_BUBBLES123_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326557,I5H18_gp051,I5H18_gp051,SEA_BUBBLES123_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326558,I5H18_gp052,I5H18_gp052,SEA_BUBBLES123_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326559,I5H18_gp053,I5H18_gp053,SEA_BUBBLES123_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1932895,60326560,I5H18_gp054,I5H18_gp054,SEA_BUBBLES123_54,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
1932895,60326561,I5H18_gp055,I5H18_gp055,SEA_BUBBLES123_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1932895,60326562,I5H18_gp056,I5H18_gp056,SEA_BUBBLES123_56,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
1932895,60326563,I5H18_gp057,I5H18_gp057,SEA_BUBBLES123_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326564,I5H18_gp058,I5H18_gp058,SEA_BUBBLES123_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326565,I5H18_gp059,I5H18_gp059,SEA_BUBBLES123_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1932895,60326566,I5H18_gp060,I5H18_gp060,SEA_BUBBLES123_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1932895,60326567,I5H18_gp061,I5H18_gp061,SEA_BUBBLES123_61,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
1932895,60326568,I5H18_gp063,I5H18_gp063,SEA_BUBBLES123_63,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1932895,60326569,I5H18_gp064,I5H18_gp064,SEA_BUBBLES123_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326570,I5H18_gp066,I5H18_gp066,SEA_BUBBLES123_66,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1932895,60326571,I5H18_gp068,I5H18_gp068,SEA_BUBBLES123_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326572,I5H18_gp069,I5H18_gp069,SEA_BUBBLES123_69,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210424,-
1932895,60326573,I5H18_gp070,I5H18_gp070,SEA_BUBBLES123_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326574,I5H18_gp071,I5H18_gp071,SEA_BUBBLES123_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326575,I5H18_gp072,I5H18_gp072,SEA_BUBBLES123_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326576,I5H18_gp073,I5H18_gp073,SEA_BUBBLES123_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326577,I5H18_gp075,I5H18_gp075,SEA_BUBBLES123_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326578,I5H18_gp076,I5H18_gp076,SEA_BUBBLES123_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326579,I5H18_gp077,I5H18_gp077,SEA_BUBBLES123_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326580,I5H18_gp078,I5H18_gp078,SEA_BUBBLES123_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326581,I5H18_gp079,I5H18_gp079,SEA_BUBBLES123_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326582,I5H18_gp080,I5H18_gp080,SEA_BUBBLES123_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326583,I5H18_gp081,I5H18_gp081,SEA_BUBBLES123_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326584,I5H18_gp082,I5H18_gp082,SEA_BUBBLES123_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326585,I5H18_gp083,I5H18_gp083,SEA_BUBBLES123_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326586,I5H18_gp084,I5H18_gp084,SEA_BUBBLES123_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326587,I5H18_gp085,I5H18_gp085,SEA_BUBBLES123_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326588,I5H18_gp086,I5H18_gp086,SEA_BUBBLES123_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326589,I5H18_gp087,I5H18_gp087,SEA_BUBBLES123_87,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210406,-
1932895,60326590,I5H18_gp088,I5H18_gp088,SEA_BUBBLES123_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326591,I5H18_gp089,I5H18_gp089,SEA_BUBBLES123_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326592,I5H18_gp090,I5H18_gp090,SEA_BUBBLES123_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326593,I5H18_gp091,I5H18_gp091,SEA_BUBBLES123_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326594,I5H18_gp092,I5H18_gp092,SEA_BUBBLES123_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326595,I5H18_gp093,I5H18_gp093,SEA_BUBBLES123_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326596,I5H18_gp094,I5H18_gp094,SEA_BUBBLES123_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326597,I5H18_gp095,I5H18_gp095,SEA_BUBBLES123_95,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
1932895,60326598,I5H18_gp096,I5H18_gp096,SEA_BUBBLES123_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326599,I5H18_gp098,I5H18_gp098,SEA_BUBBLES123_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326600,I5H18_gp099,I5H18_gp099,SEA_BUBBLES123_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1932895,60326601,I5H18_gp100,I5H18_gp100,SEA_BUBBLES123_100,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1932895,60326602,I5H18_gp008,I5H18_gp008,SEA_BUBBLES123_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
1932895,60326603,I5H18_gp010,I5H18_gp010,SEA_BUBBLES123_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
1932895,60326604,I5H18_gp022,I5H18_gp022,SEA_BUBBLES123_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326605,I5H18_gp029,I5H18_gp029,SEA_BUBBLES123_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326606,I5H18_gp047,I5H18_gp047,SEA_BUBBLES123_47,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
1932895,60326607,I5H18_gp062,I5H18_gp062,SEA_BUBBLES123_62,-,-,-,helicase,protein-coding,-,-,-,helicase,20210424,-
1932895,60326608,I5H18_gp065,I5H18_gp065,SEA_BUBBLES123_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326609,I5H18_gp067,I5H18_gp067,SEA_BUBBLES123_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326610,I5H18_gp074,I5H18_gp074,SEA_BUBBLES123_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326611,I5H18_gp097,I5H18_gp097,SEA_BUBBLES123_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1932895,60326612,I5H18_gp001,I5H18_gp001,SEA_BUBBLES123_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
1932895,60338579,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
