#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1873887,29067736,SEA_SNEEZE_2,SEA_SNEEZE_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1873887,29067791,SEA_SNEEZE_54,SEA_SNEEZE_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067792,SEA_SNEEZE_47,SEA_SNEEZE_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067793,SEA_SNEEZE_43,SEA_SNEEZE_43,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1873887,29067794,SEA_SNEEZE_37,SEA_SNEEZE_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067795,SEA_SNEEZE_38,SEA_SNEEZE_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067796,SEA_SNEEZE_25,SEA_SNEEZE_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067797,SEA_SNEEZE_34,SEA_SNEEZE_34,-,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20201221,-
1873887,29067798,SEA_SNEEZE_49,SEA_SNEEZE_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067799,SEA_SNEEZE_1,SEA_SNEEZE_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1873887,29140002,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Sneeze).,other,-,-,-,-,20200513,-
