#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
198538,1257686,SpyM3_0684,SpyM3_0684,-,-,-,-,putative repressor,protein-coding,-,-,-,putative repressor,20200628,-
198538,1257714,SpyM3_0714,SpyM3_0714,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257715,SpyM3_0721,SpyM3_0721,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257716,SpyM3_0689,SpyM3_0689,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257717,SpyM3_0734,SpyM3_0734,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257718,SpyM3_0715,SpyM3_0715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257719,SpyM3_0722,SpyM3_0722,-,-,-,-,tail tapemeasure protein,protein-coding,-,-,-,tail tapemeasure protein,20200628,-
198538,1257720,SpyM3_0736,SpyM3_0736,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257721,SpyM3_0723,SpyM3_0723,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210212,-
198538,1257722,SpyM3_0716,SpyM3_0716,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257723,SpyM3_0708,SpyM3_0708,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
198538,1257724,SpyM3_0713,SpyM3_0713,-,-,-,-,major coat protein,protein-coding,-,-,-,major coat protein,20210212,-
198538,1257725,SpyM3_0710,SpyM3_0710,-,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20200628,-
198538,1257726,hylP.1,SpyM3_0725,-,-,-,-,hyaluronidase,protein-coding,-,-,-,hyaluronidase,20210417,-
198538,1257727,SpyM3_0702,SpyM3_0702,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257728,SpyM3_0696,SpyM3_0696,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257729,SpyM3_0709,SpyM3_0709,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
198538,1257730,SpyM3_0703,SpyM3_0703,-,-,-,-,putative transcriptional activator,protein-coding,-,-,-,putative transcriptional activator,20200628,-
198538,1257731,SpyM3_0717,SpyM3_0717,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257732,SpyM3_0691,SpyM3_0691,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
198538,1257733,SpyM3_0690,SpyM3_0690,-,-,-,-,putative DNA polymerase III delta prime subunit,protein-coding,-,-,-,putative DNA polymerase III delta prime subunit,20200628,-
198538,1257734,SpyM3_0692,SpyM3_0692,-,-,-,-,Similar to E. coli DnaC protein,protein-coding,-,-,-,Similar to E. coli DnaC protein,20210612,-
198538,1257735,SpyM3_0731,SpyM3_0731,-,-,-,-,putative cell wall amidase,protein-coding,-,-,-,putative cell wall amidase,20210417,-
198538,1257736,SpyM3_0698,SpyM3_0698,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
198538,1257737,SpyM3_0701,SpyM3_0701,-,-,-,-,putaive immunity repressor protein,protein-coding,-,-,-,putaive immunity repressor protein,20200628,-
198538,1257738,SpyM3_0683,SpyM3_0683,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257739,SpyM3_0732,SpyM3_0732,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257740,SpyM3_0733,SpyM3_0733,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,1257741,SpyM3_0707,SpyM3_0707,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200628,-
198538,2830671,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Streptococcus pyogenes phage 315.1; bacteriophage 315.1).,other,-,-,-,-,20200513,-
