#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1838137,29066251,BI042_gp03,BI042_gp03,PFR1_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1838137,29066290,BI042_gp42,BI042_gp42,PFR_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066291,BI042_gp43,BI042_gp43,PFR_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066292,BI042_gp44,BI042_gp44,PFR_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066293,BI042_gp45,BI042_gp45,PFR_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066294,BI042_gp46,BI042_gp46,PFR_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066295,BI042_gp47,BI042_gp47,PFR_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066296,BI042_gp48,BI042_gp48,PFR_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066297,BI042_gp49,BI042_gp49,PFR_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066298,BI042_gp50,BI042_gp50,PFR_50,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
1838137,29066299,BI042_gp51,BI042_gp51,PFR_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066300,BI042_gp52,BI042_gp52,PFR1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066301,BI042_gp53,BI042_gp53,PFR1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066302,BI042_gp54,BI042_gp54,PFR_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066303,BI042_gp55,BI042_gp55,PFR1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066304,BI042_gp56,BI042_gp56,PFR1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066305,BI042_gp14,BI042_gp14,PFR1_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29066306,BI042_gp01,BI042_gp01,PFR1_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838137,29139930,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium bacteriophage PFR1).,other,-,-,-,-,20200513,-
