#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2562175,55013203,HOV36_gp02,HOV36_gp02,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210306,-
2562175,55013256,HOV36_gp55,HOV36_gp55,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201222,-
2562175,55013257,HOV36_gp56,HOV36_gp56,-,-,-,-,anaerobic NTP reductase small subunit,protein-coding,-,-,-,anaerobic NTP reductase small subunit,20210123,-
2562175,55013258,HOV36_gp57,HOV36_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013259,HOV36_gp58,HOV36_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013260,HOV36_gp59,HOV36_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013261,HOV36_gp60,HOV36_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013262,HOV36_gp61,HOV36_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013263,HOV36_gp62,HOV36_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013264,HOV36_gp63,HOV36_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013265,HOV36_gp64,HOV36_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013266,HOV36_gp65,HOV36_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013267,HOV36_gp66,HOV36_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013268,HOV36_gp67,HOV36_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013269,HOV36_gp68,HOV36_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013270,HOV36_gp69,HOV36_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013271,HOV36_gp70,HOV36_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013272,HOV36_gp71,HOV36_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2562175,55013273,HOV36_gp72,HOV36_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013274,HOV36_gp73,HOV36_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2562175,55013275,HOV36_gp74,HOV36_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013276,HOV36_gp75,HOV36_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013277,HOV36_gp76,HOV36_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013278,HOV36_gp77,HOV36_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2562175,55013279,HOV36_gp78,HOV36_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2562175,55013280,HOV36_gp01,HOV36_gp01,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201222,-
2562175,55154377,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
