#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500798,24721953,ACQ85_gp02,ACQ85_gp02,PHL009M11_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500798,24721980,ACQ85_gp29,ACQ85_gp29,PHL009M11_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721981,ACQ85_gp30,ACQ85_gp30,PHL009M11_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500798,24721982,ACQ85_gp31,ACQ85_gp31,PHL009M11_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500798,24721983,ACQ85_gp32,ACQ85_gp32,PHL009M11_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721984,ACQ85_gp33,ACQ85_gp33,PHL009M11_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500798,24721985,ACQ85_gp34,ACQ85_gp34,PHL009M11_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721986,ACQ85_gp35,ACQ85_gp35,PHL009M11_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721987,ACQ85_gp36,ACQ85_gp36,PHL009M11_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500798,24721988,ACQ85_gp37,ACQ85_gp37,PHL009M11_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721989,ACQ85_gp38,ACQ85_gp38,PHL009M11_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721990,ACQ85_gp39,ACQ85_gp39,PHL009M11_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721991,ACQ85_gp40,ACQ85_gp40,PHL009M11_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721992,ACQ85_gp41,ACQ85_gp41,PHL009M11_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721993,ACQ85_gp42,ACQ85_gp42,PHL009M11_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721994,ACQ85_gp43,ACQ85_gp43,PHL009M11_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721995,ACQ85_gp44,ACQ85_gp44,PHL009M11_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721996,ACQ85_gp45,ACQ85_gp45,PHL009M11_45,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500798,24721997,ACQ85_gp01,ACQ85_gp01,PHL009M11_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500798,24936506,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
