#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1622192,26795050,AXJ10_gp02,AXJ10_gp02,GordTnk2_2,-,-,-,TerL,protein-coding,-,-,-,TerL,20201221,-
1622192,26795108,AXJ10_gp61,AXJ10_gp61,GordTnk2_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795109,AXJ10_gp62,AXJ10_gp62,GordTnk2_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795110,AXJ10_gp63,AXJ10_gp63,GordTnk2_63,-,-,-,DUF732-like protein,protein-coding,-,-,-,DUF732-like protein,20201221,-
1622192,26795111,AXJ10_gp64,AXJ10_gp64,GordTnk2_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795112,AXJ10_gp65,AXJ10_gp65,GordTnk2_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795113,AXJ10_gp66,AXJ10_gp66,GordTnk2_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795114,AXJ10_gp67,AXJ10_gp67,GordTnk2_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795115,AXJ10_gp68,AXJ10_gp68,GordTnk2_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795116,AXJ10_gp69,AXJ10_gp69,GordTnk2_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795117,AXJ10_gp70,AXJ10_gp70,GordTnk2_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795118,AXJ10_gp71,AXJ10_gp71,GordTnk2_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795119,AXJ10_gp72,AXJ10_gp72,GordTnk2_72,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1622192,26795120,AXJ10_gp73,AXJ10_gp73,GordTnk2_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795121,AXJ10_gp74,AXJ10_gp74,GordTnk2_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795122,AXJ10_gp75,AXJ10_gp75,GordTnk2_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795123,AXJ10_gp76,AXJ10_gp76,GordTnk2_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795124,AXJ10_gp77,AXJ10_gp77,GordTnk2_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795125,AXJ10_gp78,AXJ10_gp78,GordTnk2_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795126,AXJ10_gp79,AXJ10_gp79,GordTnk2_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795127,AXJ10_gp80,AXJ10_gp80,GordTnk2_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795128,AXJ10_gp81,AXJ10_gp81,GordTnk2_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795129,AXJ10_gp82,AXJ10_gp82,GordTnk2_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795130,AXJ10_gp83,AXJ10_gp83,GordTnk2_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795131,AXJ10_gp84,AXJ10_gp84,GordTnk2_84,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201221,-
1622192,26795132,AXJ10_gp85,AXJ10_gp85,GordTnk2_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795133,AXJ10_gp86,AXJ10_gp86,GordTnk2_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795134,AXJ10_gp87,AXJ10_gp87,GordTnk2_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795135,AXJ10_gp88,AXJ10_gp88,GordTnk2_88,-,-,-,von Willebrand factor domain protein,protein-coding,-,-,-,von Willebrand factor domain protein,20201221,-
1622192,26795136,AXJ10_gp89,AXJ10_gp89,GordTnk2_89,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20201221,-
1622192,26795137,AXJ10_gp90,AXJ10_gp90,GordTnk2_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795138,AXJ10_gp91,AXJ10_gp91,GordTnk2_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795139,AXJ10_gp92,AXJ10_gp92,GordTnk2_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795140,AXJ10_gp93,AXJ10_gp93,GordTnk2_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795141,AXJ10_gp94,AXJ10_gp94,GordTnk2_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795142,AXJ10_gp95,AXJ10_gp95,GordTnk2_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795143,AXJ10_gp96,AXJ10_gp96,GordTnk2_96,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1622192,26795144,AXJ10_gp97,AXJ10_gp97,GordTnk2_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795145,AXJ10_gp98,AXJ10_gp98,GordTnk2_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795146,AXJ10_gp15,AXJ10_gp15,GordTnk2_14,-,-,-,pre-TMP frameshift protein,protein-coding,-,-,-,pre-TMP frameshift protein,20201221,-
1622192,26795147,AXJ10_gp01,AXJ10_gp01,GordTnk2_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26823872,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Gordonia species phage GordTnk2).,other,-,-,-,-,20200513,-
