#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1796996,29122937,4,BJD77_gp004,KITKAT_4,-,-,-,"terminase large subunit, ATPase domain",protein-coding,-,-,-,"terminase large subunit, ATPase domain",20200927,-
1796996,29123012,84,BJD77_gp084,KITKAT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123013,85,BJD77_gp085,KITKAT_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123014,86,BJD77_gp086,KITKAT_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123015,87,BJD77_gp087,KITKAT_87,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1796996,29123016,88,BJD77_gp088,KITKAT_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123017,89,BJD77_gp089,KITKAT_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123018,90,BJD77_gp090,KITKAT_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123019,91,BJD77_gp091,KITKAT_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123020,92,BJD77_gp092,KITKAT_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123021,93,BJD77_gp093,KITKAT_93,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200927,-
1796996,29123022,94,BJD77_gp094,KITKAT_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123023,95,BJD77_gp095,KITKAT_95,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20200927,-
1796996,29123024,96,BJD77_gp096,KITKAT_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123025,97,BJD77_gp097,KITKAT_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123026,98,BJD77_gp098,KITKAT_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123027,99,BJD77_gp099,KITKAT_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123028,100,BJD77_gp100,KITKAT_100,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20200927,-
1796996,29123029,2,BJD77_gp002,KITKAT_2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123030,3,BJD77_gp003,KITKAT_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123031,5,BJD77_gp005,KITKAT_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123032,10,BJD77_gp010,KITKAT_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123033,13,BJD77_gp013,KITKAT_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123034,15,BJD77_gp015,KITKAT_15,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1796996,29123035,47,BJD77_gp047,KITKAT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123036,1,BJD77_gp001,KITKAT_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29140808,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
