#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2030923,40089723,FDI49_gp02,FDI49_gp02,phiSHEF4_02,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20201221,-
2030923,40089767,FDI49_gp46,FDI49_gp46,phiSHEF4_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089768,FDI49_gp47,FDI49_gp47,phiSHEF4_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089769,FDI49_gp48,FDI49_gp48,phiSHEF4_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089770,FDI49_gp49,FDI49_gp49,phiSHEF4_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089771,FDI49_gp50,FDI49_gp50,phiSHEF4_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089772,FDI49_gp51,FDI49_gp51,phiSHEF4_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089773,FDI49_gp52,FDI49_gp52,phiSHEF4_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089774,FDI49_gp53,FDI49_gp53,phiSHEF4_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089775,FDI49_gp54,FDI49_gp54,phiSHEF4_54,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2030923,40089776,FDI49_gp55,FDI49_gp55,phiSHEF4_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089777,FDI49_gp56,FDI49_gp56,phiSHEF4_56,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210417,-
2030923,40089778,FDI49_gp57,FDI49_gp57,phiSHEF4_57,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2030923,40089779,FDI49_gp58,FDI49_gp58,phiSHEF4_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089780,FDI49_gp59,FDI49_gp59,phiSHEF4_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089781,FDI49_gp60,FDI49_gp60,phiSHEF4_60,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2030923,40089782,FDI49_gp61,FDI49_gp61,phiSHEF4_61,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20201221,-
2030923,40089783,FDI49_gp62,FDI49_gp62,phiSHEF4_62,-,-,-,capsid family protein,protein-coding,-,-,-,capsid family protein,20201221,-
2030923,40089784,FDI49_gp63,FDI49_gp63,phiSHEF4_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089785,FDI49_gp01,FDI49_gp01,phiSHEF4_01,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201221,-
2030923,40120484,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
