#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
213777,55803315,HYO74_gp02,HYO74_gp02,P272_002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210417,-
213777,55803357,HYO74_gp44,HYO74_gp44,P272_0044,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210417,-
213777,55803358,HYO74_gp45,HYO74_gp45,P272_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803359,HYO74_gp46,HYO74_gp46,P272_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803360,HYO74_gp47,HYO74_gp47,P272_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803361,HYO74_gp48,HYO74_gp48,P272_0048,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210417,-
213777,55803362,HYO74_gp49,HYO74_gp49,P272_0049,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210417,-
213777,55803363,HYO74_gp50,HYO74_gp50,P272_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803364,HYO74_gp51,HYO74_gp51,P272_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803365,HYO74_gp52,HYO74_gp52,P272_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803366,HYO74_gp53,HYO74_gp53,P272_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803367,HYO74_gp54,HYO74_gp54,P272_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803368,HYO74_gp55,HYO74_gp55,P272_0055,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210417,-
213777,55803369,HYO74_gp56,HYO74_gp56,P272_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803370,HYO74_gp57,HYO74_gp57,P272_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803371,HYO74_gp58,HYO74_gp58,P272_0058,-,-,-,putative holliday junction endonuclease,protein-coding,-,-,-,putative holliday junction endonuclease,20210417,-
213777,55803372,HYO74_gp59,HYO74_gp59,P272_0059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803373,HYO74_gp60,HYO74_gp60,P272_0060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803374,HYO74_gp61,HYO74_gp61,P272_0061,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210417,-
213777,55803375,HYO74_gp01,HYO74_gp01,P272_001,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210417,-
213777,55863325,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus lactis bacteriophage p272).,other,-,-,-,-,20200706,-
