#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1718273,26642031,PAE1_2,PAE1_2,-,-,-,-,putative large terminase,protein-coding,-,-,-,putative large terminase,20201221,-
1718273,26642055,PAE1_26,PAE1_26,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642056,PAE1_27,PAE1_27,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642057,PAE1_28,PAE1_28,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642058,PAE1_29,PAE1_29,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642059,PAE1_30,PAE1_30,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642060,PAE1_31,PAE1_31,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642061,PAE1_32,PAE1_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642062,PAE1_33,PAE1_33,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1718273,26642063,PAE1_34,PAE1_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642064,PAE1_35,PAE1_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642065,PAE1_36,PAE1_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642066,PAE1_37,PAE1_37,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1718273,26642067,PAE1_38,PAE1_38,-,-,-,-,putative ribonucleotide reductase,protein-coding,-,-,-,putative ribonucleotide reductase,20201221,-
1718273,26642068,PAE1_39,PAE1_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642069,PAE1_40,PAE1_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642070,PAE1_41,PAE1_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642071,PAE1_42,PAE1_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642072,PAE1_43,PAE1_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642073,PAE1_44,PAE1_44,-,-,-,-,putative pyridoxal-phosphate dependent enzyme,protein-coding,-,-,-,putative pyridoxal-phosphate dependent enzyme,20201221,-
1718273,26642074,PAE1_45,PAE1_45,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1718273,26642075,PAE1_46,PAE1_46,-,-,-,-,putative DNA repair photolyase,protein-coding,-,-,-,putative DNA repair photolyase,20210327,-
1718273,26642076,PAE1_47,PAE1_47,-,-,-,-,putative triphosphate hydrolase,protein-coding,-,-,-,putative triphosphate hydrolase,20201221,-
1718273,26642077,PAE1_48,PAE1_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642078,PAE1_49,PAE1_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642079,PAE1_50,PAE1_50,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1718273,26642080,PAE1_51,PAE1_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642081,PAE1_52,PAE1_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642082,PAE1_53,PAE1_53,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20201221,-
1718273,26642083,PAE1_54,PAE1_54,-,-,-,-,5'-deoxynucleotidase,protein-coding,-,-,-,5'-deoxynucleotidase,20201221,-
1718273,26642084,PAE1_55,PAE1_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642085,PAE1_56,PAE1_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642086,PAE1_57,PAE1_57,-,-,-,-,putative DNA polymerase A,protein-coding,-,-,-,putative DNA polymerase A,20201221,-
1718273,26642087,PAE1_59,PAE1_59,-,-,-,-,putative dCMP deanimase,protein-coding,-,-,-,putative dCMP deanimase,20201221,-
1718273,26642088,PAE1_58,PAE1_58,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1718273,26642089,PAE1_60,PAE1_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642090,PAE1_61,PAE1_61,-,-,-,-,putative repressor,protein-coding,-,-,-,putative repressor,20201221,-
1718273,26642091,PAE1_62,PAE1_62,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210327,-
1718273,26642092,PAE1_63,PAE1_63,-,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20210327,-
1718273,26642093,PAE1_64,PAE1_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642094,PAE1_65,PAE1_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642095,PAE1_66,PAE1_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642096,PAE1_67,PAE1_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642097,PAE1_68,PAE1_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642098,PAE1_69,PAE1_69,-,-,-,-,putative pyrophosphatase,protein-coding,-,-,-,putative pyrophosphatase,20201221,-
1718273,26642099,PAE1_70,PAE1_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642100,PAE1_71,PAE1_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642101,PAE1_72,PAE1_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642102,PAE1_73,PAE1_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642103,PAE1_74,PAE1_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642104,PAE1_75,PAE1_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642105,PAE1_76,PAE1_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642106,PAE1_77,PAE1_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642107,PAE1_78,PAE1_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642108,PAE1_79,PAE1_79,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1718273,26642109,PAE1_80,PAE1_80,-,-,-,-,putative RNA polymerase binding protein,protein-coding,-,-,-,putative RNA polymerase binding protein,20201221,-
1718273,26642110,PAE1_81,PAE1_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642111,PAE1_82,PAE1_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642112,PAE1_83,PAE1_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642113,PAE1_84,PAE1_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642114,PAE1_85,PAE1_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642115,PAE1_86,PAE1_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642116,PAE1_87,PAE1_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642117,PAE1_88,PAE1_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642118,PAE1_1,PAE1_1,-,-,-,-,putative small terminase,protein-coding,-,-,-,putative small terminase,20201221,-
1718273,26680971,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
