#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713274,55817176,HYQ31_gp002,HYQ31_gp002,allotria_2,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20210306,-
2713274,55817208,HYQ31_gp034,HYQ31_gp034,allotria_34,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200919,-
2713274,55817209,HYQ31_gp035,HYQ31_gp035,allotria_35,-,-,-,putative DNA repair/recombination protein,protein-coding,-,-,-,putative DNA repair/recombination protein,20210306,-
2713274,55817210,HYQ31_gp036,HYQ31_gp036,allotria_36,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210129,-
2713274,55817211,HYQ31_gp037,HYQ31_gp037,allotria_37,-,-,-,RNA-DNA and DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase,20210306,-
2713274,55817212,HYQ31_gp038,HYQ31_gp038,allotria_38,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200910,-
2713274,55817213,HYQ31_gp039,HYQ31_gp039,allotria_39,-,-,-,sliding clamp protein,protein-coding,-,-,-,sliding clamp protein,20200919,-
2713274,55817214,HYQ31_gp040,HYQ31_gp040,allotria_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713274,55817215,HYQ31_gp041,HYQ31_gp041,allotria_41,-,-,-,clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,clamp loader subunit DNA polymerase accessory protein,20210129,-
2713274,55817216,HYQ31_gp042,HYQ31_gp042,allotria_42,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20210313,-
2713274,55817217,HYQ31_gp043,HYQ31_gp043,allotria_43,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200919,-
2713274,55817218,HYQ31_gp044,HYQ31_gp044,allotria_44,-,-,-,putative nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,putative nucleoside triphosphate pyrophosphohydrolase,20210129,-
2713274,55817219,HYQ31_gp045,HYQ31_gp045,allotria_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713274,55817220,HYQ31_gp046,HYQ31_gp046,allotria_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817221,HYQ31_gp047,HYQ31_gp047,allotria_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713274,55817222,HYQ31_gp048,HYQ31_gp048,allotria_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817223,HYQ31_gp049,HYQ31_gp049,allotria_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713274,55817224,HYQ31_gp050,HYQ31_gp050,allotria_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817225,HYQ31_gp051,HYQ31_gp051,allotria_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713274,55817226,HYQ31_gp052,HYQ31_gp052,allotria_52,-,-,-,putative nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,putative nicotinamide phosphoribosyl transferase,20210306,-
2713274,55817227,HYQ31_gp053,HYQ31_gp053,allotria_53,-,-,-,putative nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,putative nicotinamide phosphoribosyl transferase,20210403,-
2713274,55817228,HYQ31_gp054,HYQ31_gp054,allotria_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817229,HYQ31_gp055,HYQ31_gp055,allotria_55,-,-,-,putative vWa containing protein,protein-coding,-,-,-,putative vWa containing protein,20210129,-
2713274,55817230,HYQ31_gp056,HYQ31_gp056,allotria_56,-,-,-,acyl carrier protein,protein-coding,-,-,-,acyl carrier protein,20210129,-
2713274,55817231,HYQ31_gp057,HYQ31_gp057,allotria_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817232,HYQ31_gp058,HYQ31_gp058,allotria_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817233,HYQ31_gp059,HYQ31_gp059,allotria_59,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713274,55817234,HYQ31_gp060,HYQ31_gp060,allotria_60,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200910,-
2713274,55817235,HYQ31_gp061,HYQ31_gp061,allotria_61,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2713274,55817236,HYQ31_gp062,HYQ31_gp062,allotria_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817237,HYQ31_gp063,HYQ31_gp063,allotria_63,-,-,-,ImpD,protein-coding,-,-,-,ImpD,20200910,-
2713274,55817238,HYQ31_gp064,HYQ31_gp064,allotria_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817239,HYQ31_gp065,HYQ31_gp065,allotria_65,-,-,-,superinfection exclusion protein,protein-coding,-,-,-,superinfection exclusion protein,20210313,-
2713274,55817240,HYQ31_gp066,HYQ31_gp066,allotria_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817241,HYQ31_gp067,HYQ31_gp067,allotria_67,-,-,-,SPFH domain band 7 family protein,protein-coding,-,-,-,SPFH domain band 7 family protein,20210129,-
2713274,55817242,HYQ31_gp068,HYQ31_gp068,allotria_68,-,-,-,DNA-binding protein HU-beta,protein-coding,-,-,-,DNA-binding protein HU-beta,20210129,-
2713274,55817243,HYQ31_gp069,HYQ31_gp069,allotria_69,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210306,-
2713274,55817244,HYQ31_gp070,HYQ31_gp070,allotria_70,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713274,55817245,HYQ31_gp071,HYQ31_gp071,allotria_71,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20210129,-
2713274,55817246,HYQ31_gp072,HYQ31_gp072,allotria_72,-,-,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20200910,-
2713274,55817247,HYQ31_gp073,HYQ31_gp073,allotria_73,-,-,-,sigma factor involved in late transcription,protein-coding,-,-,-,sigma factor involved in late transcription,20210313,-
2713274,55817248,HYQ31_gp074,HYQ31_gp074,allotria_74,-,-,-,recombination protein subunit,protein-coding,-,-,-,recombination protein subunit,20201217,-
2713274,55817249,HYQ31_gp075,HYQ31_gp075,allotria_75,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210129,-
2713274,55817250,HYQ31_gp076,HYQ31_gp076,allotria_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817251,HYQ31_gp077,HYQ31_gp077,allotria_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713274,55817252,HYQ31_gp078,HYQ31_gp078,allotria_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817253,HYQ31_gp079,HYQ31_gp079,allotria_79,-,-,-,protein RegB,protein-coding,-,-,-,protein RegB,20200910,-
2713274,55817254,HYQ31_gp080,HYQ31_gp080,allotria_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817255,HYQ31_gp081,HYQ31_gp081,allotria_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817256,HYQ31_gp082,HYQ31_gp082,allotria_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817257,HYQ31_gp083,HYQ31_gp083,allotria_83,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713274,55817258,HYQ31_gp084,HYQ31_gp084,allotria_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817259,HYQ31_gp085,HYQ31_gp085,allotria_85,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210129,-
2713274,55817260,HYQ31_gp086,HYQ31_gp086,allotria_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817261,HYQ31_gp087,HYQ31_gp087,allotria_87,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
2713274,55817262,HYQ31_gp088,HYQ31_gp088,allotria_88,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210129,-
2713274,55817263,HYQ31_gp089,HYQ31_gp089,allotria_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817264,HYQ31_gp090,HYQ31_gp090,allotria_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817265,HYQ31_gp091,HYQ31_gp091,allotria_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817266,HYQ31_gp092,HYQ31_gp092,allotria_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817267,HYQ31_gp093,HYQ31_gp093,allotria_93,-,-,-,peptidoglycan binding protein,protein-coding,-,-,-,peptidoglycan binding protein,20210129,-
2713274,55817268,HYQ31_gp094,HYQ31_gp094,allotria_94,-,-,-,phosphate starvation-inducible protein,protein-coding,-,-,-,phosphate starvation-inducible protein,20210129,-
2713274,55817269,HYQ31_gp095,HYQ31_gp095,allotria_95,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20210306,-
2713274,55817270,HYQ31_gp096,HYQ31_gp096,allotria_96,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20210306,-
2713274,55817271,HYQ31_gp097,HYQ31_gp097,allotria_97,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20210313,-
2713274,55817272,HYQ31_gp098,HYQ31_gp098,allotria_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817273,HYQ31_gp099,HYQ31_gp099,allotria_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817274,HYQ31_gp100,HYQ31_gp100,allotria_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817275,HYQ31_gp101,HYQ31_gp101,allotria_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817276,HYQ31_gp102,HYQ31_gp102,allotria_102,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210313,-
2713274,55817277,HYQ31_gp103,HYQ31_gp103,allotria_103,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210129,-
2713274,55817278,HYQ31_gp104,HYQ31_gp104,allotria_104,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210313,-
2713274,55817279,HYQ31_gp105,HYQ31_gp105,allotria_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817280,HYQ31_gp106,HYQ31_gp106,allotria_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817281,HYQ31_gp107,HYQ31_gp107,allotria_107,-,-,-,putative holliday junction resolvase,protein-coding,-,-,-,putative holliday junction resolvase,20200910,-
2713274,55817282,HYQ31_gp108,HYQ31_gp108,allotria_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817283,HYQ31_gp109,HYQ31_gp109,allotria_109,-,-,-,FmdB family domain protein,protein-coding,-,-,-,FmdB family domain protein,20200919,-
2713274,55817284,HYQ31_gp110,HYQ31_gp110,allotria_110,-,-,-,putative late promoter transcription factor,protein-coding,-,-,-,putative late promoter transcription factor,20200926,-
2713274,55817285,HYQ31_gp111,HYQ31_gp111,allotria_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817286,HYQ31_gp112,HYQ31_gp112,allotria_112,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20210306,-
2713274,55817287,HYQ31_gp113,HYQ31_gp113,allotria_113,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20200910,-
2713274,55817288,HYQ31_gp114,HYQ31_gp114,allotria_114,-,-,-,DNA end protector during packaging,protein-coding,-,-,-,DNA end protector during packaging,20200926,-
2713274,55817289,HYQ31_gp115,HYQ31_gp115,allotria_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817290,HYQ31_gp116,HYQ31_gp116,allotria_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817291,HYQ31_gp117,HYQ31_gp117,allotria_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817292,HYQ31_gp118,HYQ31_gp118,allotria_118,-,-,-,putative kinase,protein-coding,-,-,-,putative kinase,20210313,-
2713274,55817293,HYQ31_gp119,HYQ31_gp119,allotria_119,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210129,-
2713274,55817294,HYQ31_gp120,HYQ31_gp120,allotria_120,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20200910,-
2713274,55817295,HYQ31_gp121,HYQ31_gp121,allotria_121,-,-,-,putative dUTP diphosphatase,protein-coding,-,-,-,putative dUTP diphosphatase,20210306,-
2713274,55817296,HYQ31_gp122,HYQ31_gp122,allotria_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817297,HYQ31_gp123,HYQ31_gp123,allotria_123,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210306,-
2713274,55817298,HYQ31_gp124,HYQ31_gp124,allotria_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817299,HYQ31_gp125,HYQ31_gp125,allotria_125,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20200910,-
2713274,55817300,HYQ31_gp126,HYQ31_gp126,allotria_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817301,HYQ31_gp127,HYQ31_gp127,allotria_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817302,HYQ31_gp128,HYQ31_gp128,allotria_128,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210129,-
2713274,55817303,HYQ31_gp129,HYQ31_gp129,allotria_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817304,HYQ31_gp130,HYQ31_gp130,allotria_130,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
2713274,55817305,HYQ31_gp131,HYQ31_gp131,allotria_131,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210129,-
2713274,55817306,HYQ31_gp132,HYQ31_gp132,allotria_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817307,HYQ31_gp133,HYQ31_gp133,allotria_133,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20200926,-
2713274,55817308,HYQ31_gp134,HYQ31_gp134,allotria_134,-,-,-,putative tail length tape measure protein,protein-coding,-,-,-,putative tail length tape measure protein,20200910,-
2713274,55817309,HYQ31_gp135,HYQ31_gp135,allotria_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817310,HYQ31_gp136,HYQ31_gp136,allotria_136,-,-,-,baseplate wedge component,protein-coding,-,-,-,baseplate wedge component,20210313,-
2713274,55817311,HYQ31_gp137,HYQ31_gp137,allotria_137,-,-,-,putative tail tube associated base plate protein,protein-coding,-,-,-,putative tail tube associated base plate protein,20200926,-
2713274,55817312,HYQ31_gp138,HYQ31_gp138,allotria_138,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210123,-
2713274,55817313,HYQ31_gp139,HYQ31_gp139,allotria_139,-,-,-,membrane-flanked domain protein,protein-coding,-,-,-,membrane-flanked domain protein,20210306,-
2713274,55817314,HYQ31_gp140,HYQ31_gp140,allotria_140,-,-,-,putative deoxycytidylate deaminase,protein-coding,-,-,-,putative deoxycytidylate deaminase,20210129,-
2713274,55817315,HYQ31_gp141,HYQ31_gp141,allotria_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817316,HYQ31_gp142,HYQ31_gp142,allotria_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817317,HYQ31_gp143,HYQ31_gp143,allotria_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817318,HYQ31_gp144,HYQ31_gp144,allotria_144,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210313,-
2713274,55817319,HYQ31_gp145,HYQ31_gp145,allotria_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817320,HYQ31_gp146,HYQ31_gp146,allotria_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2713274,55817321,HYQ31_gp147,HYQ31_gp147,allotria_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817322,HYQ31_gp148,HYQ31_gp148,allotria_148,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210116,-
2713274,55817323,HYQ31_gp149,HYQ31_gp149,allotria_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817324,HYQ31_gp150,HYQ31_gp150,allotria_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713274,55817325,HYQ31_gp151,HYQ31_gp151,allotria_151,-,-,-,C-N hydrolase superfamily protein,protein-coding,-,-,-,C-N hydrolase superfamily protein,20200910,-
2713274,55817326,HYQ31_gp152,HYQ31_gp152,allotria_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817327,HYQ31_gp153,HYQ31_gp153,allotria_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817328,HYQ31_gp154,HYQ31_gp154,allotria_154,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20210306,-
2713274,55817329,HYQ31_gp155,HYQ31_gp155,allotria_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2713274,55817330,HYQ31_gp156,HYQ31_gp156,allotria_156,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20210306,-
2713274,55817331,HYQ31_gp157,HYQ31_gp157,allotria_157,-,-,-,viral tegument-like protein,protein-coding,-,-,-,viral tegument-like protein,20200910,-
2713274,55817332,HYQ31_gp158,HYQ31_gp158,allotria_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817333,HYQ31_gp159,HYQ31_gp159,allotria_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817334,HYQ31_gp160,HYQ31_gp160,allotria_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817335,HYQ31_gp161,HYQ31_gp161,allotria_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817336,HYQ31_gp162,HYQ31_gp162,allotria_162,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210129,-
2713274,55817337,HYQ31_gp163,HYQ31_gp163,allotria_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713274,55817338,HYQ31_gp164,HYQ31_gp164,allotria_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817339,HYQ31_gp165,HYQ31_gp165,allotria_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817340,HYQ31_gp166,HYQ31_gp166,allotria_166,-,-,-,RIIB protein,protein-coding,-,-,-,RIIB protein,20210116,-
2713274,55817341,HYQ31_gp167,HYQ31_gp167,allotria_167,-,-,-,RIIA protein,protein-coding,-,-,-,RIIA protein,20200910,-
2713274,55817342,HYQ31_gp168,HYQ31_gp168,allotria_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817343,HYQ31_gp169,HYQ31_gp169,allotria_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817344,HYQ31_gp170,HYQ31_gp170,allotria_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817345,HYQ31_gp171,HYQ31_gp171,allotria_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713274,55817346,HYQ31_gp172,HYQ31_gp172,allotria_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817347,HYQ31_gp173,HYQ31_gp173,allotria_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817348,HYQ31_gp174,HYQ31_gp174,allotria_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2713274,55817349,HYQ31_gp175,HYQ31_gp175,allotria_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817350,HYQ31_gp176,HYQ31_gp176,allotria_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817351,HYQ31_gp177,HYQ31_gp177,allotria_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817352,HYQ31_gp178,HYQ31_gp178,allotria_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
