#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2593351,60336849,2,I5J50_gp02,SEA_PURKY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2593351,60336893,48,I5J50_gp48,SEA_PURKY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336894,49,I5J50_gp49,SEA_PURKY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336895,50,I5J50_gp50,SEA_PURKY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336896,51,I5J50_gp51,SEA_PURKY_51,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210424,-
2593351,60336897,52,I5J50_gp52,SEA_PURKY_52,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
2593351,60336898,53,I5J50_gp53,SEA_PURKY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336899,54,I5J50_gp54,SEA_PURKY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336900,55,I5J50_gp55,SEA_PURKY_55,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210424,-
2593351,60336901,56,I5J50_gp56,SEA_PURKY_56,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210424,-
2593351,60336902,57,I5J50_gp57,SEA_PURKY_57,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2593351,60336903,58,I5J50_gp58,SEA_PURKY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336904,59,I5J50_gp59,SEA_PURKY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2593351,60336905,60,I5J50_gp60,SEA_PURKY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336906,61,I5J50_gp61,SEA_PURKY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336907,62,I5J50_gp62,SEA_PURKY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336908,63,I5J50_gp64,SEA_PURKY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336909,64,I5J50_gp65,SEA_PURKY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336910,65,I5J50_gp66,SEA_PURKY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336911,66,I5J50_gp67,SEA_PURKY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336912,67,I5J50_gp68,SEA_PURKY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2593351,60336913,68,I5J50_gp69,SEA_PURKY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336914,69,I5J50_gp70,SEA_PURKY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336915,70,I5J50_gp71,SEA_PURKY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336916,71,I5J50_gp72,SEA_PURKY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2593351,60336917,72,I5J50_gp73,SEA_PURKY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336918,73,I5J50_gp74,SEA_PURKY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336919,74,I5J50_gp75,SEA_PURKY_75,-,-,-,RepA-like replication initiator,protein-coding,-,-,-,RepA-like replication initiator,20201130,-
2593351,60336920,75,I5J50_gp76,SEA_PURKY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336921,76,I5J50_gp77,SEA_PURKY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336922,77,I5J50_gp78,SEA_PURKY_78,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201130,-
2593351,60336923,78,I5J50_gp79,SEA_PURKY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336924,79,I5J50_gp80,SEA_PURKY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336925,80,I5J50_gp81,SEA_PURKY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336926,81,I5J50_gp82,SEA_PURKY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2593351,60336927,82,I5J50_gp83,SEA_PURKY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336928,83,I5J50_gp84,SEA_PURKY_84,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2593351,60336929,39,I5J50_gp39,SEA_PURKY_39,-,-,-,excise,protein-coding,-,-,-,excise,20210424,-
2593351,60336930,33,I5J50_gp33,SEA_PURKY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2593351,60336931,62,I5J50_gp63,SEA_PURKY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336932,1,I5J50_gp01,SEA_PURKY_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201130,-
2593351,60350519,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201202,-
