#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
576791,7944001,rIIB,WV8_gp002,-,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200909,-
576791,7944017,18,WV8_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944018,19,WV8_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944019,20,WV8_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944020,21,WV8_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944021,22,WV8_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944022,23,WV8_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944023,24,WV8_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944024,25,WV8_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944025,26,WV8_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944026,27,WV8_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944027,28,WV8_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944028,29,WV8_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944029,30,WV8_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944030,31,WV8_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944031,32,WV8_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944032,33,WV8_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944033,34,WV8_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944034,35,WV8_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944035,36,WV8_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944036,37,WV8_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944037,38,WV8_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944038,39,WV8_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944039,p13,WV8_gp040,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20210403,-
576791,7944040,41,WV8_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
576791,7944041,42,WV8_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944042,43,WV8_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944043,44,WV8_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944044,45,WV8_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944045,46,WV8_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944046,47,WV8_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
576791,7944047,WV8_gt001,WV8_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944048,WV8_gt007,WV8_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944049,WV8_gt008,WV8_gt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944050,WV8_gt009,WV8_gt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944051,51,WV8_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944052,WV8_gt010,WV8_gt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944053,WV8_gt013,WV8_gt013,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944054,53,WV8_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944055,WV8_gt018,WV8_gt018,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944056,55,WV8_gt023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944057,56,WV8_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944058,terL,WV8_gp058,-,-,-,-,"terminase, large subunit",protein-coding,-,-,-,"terminase, large subunit",20210403,-
576791,7944059,58,WV8_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944060,59,WV8_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944061,60,WV8_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944062,61,WV8_gp062,-,-,-,-,putative head maturation protease,protein-coding,-,-,-,putative head maturation protease,20200909,-
576791,7944063,62,WV8_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944064,63,WV8_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944065,64,WV8_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
576791,7944066,65,WV8_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944067,66,WV8_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944068,67,WV8_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944069,68,WV8_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944070,69,WV8_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944071,70,WV8_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
576791,7944072,71,WV8_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944073,72,WV8_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944074,73,WV8_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944075,74,WV8_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944076,75,WV8_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944077,76,WV8_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944078,77,WV8_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
576791,7944079,78,WV8_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944080,79,WV8_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944081,80,WV8_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944082,81,WV8_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944083,82,WV8_gp083,-,-,-,-,putative tail fiber protein GP37,protein-coding,-,-,-,putative tail fiber protein GP37,20200909,-
576791,7944084,83,WV8_gp084,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200909,-
576791,7944085,84,WV8_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944086,85,WV8_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944087,td,WV8_gp087,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210403,-
576791,7944088,frd,WV8_gp088,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200909,-
576791,7944089,88,WV8_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944090,89,WV8_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944091,90,WV8_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944092,91,WV8_gp092,-,-,-,-,putative transcriptional regulatory protein,protein-coding,-,-,-,putative transcriptional regulatory protein,20200909,-
576791,7944093,92,WV8_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944094,93,WV8_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944095,94,WV8_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944096,95,WV8_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944097,96,WV8_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944098,97,WV8_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944099,98,WV8_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944100,99,WV8_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944101,100,WV8_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944102,101,WV8_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944103,102,WV8_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944104,103,WV8_gp104,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210403,-
576791,7944105,104,WV8_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944106,105,WV8_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944107,106,WV8_gp107,-,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20210403,-
576791,7944108,107,WV8_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944109,108,WV8_gp109,-,-,-,-,putative phage DNA primase/helicase,protein-coding,-,-,-,putative phage DNA primase/helicase,20210403,-
576791,7944110,109,WV8_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944111,110,WV8_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944112,111,WV8_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944113,112,WV8_gp113,-,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200909,-
576791,7944114,113,WV8_gp114,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200909,-
576791,7944115,114,WV8_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
576791,7944116,115,WV8_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944117,116,WV8_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944118,117,WV8_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944119,118,WV8_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944120,nrdA,WV8_gp120,-,-,-,-,"ribonucleoside triphosphate reductase, alpha chain",protein-coding,-,-,-,"ribonucleoside triphosphate reductase, alpha chain",20200909,-
576791,7944121,120,WV8_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944122,nrdB,WV8_gp122,-,-,-,-,"ribonucleoside triphosphate reductase, beta chain",protein-coding,-,-,-,"ribonucleoside triphosphate reductase, beta chain",20200909,-
576791,7944123,122,WV8_gp123,-,-,-,-,putative phage glutaredoxin,protein-coding,-,-,-,putative phage glutaredoxin,20200909,-
576791,7944124,123,WV8_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944125,nrdD,WV8_gp125,-,-,-,-,anaerobic nucleoside diphosphate reductase,protein-coding,-,-,-,anaerobic nucleoside diphosphate reductase,20200909,-
576791,7944126,125,WV8_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944127,126,WV8_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944128,127,WV8_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944129,128,WV8_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944130,nrdG,WV8_gp130,-,-,-,-,"anaerobic NTP reductase, small subunit",protein-coding,-,-,-,"anaerobic NTP reductase, small subunit",20200909,-
576791,7944131,130,WV8_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944132,131,WV8_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944133,132,WV8_gp133,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200909,-
576791,7944134,133,WV8_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944135,134,WV8_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944136,135,WV8_gp136,-,-,-,-,putative ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,putative ribose-phosphate pyrophosphokinase,20200909,-
576791,7944137,nadV,WV8_gp137,-,-,-,-,nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,nicotinamide phosphoribosyl transferase,20201220,-
576791,7944138,137,WV8_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944139,138,WV8_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944140,WV8_gt002,WV8_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944141,WV8_gt003,WV8_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944142,WV8_gt004,WV8_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944143,WV8_gt005,WV8_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944144,WV8_gt006,WV8_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944145,48,WV8_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944146,xxx,WV8_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944147,49,WV8_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944148,50,WV8_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944149,WV8_gt011,WV8_gt011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944150,WV8_gt012,WV8_gt012,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944151,51A,WV8_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944152,WV8_gt014,WV8_gt014,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944153,WV8_gt015,WV8_gt015,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944154,WV8_gt016,WV8_gt016,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944155,WV8_gt017,WV8_gt017,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944156,52,WV8_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944157,WV8_gt019,WV8_gt019,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944158,WV8_gt020,WV8_gt020,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944159,WV8_gt021,WV8_gt021,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944160,WV8_gt022,WV8_gt022,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
576791,7944161,54,WV8_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944162,rIIA,WV8_gp001,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200909,-
576791,7966972,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage WV8; Escherichia coli bacteriophage WV8).,other,-,-,-,-,20200513,-
