#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887647,29063288,2,KCH37_gp02,SEA_GHOBES_2,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210418,-
1887647,29063303,18,KCH37_gp18,SEA_GHOBES_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063304,19,KCH37_gp19,SEA_GHOBES_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063305,20,KCH37_gp20,SEA_GHOBES_20,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210418,-
1887647,29063306,22,KCH37_gp22,SEA_GHOBES_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063307,23,KCH37_gp23,SEA_GHOBES_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063308,24,KCH37_gp24,SEA_GHOBES_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063309,25,KCH37_gp25,SEA_GHOBES_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210418,-
1887647,29063310,26,KCH37_gp26,SEA_GHOBES_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210418,-
1887647,29063311,27,KCH37_gp27,SEA_GHOBES_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210418,-
1887647,29063312,28,KCH37_gp28,SEA_GHOBES_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063313,29,KCH37_gp29,SEA_GHOBES_29,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210418,-
1887647,29063314,30,KCH37_gp30,SEA_GHOBES_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063315,31,KCH37_gp31,SEA_GHOBES_31,-,-,-,RecA-like exonuclease,protein-coding,-,-,-,RecA-like exonuclease,20210418,-
1887647,29063316,32,KCH37_gp32,SEA_GHOBES_32,-,-,-,RecB-like nuclease,protein-coding,-,-,-,RecB-like nuclease,20210418,-
1887647,29063317,33,KCH37_gp33,SEA_GHOBES_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063318,34,KCH37_gp34,SEA_GHOBES_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063319,35,KCH37_gp35,SEA_GHOBES_35,-,-,-,DEAD-family helicase,protein-coding,-,-,-,DEAD-family helicase,20210418,-
1887647,29063320,36,KCH37_gp36,SEA_GHOBES_36,-,-,-,adenylosuccinate lyase,protein-coding,-,-,-,adenylosuccinate lyase,20210418,-
1887647,29063321,38,KCH37_gp38,SEA_GHOBES_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063322,39,KCH37_gp39,SEA_GHOBES_39,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210418,-
1887647,29063323,40,KCH37_gp40,SEA_GHOBES_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063324,41,KCH37_gp41,SEA_GHOBES_41,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210418,-
1887647,29063325,42,KCH37_gp42,SEA_GHOBES_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063326,43,KCH37_gp43,SEA_GHOBES_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063327,44,KCH37_gp44,SEA_GHOBES_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063328,45,KCH37_gp45,SEA_GHOBES_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063329,46,KCH37_gp46,SEA_GHOBES_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063330,47,KCH37_gp47,SEA_GHOBES_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063331,48,KCH37_gp48,SEA_GHOBES_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063332,49,KCH37_gp49,SEA_GHOBES_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063333,50,KCH37_gp50,SEA_GHOBES_50,-,-,-,adenylosuccinate synthetase,protein-coding,-,-,-,adenylosuccinate synthetase,20210418,-
1887647,29063334,51,KCH37_gp51,SEA_GHOBES_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063335,52,KCH37_gp52,SEA_GHOBES_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063336,53,KCH37_gp53,SEA_GHOBES_53,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20210418,-
1887647,29063337,54,KCH37_gp54,SEA_GHOBES_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063338,55,KCH37_gp55,SEA_GHOBES_55,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20210418,-
1887647,29063339,56,KCH37_gp56,SEA_GHOBES_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063340,57,KCH37_gp57,SEA_GHOBES_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063341,58,KCH37_gp58,SEA_GHOBES_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063342,59,KCH37_gp59,SEA_GHOBES_59,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210418,-
1887647,29063343,7,KCH37_gp07,SEA_GHOBES_7,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210418,-
1887647,29063344,21,KCH37_gp21,SEA_GHOBES_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063345,37,KCH37_gp37,SEA_GHOBES_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
1887647,29063346,1,KCH37_gp01,SEA_GHOBES_1,-,-,-,terminase,protein-coding,-,-,-,terminase,20210418,-
1887647,29140080,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
