#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1175663,26626397,AVV49_gp75,AVV49_gp75,PaMx74_75,-,-,-,putative primase/polymerase,protein-coding,-,-,-,putative primase/polymerase,20201221,-
1175663,26626419,AVV49_gp53,AVV49_gp53,PaMx74_53,-,-,-,putative nucleotide pyrophosphohydrolase,protein-coding,-,-,-,putative nucleotide pyrophosphohydrolase,20201221,-
1175663,26626420,thyA,AVV49_gp52,PaMx74_52,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20201221,-
1175663,26626421,cd,AVV49_gp51,PaMx74_51,-,-,-,putative dCMP deaminase,protein-coding,-,-,-,putative dCMP deaminase,20201221,-
1175663,26626422,frd,AVV49_gp50,PaMx74_50,-,-,-,putative dihydrofolate reductase,protein-coding,-,-,-,putative dihydrofolate reductase,20201221,-
1175663,26626423,AVV49_gp49,AVV49_gp49,PaMx74_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626424,AVV49_gp48,AVV49_gp48,PaMx74_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626425,AVV49_gp47,AVV49_gp47,PaMx74_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626426,AVV49_gp46,AVV49_gp46,PaMx74_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626427,AVV49_gp45,AVV49_gp45,PaMx74_45,-,-,-,putative HIRAN domain-containing protein,protein-coding,-,-,-,putative HIRAN domain-containing protein,20201221,-
1175663,26626428,AVV49_gp44,AVV49_gp44,PaMx74_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626429,AVV49_gp43,AVV49_gp43,PaMx74_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626430,AVV49_gp42,AVV49_gp42,PaMx74_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626431,AVV49_gp41,AVV49_gp41,PaMx74_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626432,AVV49_gp40,AVV49_gp40,PaMx74_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626433,AVV49_gp39,AVV49_gp39,PaMx74_39,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175663,26626434,AVV49_gp38,AVV49_gp38,PaMx74_38,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1175663,26626435,AVV49_gp37,AVV49_gp37,PaMx74_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626436,AVV49_gp36,AVV49_gp36,PaMx74_36,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175663,26626437,AVV49_gp35,AVV49_gp35,PaMx74_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626438,AVV49_gp34,AVV49_gp34,PaMx74_34,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175663,26626439,AVV49_gp33,AVV49_gp33,PaMx74_33,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175663,26626440,AVV49_gp32,AVV49_gp32,PaMx74_32,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175663,26626441,AVV49_gp31,AVV49_gp31,PaMx74_31,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175663,26626442,AVV49_gp30,AVV49_gp30,PaMx74_30,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175663,26626443,AVV49_gp29,AVV49_gp29,PaMx74_29,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20201221,-
1175663,26626444,AVV49_gp28,AVV49_gp28,PaMx74_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626445,AVV49_gp27,AVV49_gp27,PaMx74_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626446,AVV49_gp26,AVV49_gp26,PaMx74_26,-,-,-,putative major tail structural protein,protein-coding,-,-,-,putative major tail structural protein,20201221,-
1175663,26626447,AVV49_gp25,AVV49_gp25,PaMx74_25,-,-,-,putative tail terminator protein,protein-coding,-,-,-,putative tail terminator protein,20201221,-
1175663,26626448,AVV49_gp24,AVV49_gp24,PaMx74_24,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175663,26626449,AVV49_gp23,AVV49_gp23,PaMx74_23,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175663,26626450,AVV49_gp22,AVV49_gp22,PaMx74_22,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175663,26626451,AVV49_gp21,AVV49_gp21,PaMx74_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626452,AVV49_gp20,AVV49_gp20,PaMx74_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626453,AVV49_gp19,AVV49_gp19,PaMx74_19,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20201221,-
1175663,26626454,AVV49_gp18,AVV49_gp18,PaMx74_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626455,AVV49_gp17,AVV49_gp17,PaMx74_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626456,AVV49_gp16,AVV49_gp16,PaMx74_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626457,AVV49_gp15,AVV49_gp15,PaMx74_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626458,AVV49_gp14,AVV49_gp14,PaMx74_14,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175663,26626459,AVV49_gp13,AVV49_gp13,PaMx74_13,-,-,-,putative morphogenesis protein,protein-coding,-,-,-,putative morphogenesis protein,20201221,-
1175663,26626460,AVV49_gp12,AVV49_gp12,PaMx74_12,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1175663,26626461,AVV49_gp11,AVV49_gp11,PaMx74_11,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20201221,-
1175663,26626462,AVV49_gp10,AVV49_gp10,PaMx74_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626463,AVV49_gp09,AVV49_gp09,PaMx74_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626464,AVV49_gp08,AVV49_gp08,PaMx74_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626465,nrdJ,AVV49_gp07,PaMx74_07,-,-,-,putative ribonucleotide reductase,protein-coding,-,-,-,putative ribonucleotide reductase,20201221,-
1175663,26626466,AVV49_gp06,AVV49_gp06,PaMx74_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626467,AVV49_gp05,AVV49_gp05,PaMx74_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626468,terL,AVV49_gp04,PaMx74_04,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1175663,26626469,AVV49_gp03,AVV49_gp03,PaMx74_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626470,AVV49_gp02,AVV49_gp02,PaMx74_02,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626471,terS,AVV49_gp01,PaMx74_01,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201221,-
1175663,26680548,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
