#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599845,55623188,2,HWC70_gp02,PBI_LAMBO_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2599845,55623260,80,HWC70_gp80,PBI_LAMBO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623261,81,HWC70_gp81,PBI_LAMBO_81,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210424,-
2599845,55623262,82,HWC70_gp82,PBI_LAMBO_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623263,83,HWC70_gp83,PBI_LAMBO_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623264,84,HWC70_gp84,PBI_LAMBO_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623265,85,HWC70_gp85,PBI_LAMBO_85,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200620,-
2599845,55623266,86,HWC70_gp86,PBI_LAMBO_86,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200620,-
2599845,55623267,87,HWC70_gp87,PBI_LAMBO_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623268,88,HWC70_gp88,PBI_LAMBO_88,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210424,-
2599845,55623269,89,HWC70_gp89,PBI_LAMBO_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623270,90,HWC70_gp90,PBI_LAMBO_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623271,91,HWC70_gp91,PBI_LAMBO_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623272,92,HWC70_gp92,PBI_LAMBO_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623273,93,HWC70_gp93,PBI_LAMBO_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623274,94,HWC70_gp94,PBI_LAMBO_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623275,95,HWC70_gp95,PBI_LAMBO_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623276,96,HWC70_gp96,PBI_LAMBO_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623277,97,HWC70_gp97,PBI_LAMBO_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623278,24,HWC70_gp24,PBI_LAMBO_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201217,-
2599845,55623279,98,HWC70_gp98,PBI_LAMBO_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623280,40,HWC70_gp40,PBI_LAMBO_40,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599845,55623281,70,HWC70_gp70,PBI_LAMBO_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623282,18,HWC70_gp18,PBI_LAMBO_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623283,76,HWC70_gp76,PBI_LAMBO_76,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599845,55623284,77,HWC70_gp77,PBI_LAMBO_77,-,-,-,DnaE-like DNA polymerase III,protein-coding,-,-,-,DnaE-like DNA polymerase III,20201217,-
2599845,55623285,1,HWC70_gp01,PBI_LAMBO_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55636026,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
