#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079564,40099732,FDJ33_gp02,FDJ33_gp02,SEA_BRANDONK123_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2079564,40099760,FDJ33_gp30,FDJ33_gp30,SEA_BRANDONK123_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099761,FDJ33_gp31,FDJ33_gp31,SEA_BRANDONK123_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079564,40099762,FDJ33_gp32,FDJ33_gp32,SEA_BRANDONK123_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099763,FDJ33_gp33,FDJ33_gp33,SEA_BRANDONK123_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099764,FDJ33_gp34,FDJ33_gp34,SEA_BRANDONK123_34,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
2079564,40099765,FDJ33_gp35,FDJ33_gp35,SEA_BRANDONK123_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2079564,40099766,FDJ33_gp36,FDJ33_gp36,SEA_BRANDONK123_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2079564,40099767,FDJ33_gp37,FDJ33_gp37,SEA_BRANDONK123_37,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2079564,40099768,FDJ33_gp38,FDJ33_gp38,SEA_BRANDONK123_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099769,FDJ33_gp39,FDJ33_gp39,SEA_BRANDONK123_39,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2079564,40099770,FDJ33_gp40,FDJ33_gp40,SEA_BRANDONK123_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099771,FDJ33_gp41,FDJ33_gp41,SEA_BRANDONK123_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099772,FDJ33_gp42,FDJ33_gp42,SEA_BRANDONK123_42,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2079564,40099773,FDJ33_gp43,FDJ33_gp43,SEA_BRANDONK123_43,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
2079564,40099774,FDJ33_gp44,FDJ33_gp44,SEA_BRANDONK123_44,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2079564,40099775,FDJ33_gp45,FDJ33_gp45,SEA_BRANDONK123_45,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2079564,40099776,FDJ33_gp46,FDJ33_gp46,SEA_BRANDONK123_46,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2079564,40099777,FDJ33_gp47,FDJ33_gp47,SEA_BRANDONK123_47,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
2079564,40099778,FDJ33_gp48,FDJ33_gp48,SEA_BRANDONK123_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099779,FDJ33_gp49,FDJ33_gp49,SEA_BRANDONK123_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099780,FDJ33_gp50,FDJ33_gp50,SEA_BRANDONK123_50,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
2079564,40099781,FDJ33_gp51,FDJ33_gp51,SEA_BRANDONK123_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099782,FDJ33_gp52,FDJ33_gp52,SEA_BRANDONK123_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099783,FDJ33_gp53,FDJ33_gp53,SEA_BRANDONK123_53,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
2079564,40099784,FDJ33_gp54,FDJ33_gp54,SEA_BRANDONK123_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099785,FDJ33_gp55,FDJ33_gp55,SEA_BRANDONK123_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099786,FDJ33_gp56,FDJ33_gp56,SEA_BRANDONK123_56,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2079564,40099787,FDJ33_gp57,FDJ33_gp57,SEA_BRANDONK123_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099788,FDJ33_gp58,FDJ33_gp58,SEA_BRANDONK123_58,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2079564,40099789,FDJ33_gp59,FDJ33_gp59,SEA_BRANDONK123_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099790,FDJ33_gp60,FDJ33_gp60,SEA_BRANDONK123_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099791,FDJ33_gp62,FDJ33_gp62,SEA_BRANDONK123_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099792,FDJ33_gp63,FDJ33_gp63,SEA_BRANDONK123_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099793,FDJ33_gp64,FDJ33_gp64,SEA_BRANDONK123_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079564,40099794,FDJ33_gp65,FDJ33_gp65,SEA_BRANDONK123_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099795,FDJ33_gp66,FDJ33_gp66,SEA_BRANDONK123_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099796,FDJ33_gp67,FDJ33_gp67,SEA_BRANDONK123_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099797,FDJ33_gp68,FDJ33_gp68,SEA_BRANDONK123_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099798,FDJ33_gp69,FDJ33_gp69,SEA_BRANDONK123_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099799,FDJ33_gp70,FDJ33_gp70,SEA_BRANDONK123_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099800,FDJ33_gp71,FDJ33_gp71,SEA_BRANDONK123_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099801,FDJ33_gp72,FDJ33_gp72,SEA_BRANDONK123_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099802,FDJ33_gp73,FDJ33_gp73,SEA_BRANDONK123_73,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
2079564,40099803,FDJ33_gp74,FDJ33_gp74,SEA_BRANDONK123_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099804,FDJ33_gp75,FDJ33_gp75,SEA_BRANDONK123_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099805,FDJ33_gp76,FDJ33_gp76,SEA_BRANDONK123_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099806,FDJ33_gp77,FDJ33_gp77,SEA_BRANDONK123_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099807,FDJ33_gp78,FDJ33_gp78,SEA_BRANDONK123_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099808,FDJ33_gp79,FDJ33_gp79,SEA_BRANDONK123_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099809,FDJ33_gp80,FDJ33_gp80,SEA_BRANDONK123_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099810,FDJ33_gp81,FDJ33_gp81,SEA_BRANDONK123_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099811,FDJ33_gp82,FDJ33_gp82,SEA_BRANDONK123_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099812,FDJ33_gp83,FDJ33_gp83,SEA_BRANDONK123_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099813,FDJ33_gp84,FDJ33_gp84,SEA_BRANDONK123_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099814,FDJ33_gp85,FDJ33_gp85,SEA_BRANDONK123_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099815,FDJ33_gp86,FDJ33_gp86,SEA_BRANDONK123_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099816,FDJ33_gp87,FDJ33_gp87,SEA_BRANDONK123_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099817,FDJ33_gp88,FDJ33_gp88,SEA_BRANDONK123_88,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2079564,40099818,FDJ33_gp89,FDJ33_gp89,SEA_BRANDONK123_89,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
2079564,40099819,FDJ33_gp61,FDJ33_gp61,SEA_BRANDONK123_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099820,FDJ33_gp01,FDJ33_gp01,SEA_BRANDONK123_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40120554,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
