#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1245890,13997216,JL1_49,JL1_49,-,-,-,-,putative phage major tail protein,protein-coding,-,-,-,putative phage major tail protein,20201221,-
1245890,13997236,JL1_9,JL1_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997237,JL1_10,JL1_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997238,JL1_11,JL1_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997239,JL1_13,JL1_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997240,JL1_14,JL1_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997241,JL1_15,JL1_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997242,JL1_16,JL1_16,-,-,-,-,putative helicase-primase,protein-coding,-,-,-,putative helicase-primase,20201221,-
1245890,13997243,JL1_17,JL1_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997244,JL1_18,JL1_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997245,JL1_19,JL1_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997246,JL1_20,JL1_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997247,JL1_21,JL1_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997248,JL1_22,JL1_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997249,JL1_23,JL1_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997250,JL1_24,JL1_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997251,JL1_25,JL1_25,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1245890,13997252,JL1_26,JL1_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997253,JL1_28,JL1_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997254,JL1_29,JL1_29,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1245890,13997255,JL1_30,JL1_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997256,JL1_31,JL1_31,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1245890,13997257,JL1_32,JL1_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997258,JL1_33,JL1_33,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1245890,13997259,JL1_35,JL1_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997260,JL1_36,JL1_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997261,JL1_37,JL1_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997262,JL1_38,JL1_38,-,-,-,-,putative tail tip protein,protein-coding,-,-,-,putative tail tip protein,20201221,-
1245890,13997263,JL1_39,JL1_39,-,-,-,-,putative phage lipoprotein,protein-coding,-,-,-,putative phage lipoprotein,20201221,-
1245890,13997264,JL1_40,JL1_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997265,JL1_41,JL1_41,-,-,-,-,putative phage tail fiber tip protein,protein-coding,-,-,-,putative phage tail fiber tip protein,20201221,-
1245890,13997266,JL1_42,JL1_42,-,-,-,-,putative phage tail assembly protein I,protein-coding,-,-,-,putative phage tail assembly protein I,20201221,-
1245890,13997267,JL1_43,JL1_43,-,-,-,-,putative phage minor tail protein,protein-coding,-,-,-,putative phage minor tail protein,20201221,-
1245890,13997268,JL1_44,JL1_44,-,-,-,-,phage minor tail protein L,protein-coding,-,-,-,phage minor tail protein L,20201221,-
1245890,13997269,JL1_45,JL1_45,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201221,-
1245890,13997270,JL1_46,JL1_46,-,-,-,-,phage tail length tape-measure protein 1,protein-coding,-,-,-,phage tail length tape-measure protein 1,20201221,-
1245890,13997271,JL1_48,JL1_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,14007766,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage JL1).,other,-,-,-,-,20200513,-
1245890,15089211,JL1_12,JL1_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,15089212,JL1_27,JL1_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,15089213,JL1_34,JL1_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,15089214,JL1_47,JL1_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
